,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4366-0,,,,,,,,,,,,,,,,,,,,,070105,070224,070341
1,MX1135-0,,,,,,,,,,,,,,070105,070212,070246,070330,070436,070530,070636,070825,071046,071140
2,AA7842-0,,,,,,,,,,,,070105,070212,070330,070530,070625,070708,070920,071036,071202,,,071921
3,AA7418-0,082813,082939,083138,083503,083852,084030,084218,070105,070519,,,,,071213,071246,071330,071413,071540,071636,071804,071932,072229,091405
4,AA7530-0,,,,,,,,070105,070636,070741,070836,071014,071151,071246,071435,071519,071603,071731,071815,071954,072121,072450,072628
5,AA6952-0,,,,,,,070105,070201,071213,071340,071446,071603,071804,071859,,,,,,,092344,092648,092837
6,MR7964-0,,,,,070105,070257,070530,070814,071742,071848,071932,072059,072218,072312,072450,072555,072649,072828,072923,073039,073222,073538,073644
7,AA7488-0,,070105,070224,,071025,071202,071330,071435,072323,072418,072512,072628,072754,072901,073017,073111,073222,073327,073433,073600,073749,074104,074221
8,AA7303-0,070105,071003,071308,071646,071932,072312,072356,072806,073821,073948,074043,074210,074337,074442,074641,074725,074841,074957,075103,075221,075348,075654,075916
9,AA6701-0,,070330,070636,070931,071202,071446,071731,071859,072923,073039,073133,073316,073444,073549,073727,073843,073927,074148,074253,074421,074547,074820,075821
10,AA7871-0,,071402,071720,,072555,072628,072839,073133,074137,074243,074337,074504,074631,074747,074903,074957,075103,075315,075421,075538,075738,080020,080223
11,MW4825-0,071804,072048,072345,072711,073101,073254,073549,074021,074936,075019,075113,075221,075359,075432,075621,075716,075821,075937,080031,080147,080350,080625,080825
12,AA7637-0,071921,074115,074348,074620,075113,075254,075600,075905,081035,081140,081235,081340,081528,081635,081823,081928,082055,082211,082317,082424,082552,082824,082939
13,AA7101-0,,,,,072512,,,,074337,074421,074526,074641,,,,,075254,075453,075549,075716,075748,080114,080234
14,AA7492-0,072512,072733,073006,073305,073633,073948,074043,074221,075348,075505,075549,075654,075821,075926,080136,080234,080339,080435,080530,080658,080752,081107,081225
15,MW3346-0,,,,,072944,073111,073411,073905,074758,074830,074925,075041,075221,075254,075421,075453,075549,075632,075738,075905,080136,080435,080552
16,AA7252-0,,073400,073633,094829,074421,074453,074714,074957,080010,080104,080201,080317,080447,080552,080720,080814,080919,081056,081151,081319,081550,081834,132024
17,AA7405-0,075432,075748,075948,080306,080541,080742,081013,081257,082350,082458,082552,,082845,082950,083127,083232,083337,083453,083558,083714,083936,084229,084406
18,MW4366-1,080402,080519,080731,081214,081445,081614,081906,082317,083420,083503,083558,083714,083830,083925,084102,084218,084334,084450,084545,084702,084756,085132,085301
19,AA7530-1,081013,081413,081812,,082730,083106,083254,083714,084756,084911,085017,,085334,085417,085554,085710,085836,090036,090141,090308,090403,090729,091002
20,AA7536-0,095946,100357,,,101405,101616,101847,102311,081329,081423,081507,081614,081740,081834,082011,082055,110851,111113,132457,132540,132730,111746,133151
21,AA7842-1,081823,082116,,,083359,083558,083747,084030,,,085511,,,,090130,090235,090351,090530,090635,090729,090951,091249,091405
22,AA7871-1,084450,084723,085017,085417,085659,085815,090152,090940,093626,093710,093754,093922,094050,094145,094419,094452,094630,094851,095007,095112,095241,095547,095652
23,AA7488-1,085100,085417,113327,090203,090435,090624,091056,091847,094251,094334,094430,094525,094713,094746,094956,095112,095209,095336,095441,095547,095819,100029,122130
24,AA6701-1,085953,090257,090613,090919,091206,091438,091731,092449,094535,094746,094840,094945,095123,095209,095347,095452,095558,095652,095757,095902,095956,100219,100314
25,AA7303-1,090750,091002,091140,091543,092026,092427,092521,093049,094923,095039,095209,095303,095452,,095736,095840,095946,100146,100303,100357,100535,100756,101007
26,MW4825-1,092217,092543,092743,093100,093457,093637,093911,094324,100502,100546,100640,100745,100913,100956,101206,101311,101405,101605,101710,101815,102025,102322,102511
27,AA7101-1,,,,,092954,,,,,,,,,100924,101050,101155,101322,101438,101543,101637,,,
28,AA7492-1,,093351,093816,094112,094503,094757,094934,095347,102108,102155,102238,,102500,102532,102720,102825,102930,103024,103140,103224,103350,103611,103715
29,AA7637-1,,095336,095703,095946,100357,100607,100935,101355,104346,104440,104546,104652,104830,104935,105135,105231,105348,105525,105631,105735,105945,110206,110344
30,AA7405-1,100807,101155,101543,101920,,102554,102753,103046,110438,110510,110722,,111051,111146,111357,111503,111641,111841,111946,112041,112212,112506,112647
31,MW4366-2,101909,102036,102355,102814,103318,103444,103715,103957,111325,111430,111546,111703,111913,111957,112212,112327,112506,112636,112754,112850,112956,113231,113432
32,AA7530-2,103307,103444,103715,,104524,104809,105113,105337,112030,112146,112306,,112636,112730,112912,113017,113134,113327,113454,113559,113716,113927,114042
33,AA6701-2,104240,104725,105040,105326,105746,105934,110155,110733,112411,112541,112636,,112934,113028,113231,113349,113515,113644,113811,113927,114053,114314,114441
34,AA7842-2,105620,105956,110354,,111157,111441,111819,112255,113749,113843,113948,114126,114336,114546,114746,114851,,,,,,,120859
35,AA7418-1,,110840,111146,111452,111902,112135,112455,112901,,,,,,,,,115156,,,,115742,,120405
36,AA6952-1,,111819,112233,,,,,114115,115250,115406,115511,,115648,,120227,120332,120437,120626,120742,120859,121047,121417,121710
37,AA7303-2,,114346,114640,115039,115500,115815,115847,120248,121156,121333,121428,121605,121720,121804,121930,122035,122151,122318,122435,122540,122729,122951,123129
38,MW4825-2,115100,115312,115438,115648,120014,120142,120448,120848,122025,122108,122151,122318,122446,122530,122707,122813,122908,123056,123204,123258,123458,123707,123801
39,AA7405-2,125504,125725,130133,130501,,131015,131300,131603,132741,132836,132919,133035,133215,133259,133425,133530,133657,133836,134003,134122,134228,134439,134555
40,MW4366-3,,132213,132508,132930,133404,133625,133941,134301,135542,135647,135743,135901,140145,140230,140534,140712,140901,141017,141143,141302,141418,141757,141945
41,AA7842-3,,,,,133541,133930,134144,134450,135827,135933,140039,140156,140408,140513,,,,,,,,141851,141945
42,AA7418-2,,,,,134312,134501,134733,135059,,,,,140712,140756,140944,141038,141133,141324,141418,141534,141735,141945,143313
43,AA6952-2,,,134922,135227,135625,,140112,140346,141556,141641,141746,141934,142050,142133,142407,142524,142735,142935,143052,143219,143429,143755,143900
44,AA7488-2,,,,,140050,140241,140440,140944,142050,,,,,,,,,,,,,143839,144017
45,AA7303-3,140112,140346,140756,141100,141356,141703,141945,142311,143524,143618,143712,143828,144017,144132,144321,144447,144646,144836,144943,145059,145300,145616,145742
46,MW4825-3,140534,140955,141324,141703,142018,142250,142607,143052,144310,144415,144509,144614,144825,144909,145059,145228,145438,145637,145753,145908,150035,150310,150427
47,AA7252-1,,,,144458,144708,144932,145427,145731,151409,151525,151619,,,,,,,,152921,,,153531,153635
48,MW4366-4,,145753,150119,150332,150605,150756,151133,151442,153447,153603,153646,153803,154026,154109,154309,154403,154540,154802,154907,155002,155056,155351,155528
49,AA7405-3,,,,145952,,150459,150745,151111,152848,152942,153037,,153415,153509,153657,153803,153858,154003,154120,154225,154341,154624,154718
50,AA7536-1,,,,,,,,150141,151829,151912,,,,,,,,,,153205,153415,153635,153803
51,MW4798-0,150554,151050,151431,151851,152101,152300,152626,152837,154802,154907,155013,155129,155257,155401,155603,155710,155837,160036,160152,160310,160552,160835,161046
52,AA6952-3,151558,,172254,172536,172746,,153625,,,,,,,,,,,,,,161002,162205,
53,AA7871-2,,152931,153310,,154225,154341,154645,154918,160331,160404,160458,160647,160930,161002,161118,161223,161317,161506,161623,161728,161907,162217,162354
54,MW3204-0,155743,160320,160531,160951,161350,161623,161856,162154,163400,163434,163529,163625,163804,163848,164049,164132,164237,164342,164436,164530,164708,164930,165024
55,AA7488-3,,,,,161013,161150,161517,161812,163008,163114,163209,163316,163507,163614,163837,163942,164049,,,,164751,164930,165035
56,MP5991-0,,161506,161845,162205,162555,162819,163019,163338,164458,164530,164625,,164919,165013,165141,165248,165405,165510,165615,165659,165814,170050,170242
57,MW4825-4,161539,162217,162416,162702,163041,163305,163614,163742,165215,165310,165415,165521,165659,165742,165911,170018,170112,170337,170453,170547,170736,171019,171230
58,AA7418-3,174130,174613,174929,175244,175632,175916,180236,180530,161917,162003,162047,162154,162405,182255,182505,182559,182715,182841,182936,183030,,,
59,AA7530-3,,162427,163157,,163942,164216,164415,164719,165826,165911,170018,170134,170315,170348,170525,170609,170652,170852,170935,171030,171157,171441,171524
60,AA7252-2,,162639,162936,163411,163742,163921,164331,164646,165804,165838,,,,,170504,170536,170631,170736,170841,170935,171146,171346,171513
61,AA7637-2,,,164310,164614,165119,165510,165900,170040,171219,171252,171346,171441,171640,171735,171956,172050,172254,172442,172619,172713,172757,173006,173101
62,AA7536-2,,,,,165648,,165911,170220,,,,,,,,,,,,,,,174646
63,AA7405-4,165814,170536,170924,171336,171535,,172221,172713,173741,173836,173929,,174235,174318,174446,174541,174646,174729,174845,175001,175149,175516,175654
64,MW4366-5,170913,171557,171956,172359,172703,172934,173343,173636,174718,174802,174856,175012,175138,175222,175349,175443,175548,175726,175821,175938,180149,180447,180635
65,MW4798-1,172018,172536,172818,173300,173553,173719,174318,174624,175843,175938,180032,180149,180342,180458,180635,180730,180848,181006,181122,181219,181357,181701,181840
66,AA7871-3,172525,173144,173604,,174257,174519,174907,175400,180458,180603,180646,180815,181111,181219,181346,181451,181556,181701,181818,181913,182146,182516,182642
67,AA7842-4,174656,,,,,,,,182548,182653,,,,,183252,183346,183504,183610,183726,183821,183949,184232,184400
68,AA7303-4,175832,175843,180815,,,181734,182102,182255,183303,183357,183504,183526,183643,183748,183949,184105,184221,184433,184550,184654,184749,,
69,AA7488-4,,181111,,,,182349,182726,182841,184033,184116,184210,184349,184601,184716,184916,185010,,,,,,,
70,MW4825-5,181451,182316,182653,183019,183429,183610,184000,184338,,,,,,,,,,,,,,,
71,AA7252-3,,182936,183219,183654,183854,184116,,,,,,,,,,,,,,,,,
72,AA7637-3,184043,,,,,,,,,,,,,,,,,,,,,,
73,AA7530-4,,184105,184306,184749,,,,,,,,,,,,,,,,,,,
