,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4598-0,,,,,,,,,,,,,,,,,,,,1,2,1,2,-1
1,AA7749-0,,,,,,,,,,,,1,,1,1,1,2,,-1,,1,,1,-1
2,AA7931-0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,-1
3,MX4338-0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,-1
4,MX4021-0,5,1,1,1,3,1,1,1,1,1,-1,1,1,1,1,1,2,1,-1,2,1,1,1,-1
5,MX4383-0,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,2,1,2,-1
6,AA7699-0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,,,,,
7,MX4365-0,1,1,1,1,3,1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,2,2,1,1,-1
8,MS1935-0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,1,-1,1,2,1,1,-1
9,MX3783-0,2,2,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,1,1,1,1,-1
10,AA7539-0,2,1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,1,2,1,1,-1
11,MX4598-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,2,-1,1,2,1,1,-1
12,AA7749-1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,4,,,2,1,1,1,-1
13,MX4614-0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,2,-1,2,1,1,1,-1
14,AA7931-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,-1,3,2,1,1,-1
15,MX4338-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,-1,1,2,1,1,-1
16,AA6760-0,-1,1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,,-1,2,1,1,2,-1
17,MX4021-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,2,1,-1,3,1,1,1,-1
18,AA7708-0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,2,3,1,1,-1
19,MX4383-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,3,3,1,3,-1
20,MX4365-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,2,2,1,1,-1
21,MS1935-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,3,2,3,-1,3,2,1,1,-1
22,AA7393-0,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,3,-1,2,3,1,1,-1
23,MX3783-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,2,-1,2,2,1,1,-1
24,AA7539-1,1,1,1,1,5,-1,1,1,1,1,1,1,1,1,1,1,3,1,-1,3,2,1,2,-1
25,MX4598-2,1,1,1,1,2,-1,1,1,1,1,-1,1,1,1,1,1,2,2,-1,2,3,1,1,-1
26,AA7749-2,1,1,1,2,1,,1,1,1,1,1,1,,1,1,1,2,1,-1,,1,1,1,-1
27,MX4614-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,2,1,-1,4,1,1,1,-1
28,AA7931-2,1,1,1,1,5,-1,1,1,1,1,1,1,1,1,1,1,3,2,-1,4,2,1,1,-1
