,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MX1105-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070530
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070446,070613,070835,071048,071242,071350,071455,071844
2,MX1526-0,,,,,,,,,,,,,,,,,070102,070125,070328,070551,070635,070718,070825,070941,071048,071142,071611,071833,071938,072149,072330,072535,072817,073027,073143,073355,073744
3,MX1084-0,,,,,,,,,,,,070102,070222,070339,070707,070846,071014,071048,071318,071622,071716,071801,071917,072044,072202,072247,072722,073100,073154,073417,073533,073744,074016,074252,074409,074609,075019
4,MZ3559-0,070102,070125,070233,070317,070339,070424,070446,070519,070551,070656,070752,070857,071048,071242,071527,071622,071716,071801,071927,072138,072213,072258,072352,072502,072545,072618,073016,073301,073355,073628,073806,073933,074027,074252,074409,074609,075019
5,MZ3734-0,071026,071142,071307,071339,071401,071433,071517,071600,071654,071822,071927,072055,072247,072403,072650,072733,073005,073049,073301,073522,073606,073650,073806,073922,074050,074123,074609,074936,075030,075358,075520,075752,075919,080140,080235,080330,080724
6,MZ3956-0,072000,072202,072341,072414,072437,072524,072545,072639,072701,072817,072911,073038,073250,073450,073806,074016,074112,074155,074336,074609,074652,074724,074830,074958,075052,075114,075552,075803,075941,080308,080425,080651,080824,081031,081210,081315,081803
7,MZ3825-0,073154,073301,073439,073501,073522,073555,073617,073701,073744,073849,074006,074101,074241,074336,074630,074819,074925,074958,075220,075520,075604,075648,075803,075930,080035,080129,080556,080810,080903,081157,081254,081421,081635,081803,081919,082024,082420
8,MZ3556-0,074016,074112,074230,074252,074314,074336,074409,074442,074514,074619,074713,074819,074958,075124,075358,075431,075658,075731,075908,080119,080214,080257,080352,080510,080618,080724,081147,081421,081526,081846,081941,082144,082336,082620,082714,082830,083314
9,MZ4228-0,075135,075231,075347,075420,075456,075531,075552,075637,075731,075836,080003,080140,080403,,081315,081432,081657,081741,082003,,,,,082819,082935,082957,083503,083715,083856,084141,084301,084536,084746,085041,085157,085248,085721
10,MZ3978-0,075520,075709,075836,075919,075941,080014,080035,080108,080140,080235,080352,080457,080651,080947,081304,081421,081657,081741,081951,082252,082325,082431,082558,082736,082903,082935,083420,083704,083812,084130,084250,084452,084641,085041,085146,085226,085710
11,MZ4072-0,080235,080352,080457,080521,080545,080629,080651,080724,080756,080849,080947,081052,081315,081453,081752,081835,082101,082144,082325,082547,082620,082714,082830,082946,083051,083113,083525,083907,084013,084345,084452,084641,084819,085041,085226,085353,085859
12,MX1105-1,080824,082206,082347,082442,082503,082547,082620,082703,082758,082914,083040,083209,083347,083525,083856,084024,084130,084239,084430,084630,084735,084819,084936,085052,085214,085259,085710,085942,090131,090616,090818,091027,091229,091638,091754,091933,092301
13,MZ3740-0,080936,081052,081232,081304,081315,081359,081421,081453,081549,081635,081741,081908,082133,082219,082453,082620,082714,082747,083019,083220,083252,083336,083442,083620,083749,083823,084301,084525,084630,084830,084958,085226,085448,085721,085837,085942,090355
