,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070158,070653,070926,071136,071347,071514,071608,071703,071757,071851,071956,072208,072335,072441
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070209,070304,070348,070610,070704,070736,071314,071535,071714,071757,071851,071923,072030,072124,072230,072302,072419,072923,073144,073344,073513,073651,073745,073924,074030,074124,074251,074451,074607,074734
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070102,070220,070348,070504,070747,070854,070926,071020,071103,071158,071630,071912,072041,072146,072240,072346,072535,072618,072724,072756,072934,073429,073702,073956,074113,074218,074407,074534,074640,074734,074901,075100,075227,075322
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,070102,070115,070253,,070548,070642,070736,070854,070926,070958,071125,071441,071818,,072114,072230,072313,072430,072546,073006,073218,073418,073818,073945,074030,074251,074345,074451,,075216,075405,075554,,075754,075922,080017,080155,080216,080343,080850,081111,081322,,081607,081701,081955,082155,082344,082555,,082712,083113
4,MS1935-0,,,,,,,,,,,,,070102,070209,070620,070747,070832,071042,071103,071231,071314,071514,071714,071934,072041,072251,072430,072535,072702,072734,072850,072945,073028,073155,073334,073713,073935,074124,074229,074335,074429,074607,074723,,075438,075511,075849,080006,080038,080259,080354,080417,080923,081155,081355,081533,081712,081806,082007,082134,082301,082355,082523,083007,083229,083440,083556,083748,083926,084147,084314,084431,084536,084809,,085314
5,MW3053-0,,070102,070231,070409,070548,070810,070958,071103,071209,071304,071441,071557,071641,072007,072346,072513,072557,072724,072807,072955,073017,073239,073535,073745,073818,073935,074102,074218,074345,074440,074534,074618,074650,074712,074829,075133,075249,075500,075605,075700,075754,080100,080227,080649,080901,081133,081449,081607,081817,081912,082050,082134,082839,083124,083357,083609,083748,083904,084104,084220,084409,084504,084726,085241,085535,085852,085957,090052,090219,090346,090452,090609,090747,091031,091220,091325
6,MS2365-0,072041,072124,072419,072745,073028,073418,073651,073840,074207,074251,074451,074618,074829,075227,075627,075827,075911,080049,080205,080332,080417,080628,080912,081122,081227,081428,081607,081650,081901,081955,082039,082145,082206,082239,082355,082755,082956,083113,083240,083335,083418,083641,083810,084209,084409,084504,084904,085041,085230,085335,085452,085535,090124,090441,090631,090820,091020,091115,091303,091420,091536,091631,091809,092316,092610,092832,092948,093126,093243,093528,093646,093813,093930,094057,094236,094458
7,MW2390-1,073924,074302,074640,074912,075154,075554,075711,075849,080017,080122,080343,080501,080555,080923,081311,081439,081522,081712,081806,081944,082028,082355,082617,083029,083229,083418,083534,083630,083748,083853,083937,084020,084115,084220,084347,084704,084842,085008,085147,085303,085335,085546,085641,090008,090146,090303,090642,090737,090820,090914,090947,091031,091853,092105,092243,092433,,,,,093115,093221,093348,093835,094130,094320,094415,094614,094804,094920,095025,095217,095312,095556,095701,095839
8,MW2856-0,,075627,075838,080100,080501,080806,081028,081155,081300,081355,081607,081701,081755,082134,082555,082828,082912,083051,083135,083346,083451,083820,084126,084504,084620,084831,085008,085125,085303,085357,085503,085557,085641,085703,085841,090146,090314,090502,090653,090758,090831,091031,091136,091547,091703,091853,092200,092338,092433,092716,092821,092915,093708,094036,094236,094426,094531,094658,094825,,095047,095142,095322,095828,100156,100355,100501,100650,100850,101018,101146,101313,101430,101725,101903,102008
9,MS1695-1,,081238,081555,081745,082155,082501,082650,082817,083113,083208,083346,083502,083703,084020,084409,084525,084609,084736,084831,084958,085052,085252,085524,085925,090052,090241,090419,090524,090737,090842,091009,091136,091158,091242,091347,091620,091725,091926,092021,092116,092149,092305,092422,092716,092937,093021,093316,093433,093517,093730,093846,093941,094753,095109,095322,095450,095607,095701,095817,095912,100050,100145,100312,100745,101007,101146,101324,101503,101557,101736,101903,101957,102135,102336,102525,102757
10,MW2780-1,082934,083124,083251,083523,083736,084020,084231,084514,084653,084809,085008,085103,085208,085513,085841,090019,090102,090208,090303,090441,090524,090653,090958,091336,091441,091642,091820,091853,092032,092138,092243,092349,092433,092505,092610,092937,093126,093359,093455,093602,093657,093835,093930,094353,094614,094753,095058,095206,095344,095428,095512,095556,100134,100450,100640,100756,100901,101029,101157,101240,101408,101503,101608,102041,102303,102514,102641,102843,102938,103149,103244,103349,103538,103822,104044,104211
11,MS2259-1,083124,085019,085314,085714,120348,090441,090558,090820,122555,122627,091525,091547,091631,091937,092327,092516,092621,124404,092915,093104,093243,093421,093708,093941,094130,094426,094531,130143,094625,094836,095004,095120,095142,095217,095344,095817,100007,100239,100323,100429,100512,100640,100734,101146,101357,101441,101925,102041,102146,102408,102525,102608,135028,103844,104149,104316,104601,104623,,140436,105258,,105319,105835,110120,110341,110509,110647,110943,111122,111216,111511,111711,111922,112133,144144
12,MS1935-1,,091358,091736,091937,092232,092705,092737,092937,093243,093337,093539,093646,093719,094047,094415,094625,,094920,094931,095058,095153,095344,095628,095923,100039,100239,100450,100556,100723,100828,100923,101007,101040,101102,101208,101703,101841,102008,102114,102208,102241,102408,102514,102916,103105,103305,103655,103811,103844,103927,104044,104116,104857,105225,105414,105508,105625,105657,105813,105846,105952,110025,110152,110636,110911,111205,111322,,,111849,112049,112228,112430,112841,112935,113102
