,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070151,070658,070921,071111,071227,071333,071427,071522,071617,071734,071818,072007,072146,072252
1,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070436,,,,,,,,,,,,,,,,,,,,070105,,,,,,,071216,071333,071438,071533,071650,071756,071851,071945,072103,072631,072854,073055,073200,073317,073444,073550,073657,073731,073836,074059,074121,074216
2,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070319,070447,070615,070859,070954,071143,071227,071333,071406,071818,072030,072157,072252,072347,072420,072537,072631,072748,072821,072916,073400,073635,073847,074015,074121,074226,074343,074439,074556,074713,074935,075008,075103
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070202,070341,070425,070447,070542,070604,070626,070742,071038,071227,071333,071417,071533,071606,071734,071840,072136,072314,072453,072726,072832,073022,073106,073200,073233,073657,073858,074048,074216,074310,074416,074523,074618,074724,074757,074903,075409,075621,075854,080033,080138,080244,080339,080424,080520,080637,080840,081030,081125
4,MS2259-0,,,,,,,,,,,,,,070105,070224,070330,070403,,,070658,070720,070910,071133,071406,071449,071617,071734,071840,071956,072041,072124,072219,072252,072325,072431,072704,072854,,073106,,,,073117,073836,074037,,074321,074428,074618,074702,074746,074819,075315,075515,075642,075715,075821,075916,,,,080255,,080818,081041,081316,081507,081625,081730,081804,081932,082026,082048,082215,,082405
5,MW3430-0,070105,070224,070414,070604,070742,070943,071133,071238,071438,071522,071628,071723,071807,072146,072548,072715,072811,072916,073000,073127,073200,073338,073602,073826,073942,074143,074310,074416,074556,074640,074713,074746,074841,074924,075030,075347,075453,075621,075726,075854,075937,080127,080244,080626,080744,080840,081136,081232,081412,081529,081636,081719,082215,082449,082638,082744,082912,082956,083134,083241,083346,083441,083608,084149,084424,084614,084815,084921,085015,085120,085215,085353,085510,085711,085911,090028
6,MW2856-0,,,072007,072136,072325,072515,072610,072704,072748,072832,073055,073211,073400,073753,074132,074259,074321,074428,074523,074651,074724,074852,075103,075315,075409,075610,075737,075843,080055,080200,080244,080350,080435,080457,080615,080947,081125,081254,081338,081456,081529,081730,081836,082226,082427,082616,082901,083018,083218,083314,083357,083503,084043,084317,084508,084614,084731,084859,085037,085142,085237,085331,085448,085922,090155,090303,090504,090631,090811,090906,091011,091150,091309,091437,091649,091806
7,MW3053-0,073400,073433,073657,073858,074048,074310,074354,074450,074629,074713,074841,074924,075030,075409,075748,075927,080011,080127,080233,080402,080435,080615,080840,081041,081136,081327,081456,081550,081741,081836,081920,081953,082048,082121,082226,082606,082733,082945,083040,083156,083252,083452,083557,,083926,084116,084446,084603,084815,084910,084953,085026,085532,085744,085922,090038,090123,090217,090336,090420,090537,090620,090715,091203,091437,091649,091849,092029,092124,092241,092359,092505,092611,092825,093027,093122
8,MW2390-1,,075125,075220,075347,075442,075715,075810,075916,080055,080117,080306,080328,080457,080829,081232,081349,081412,081518,081625,081730,081815,081932,082154,082354,082500,082700,082828,082934,083051,083134,083207,083346,083419,083441,083547,083831,084010,084244,084339,084508,084541,084719,084826,085110,085259,085510,085827,085933,090028,090303,090358,090442,090906,091117,091258,091426,091521,091627,091806,091849,091945,092018,092135,092644,092932,093218,093420,093548,093706,093858,094016,094155,094252,094409,094610,094726
9,MW3496-1,,080840,081019,081125,081349,081518,081708,081825,081909,081932,082110,082143,082215,082555,082945,083102,083145,083314,083408,083557,083630,083736,083937,084138,084233,084413,084508,084603,084731,084804,084859,084942,085004,085048,085153,085448,085627,085849,085933,090028,090111,090230,090325,090431,090642,090844,091128,091247,091415,091521,091616,091649,092146,092359,092600,092717,092825,092859,093005,093100,093155,093230,093325,093803,094027,094155,094325,094431,094548,094704,094737,094854,095000,095106,095150,095258
