,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7322-0,080155,080515,080716,081104,081305,081443,081727,082032,083305,083506,,083855,083950,084121,084226,084426,084604,084709,084826,084954,070109,085345
1,AA7440-0,,,,,,,,,,,070109,070249,070355,070405,070534,070745,070934,071039,071155,071427,071806,071911
2,AA7173-0,,,,,,,,070109,070300,070417,070618,070745,070851,071050,071144,071238,071417,071522,071639,071817,072145,072301
3,AA6952-0,083644,083717,084720,085143,085513,085841,070109,070155,071155,071322,071533,115146,071733,071839,072006,072207,072406,072501,072627,072733,073100,161218
4,AA7488-0,,070109,070206,070640,071028,071155,071406,071533,072533,072638,072923,073100,073207,073407,073513,073619,073713,073818,073935,074146,074419,074546
5,MR7964-0,,,,,070155,070311,070545,070701,071544,071639,071839,072017,072123,072301,072334,072439,072533,072638,072754,072912,073207,073356
6,AA7149-0,070439,070629,070829,071155,071427,071628,071850,072006,072945,073100,073301,073429,073535,073630,073746,073946,074157,074302,074408,074546,074807,074934
7,AA7530-0,,,,,,,,,070501,070545,070807,070956,071050,071228,071333,071427,071554,071701,071817,072006,072239,072428
8,AA7706-0,,071344,071701,072123,072356,072450,072711,072839,073746,073851,074135,074302,074408,074535,074640,074746,074902,075007,075123,075345,075651,075746
9,AA7101-0,,,,072145,072439,072617,072850,073017,073946,074051,074335,074513,074608,074724,074757,074851,075040,075135,075302,075545,075840,080007
10,AA7492-0,,072301,072533,072807,073111,,073513,073641,074630,074735,,075113,075251,075313,075324,075512,075607,075651,075808,075945,080301,080504
11,AA7323-0,,073039,073513,074041,074124,074335,074513,074746,075829,075934,080155,080359,080431,080610,080716,080821,080948,081116,081222,081349,081716,081810
12,MW3346-0,,,,,,,,073641,074630,074724,074913,075040,075135,075251,075345,075439,075556,075640,075757,075945,080250,080420
13,AA7248-0,073924,074019,074313,074546,074851,100646,075439,075556,080537,080621,080915,081021,102646,081305,081410,081632,081821,081927,082032,082148,082453,103835
14,AA7530-1,075218,081316,081516,081854,082116,082421,082548,082854,084331,084458,,084943,085048,085250,085345,085440,085630,085714,085830,085946,090241,090407
15,AA7637-0,075607,075702,075923,080312,080515,080632,080926,081222,082316,082453,082714,082904,082959,083159,083305,083527,083728,083833,083950,084153,084415,084542
16,AA7536-0,100234,100350,100729,122936,080039,101614,080101,080250,081316,081421,125332,125415,150126,082137,082210,082432,082537,082642,082747,082937,130533,151448
17,AA7440-1,082137,082254,082609,083010,083305,083506,083822,084142,085736,085946,090208,090407,090451,090725,090831,091021,091222,091349,091516,091749,092043,092232
18,AA7173-1,082810,083115,083411,083655,083917,084153,084353,084636,090219,090356,090631,090747,090831,091010,091115,091222,091400,091505,091611,091800,092054,092232
19,AA7706-1,084048,090113,090346,090809,091021,091137,091444,091738,092831,092947,,093336,093420,093549,093643,093811,094010,094128,094255,094413,094658,094742
20,AA7488-1,084859,085356,085758,,090440,090631,090925,091115,092210,092326,092558,092747,092903,093030,093125,093303,093358,093506,093633,093811,094117,094212
21,AA7149-1,090704,091043,091411,091800,092221,092431,092736,092914,094054,094234,094435,094614,094658,094804,094836,095057,095246,095413,095456,095646,100003,100118
22,AA7101-1,091854,092116,092442,092715,093114,093252,093611,093727,094753,094920,095152,095413,095456,095625,095730,095836,100046,100151,100307,100424,100657,100803
23,AA7492-1,,093241,093538,093916,094318,,094804,094847,100003,100129,100350,100530,,,100740,101003,101203,101319,101424,101529,101802,101951
