,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7101-0,,,,,,,,,,,,,,,,,,,070104,070200,070435,070603
1,AA7536-0,,,,,,,,,,070104,,070128,070233,070402,070435,070508,070624,070719,070814,070919,071214,071319
2,AA7706-0,,,,,,,,070104,070541,070624,070825,070942,071036,071225,071319,071414,071553,071700,071817,072039,072300,072438
3,AA7248-0,,,,,070104,070139,070149,070255,071341,071447,071638,071755,071901,072100,072206,072311,072405,072500,072616,072754,073026,073058
4,AA7149-0,,070104,070424,070742,071025,071131,071319,071425,072333,072532,072805,072942,073048,073258,073414,073519,073635,073731,073847,073952,074213,074318
5,AA7195-0,070446,,070836,071152,071403,071627,071649,071828,072910,072953,,073258,073403,073508,073541,073646,073814,073919,074003,074140,074403,074435
6,AA6952-0,071330,071458,071711,071923,072122,,072522,072638,073741,073836,074024,074202,074256,074540,074624,074657,074836,074941,075036,075142,075353,080744
7,AA7488-0,072238,072416,072754,073131,073309,073436,073731,073857,074751,074836,075058,075203,075258,075519,075614,075708,075908,080014,080058,080203,080447,080553
8,AA7721-0,,073247,073624,074024,074245,074457,,074741,075719,075814,075952,080120,080214,080320,080353,080458,080615,080710,080755,080946,081217,081346
9,MW4640-0,073941,074213,074457,074730,074836,074930,075131,075247,080058,080152,080331,080447,080542,080659,080744,080840,080935,081029,081101,081156,081346,081452
10,AA7530-0,,075036,075331,075646,075908,080236,080342,080509,081346,081452,,081830,081935,082125,082157,082303,082347,082503,082546,082746,083018,083113
11,AA7322-0,075530,075719,080003,080236,,,,080807,081725,081757,,,082146,082325,082420,082452,082652,082746,082841,082946,083145,083335
12,AA7101-1,080225,080531,080829,081051,081302,081441,081725,082008,082946,083051,083324,083450,083608,083819,083902,083956,084114,084219,084335,084548,084831,084958
13,AA7536-1,081407,,081703,081935,082230,082431,082514,082641,083545,083640,083840,083946,084019,084157,084241,084324,084431,084537,084620,084747,085031,085233
14,AA7706-1,082146,082452,082746,083207,083429,083619,083902,084146,085115,085209,085411,085538,085611,085833,085916,090022,090138,090243,090338,090549,090811,090949
15,AA7195-1,,083324,083619,083851,084103,,084526,084704,085527,085622,,085938,090011,090210,090306,090349,090505,090610,090654,090748,090949,091105
16,AA7248-1,084157,084431,084653,085009,085220,085727,085738,085855,090726,090822,,091159,091232,091359,091432,091558,091715,091831,091914,092135,092408,092610
17,AA7149-1,,085527,085738,090022,090306,090443,090643,090748,091726,091831,,092157,092240,092441,092548,092643,092811,092927,093010,093209,093421,093559
18,AA6952-1,,,090822,091105,091316,,091726,091809,092738,092832,093021,093159,093232,093410,093453,093548,093704,093809,093853,094042,094325,094452
19,AA7488-1,091653,091925,092113,092452,092632,092749,093104,093232,094209,094314,,094713,094820,095041,095146,095251,095418,095524,095618,095734,100008,100124
20,MW4640-1,093115,093410,093559,093904,094104,094252,094503,094608,095502,095545,095734,095901,095935,100041,100113,100207,100356,100502,100607,100702,100851,100956
21,AA7530-1,093220,094735,094904,095251,095556,095650,095901,100008,100945,101040,,101356,101501,101711,101755,101839,102006,102123,102206,102336,102557,102702
22,AA7322-1,095556,095923,100145,100618,,,101240,101523,102608,102640,102840,102955,103039,103206,103322,103406,103554,103709,103804,103837,104111,104216
