,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,,070106,070143,070226,070332,070438,070544,070700,070817,071059,071205
1,MW4705-0,,,,,,,,070106,070522,070606,070817,070954,071059,071248,071353,071458,071605,071710,071828,071934,072229,072409
2,AA7530-0,,,,,,,,070106,070511,070606,070806,070922,071005,071110,071154,071237,071415,071458,071616,071722,071955,072102
3,AA6952-0,,,,,070106,,070215,070321,071321,071437,071638,071828,071934,072135,072241,072347,072526,072632,072759,072843,073137,073253
4,AA7149-0,,070106,071143,071426,071733,071945,072208,072335,073326,073453,073703,073831,074103,074230,074335,074441,074557,074703,074820,074947,075233,075349
5,AA7488-0,070106,070128,070321,070744,070933,071059,071216,071332,072358,072504,,072832,072937,073158,073242,073358,073525,073630,073747,073946,074230,074335
6,MR7964-0,,,,,070204,070321,070533,070700,071553,071638,071839,071955,072102,072219,072303,072358,072537,072643,072759,072843,073137,073304
7,AA7248-0,071143,073936,074230,074535,074904,,075254,075432,080340,080436,080657,080846,,081108,081236,081331,081519,081625,081741,081940,082236,082353
8,AA7214-0,071912,071955,072219,072431,072738,072959,,,074335,074430,074619,074735,074842,074958,075104,075159,075243,075349,075505,075600,075844,080044
9,AA7101-0,,,,,072621,072810,073021,073147,074125,074230,074441,074557,074713,074831,074925,075031,075243,075349,075505,075600,075833,080033
10,AA7195-0,072905,,073137,073504,073831,073957,074146,074302,075148,075243,075443,075633,075738,075927,080033,080139,080307,080414,080519,080552,080857,081025
11,MW3346-0,,,,,,,,073957,075020,075104,075305,075421,075527,075738,075833,075927,080011,080106,080211,080351,080613,080729
12,AA7536-0,,,075031,075243,075505,075705,075822,080106,081214,081309,,081646,081751,082003,082109,082226,082404,082509,082553,082753,083121,083216
13,AA7522-0,075243,075600,075844,080211,080519,080846,081057,081331,082331,082458,082731,082909,083015,083132,083248,083416,083617,083734,083851,083957,084314,084452
14,AA7530-1,,080425,080635,081014,081236,081458,081741,082036,083004,083121,083321,083459,083617,083734,083840,083946,084124,084230,084336,084547,084830,084913
15,AA7322-0,080930,081352,081657,082014,082236,,082731,083026,084018,084113,,084525,084620,084808,084913,085114,085157,085305,085410,085548,085810,085937
16,AA7706-1,081813,082226,082509,082953,083132,083259,083554,083711,084903,085019,,085454,085559,085737,085843,090010,090209,090314,090409,090546,090830,091019
17,MW4705-1,082858,083110,083310,083756,084030,084135,084358,084641,085559,085654,085915,090104,090136,090314,090420,090546,090724,090841,090957,091146,091526,091654
18,AA6952-1,,084102,084630,085019,085255,085632,085821,085959,091041,091146,091526,091621,091716,091938,092043,092211,092329,092447,092553,092745,093040,093302
19,AA7488-1,084935,085135,085432,085748,085937,090126,090336,090608,091559,091654,091927,092403,092509,092723,092819,092924,093145,093302,093346,093534,093944,094133
20,AA7149-1,090042,,090514,090808,091041,091314,091515,091748,092841,092946,093156,093335,093418,093640,093734,093850,093955,094122,094228,094450,094700,094818
21,AA7101-1,,091442,091821,092200,092542,092756,093102,093219,094439,094522,094734,094923,094956,095145,095301,095355,095556,095702,095818,095956,100217,100417
22,AA7214-1,092531,092615,092914,093241,093618,093850,094238,094406,095406,095512,095745,095901,095956,100112,100217,100311,100406,100511,100616,100711,100945,101051
23,AA7248-1,093145,095039,095312,095640,100028,,,100806,101821,101905,102128,102328,102435,102540,102624,102734,102936,103114,103209,103325,103525,103737
24,AA7195-1,093523,093955,094238,094700,095028,095451,095608,095818,100817,100901,101145,101240,101324,101546,101653,101810,102011,102116,102201,102402,102659,102819
25,AA7536-1,,100050,100355,100723,101040,,,101748,102819,102914,103220,103325,103420,103630,103726,103903,104052,104147,104252,104440,104702,104851
26,AA7522-1,100511,100912,101430,101832,102106,102339,102648,102914,104031,104147,104419,104607,104640,104935,105040,105207,105346,105451,105545,105744,110100,110205
27,AA7322-1,,102128,102507,102903,103158,,,103903,104818,104913,,105251,105335,105502,105607,105733,105838,105955,110049,110132,110332,110510
28,AA7530-2,103420,103726,104114,104535,,105156,105429,105628,110626,110721,,111059,111216,111354,111459,111617,111744,111850,111945,112156,112451,112545
29,AA7706-2,104851,105102,105429,105838,110132,110321,110605,110827,111744,111839,112051,112229,112301,112451,112556,112701,112850,113006,113122,113312,113617,113734
30,MW4705-2,110121,110554,110805,111216,111521,111638,111901,112029,112955,113100,113345,113522,113628,113817,113922,114038,114143,114300,114417,114616,114912,115112
31,AA6952-2,111542,111912,112355,112734,113218,113701,113828,114017,115155,115300,115545,115746,115852,120031,120158,120359,120538,120643,120800,121033,121306,121737
32,AA7488-2,113155,113239,113439,113828,114122,114322,114522,114616,115545,115630,,120008,120052,120230,120336,120505,120705,120811,120916,121033,121349,121549
33,AA7149-2,,114354,114755,115112,115512,115830,120147,120421,121643,121715,121958,122105,122210,122435,122541,122657,122814,122930,123046,123246,123529,123730
34,AA7214-2,,115523,115841,120125,120527,120811,121116,121222,122351,122435,,122718,122825,123002,123107,123224,123308,123424,123507,123635,123857,123951
35,AA7195-2,120727,,121443,121842,122054,,,,124024,124119,124319,124424,124530,124739,124845,125001,125203,125309,125436,125531,125803,125857
36,AA7536-2,122159,122646,123046,123308,123646,124108,124141,124939,125951,130046,,130446,130613,130729,130836,130941,131107,131224,131307,131402,131635,131824
37,AA7522-2,123456,123813,124130,124530,124928,125319,125541,125857,131224,131307,,131730,131814,132036,132258,132425,132530,132646,132814,133046,133308,133447
38,AA7322-2,124508,124750,124928,125247,125520,125719,125919,130057,131245,131329,,131708,131803,132036,132258,132425,132530,132646,132741,132858,133119,133225
39,AA7706-3,125930,130224,130519,,131256,131456,131658,131952,133119,133203,133425,133552,133657,133919,134026,134226,134332,134449,134555,134734,134946,135148
40,MW4705-3,130646,131529,131847,132320,132708,132930,133225,133508,134606,134710,134946,135209,135317,135454,135658,135915,140054,140204,140331,140420,140704,140842
41,AA6952-3,,,133508,133857,134259,134616,134807,135317,140420,140503,140737,140939,141024,141247,141353,141551,141710,141837,141945,142105,142341,142541
42,AA7488-3,,,134248,,134807,134935,135209,135516,140619,140704,,141151,141247,141457,141551,141754,141957,142105,142159,142319,142541,142700
43,AA7149-3,134321,134616,134829,135104,135516,135804,140138,140514,141647,141754,142021,142234,142319,142552,142724,143109,143251,143407,143503,143609,143835,143953
44,AA7214-3,135742,135847,140138,140442,140831,141002,141309,141647,142757,142830,143036,143251,143334,143526,143801,144038,144216,144332,144416,144532,144747,144914
45,AA7195-3,,,141732,142010,142403,,142852,143047,144248,144405,144604,144809,144914,145021,145137,145353,145523,145628,,150020,150306,150509
46,AA7536-3,,142916,143345,143835,144459,,144936,145404,150350,150447,,150910,151018,151230,151347,151547,151738,151854,152013,152246,152437,152543
47,AA7522-3,,144006,144650,145021,145512,145706,150009,150147,151357,151441,,151854,151939,152151,152319,152510,152605,152714,152821,153011,153248,153358
48,AA7706-4,145247,145801,150030,,150910,151112,151336,151716,152759,152854,153117,153259,153346,153503,153609,153726,153823,153933,154027,154140,154350,154446
