,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070130,070229,070346,070833,071044,071248,071345,071451,071534,071618,071714,071823,071917,072036,072120,072252
1,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070141,070313,070409,070453,070526,071001,071217,071407,071502,071629,071714,071833,071928,072014,072109,072216,072703,072936,073114,073221,073338,073506,073603,073657,073814,073920,074059,074228,074300
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070202,070844,071044,071233,071534,071651,071801,071856,072003,072036,072449,072703,072841,072958,073052,073158,073316,073411,073517,073603,073657,074154,074428,074701,074830,074937,075032,075116,075202,075258,075353,075643,075801,075856
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070151,070240,070357,070442,070526,070631,070653,070727,070844,071202,,071556,071640,071801,071845,072003,072058,072514,072747,072758,073103,073221,073433,073657,073814,073847,,074617,074808,074926,075043,075150,,075426,075559,075643,075801,080259,080612,080802,080829,081126,081221,081444,081614,081742,081901,082052,082139,082322
4,MW3430-0,,,,,,,,,,,,,,070105,070420,070547,070620,070727,070844,071023,071055,071248,071451,071703,071801,072003,072142,072252,072425,072501,072608,072652,072736,072808,072925,073232,073433,073657,073752,073847,073942,,,,074853,074959,075309,075426,075621,075716,075801,075845,080406,080656,080852,080958,081115,081210,081327,081433,081603,081636,081804,082311,082629,082830,083031,083137,083320,083425,083531,083626,083732,084005,084206,084251
5,MW2856-0,,070105,070119,070251,070335,070515,070536,070642,070800,070833,071023,071106,071150,071440,071812,071917,072003,072058,072131,072252,072314,072437,072630,072830,072925,073114,073232,073316,073528,073613,073646,073741,073803,073825,073931,074154,074344,074522,074617,074723,074819,074915,075021,075812,075951,080025,080332,080439,080612,080707,080802,080841,081316,081506,081720,081827,081923,082019,082117,082216,082300,082344,082502,082936,083214,083436,083542,083743,083849,083943,084100,084155,084324,084514,084620,084814
6,MW3053-0,,072153,072359,072536,072758,073158,073338,073444,073603,073646,073909,073942,074047,074406,074756,074904,074926,075043,075139,075309,075353,075514,075750,075951,080036,080214,080343,080428,080550,080623,080656,080750,080829,080852,080958,081243,081444,081636,081742,081901,081934,082117,082227,082418,082546,082746,083031,083137,083225,083509,083553,083648,084133,084408,084609,084749,084857,084941,085120,085204,085322,085405,085544,090029,090304,090538,090706,090835,091003,091131,091228,091323,091451,091641,091841,091958
7,MW3528-0,073316,075559,075716,075845,080119,080406,080550,080707,080903,081009,081147,081254,081411,081742,082150,082311,082355,082546,082629,082746,082830,083042,083309,083531,083626,083827,084005,084049,084251,084335,084408,084536,084609,084631,084803,085131,085238,085511,085555,085700,085744,085912,090040,090600,090802,090941,091323,091451,091619,091736,091831,091914,092451,092758,093010,093148,093308,093425,093614,093721,093922,094007,094221,094731,095048,095345,095534,095713,095757,095936,100042,100159,100324,100516,100706,100919
8,MW2390-1,,074522,074639,074819,075043,075320,075426,075526,075739,075812,075951,080057,080227,080528,080852,081031,081104,081221,081316,081433,081506,081647,081901,082052,082150,082311,082429,082524,082640,082713,082757,082936,082958,083031,083137,083425,083520,083648,083754,083910,083954,084111,084206,084857,085036,085238,085544,085649,085817,085912,090018,090051,090516,090706,090846,090952,091058,091142,091301,091356,091513,091608,091736,092149,092407,092651,092758,092915,093021,093115,093212,093330,093425,093541,093626,093732
9,MS5097-1,,081104,081316,081455,081720,082007,082030,082139,082249,082333,082451,082535,082629,082936,083330,083436,083520,083648,083721,083849,083932,084111,084335,084536,084620,084803,084930,085003,085153,085238,085311,085354,085427,085449,085606,085839,090018,090157,090304,090359,090432,090549,090919,091036,091301,091451,091841,091936,092032,092127,092216,092250,092747,092937,093115,093159,093319,093436,093637,093732,093900,094029,094232,094731,095048,095356,095534,095713,095808,095936,100053,100216,100335,100633,100655,100825
