,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,070108,070216,070343,070427,070532,070648,070742,070900,071111,071416,071553
1,MW4705-0,,,,,,,,070108,070354,070459,070659,070815,070849,071005,071111,071205,071300,071405,071510,071626,071921,072059
2,MR7964-0,,,,,,,070108,070121,071005,071100,071300,071416,071521,071648,071732,071826,071932,072037,072155,072405,072628,072744
3,AA6952-0,,,,,070108,,070205,070310,071143,071227,071448,071604,071709,071848,071932,072048,072216,072322,072438,072555,072900,073017
4,AA7488-0,,070108,070205,,070826,071100,071205,071343,072333,072427,072649,072806,072900,073049,073133,073239,073406,073501,073618,073747,074033,074105
5,AA7149-0,070721,,071238,071521,071753,072015,072216,072333,073344,073439,,073842,073959,074200,074254,074359,074611,074716,074811,074949,075221,075338
6,MW3346-0,,,,070815,,,,,074749,074833,075043,075159,075243,075443,075548,075642,075820,075936,080030,080135,080418,080639
7,AA7101-0,,,,071859,072416,072606,072828,072955,073948,074105,074316,074432,074516,074727,074822,074938,075127,075221,075338,075537,075758,075903
8,AA7214-0,,071921,072121,072405,072606,072828,073017,073133,074127,074233,074432,074559,074654,074811,074905,075021,075127,075232,075348,075548,075842,080019
9,AA7195-0,072900,072944,073206,073450,073651,073831,074022,074138,075148,075243,,075610,075704,075853,075947,080114,080208,080252,080407,080545,080820,080925
10,AA7248-0,073820,074010,074243,074559,074833,,075421,075632,080725,080820,080958,081125,081210,081348,081538,081655,081801,081856,082013,082141,082436,082614
11,AA7536-0,074559,074844,075127,075443,075820,080124,080241,080429,081348,081443,,081812,081856,082057,082203,082258,082447,082520,082636,082740,082952,083308
12,AA7522-0,075925,075957,080146,080513,080831,081009,081232,081410,082353,082458,,082835,082930,083108,083203,083330,083457,083603,083708,083941,084237,084426
13,AA7322-0,080701,081009,081421,081739,,,082415,082541,083636,083730,,084153,084226,084342,084458,084604,084720,084826,084942,085142,085405,085459
14,AA7706-1,081644,082002,082236,082657,082930,083141,083508,083719,084742,084859,,085343,085427,085638,085744,085945,090103,090208,090324,090408,090657,090804
15,MW4705-1,082919,083014,083319,083708,083846,083952,084215,084458,085615,085722,085945,090113,090157,090357,090453,090620,090741,090859,091015,091143,091416,091554
16,AA6952-1,084014,,084648,085004,085311,085615,085711,085956,091026,091121,,091533,091627,091901,091955,092123,092324,092431,092609,092748,093021,093236
17,AA7488-1,084848,085142,085438,085711,085902,090008,090313,090504,091354,091449,091649,091806,091850,092101,092157,092335,092504,092559,092704,092759,093032,093247
18,AA7149-1,,090208,090547,090859,091238,091511,091755,092051,093214,093331,093604,093731,093847,094119,094213,094331,094459,094626,094720,094944,095228,095407
19,AA7101-1,,,091839,092146,092420,092620,092916,093116,094130,094213,094426,094604,094648,094849,094955,095112,095250,095356,095501,095701,095933,100038
20,AA7214-1,,,093203,093531,093941,094202,094426,094648,095744,095839,100111,100238,100311,100535,100641,100736,100853,101021,101137,101411,101611,101716
21,AA7195-1,,094119,094258,094626,094955,,,,100736,100810,,101148,101232,101454,101600,101654,101822,101926,102021,102126,102420,102631
22,AA7248-1,094933,095218,095345,095701,100016,100451,100546,100810,101800,101916,102137,102336,102420,102609,102653,102758,102937,103032,103148,103253,103536,103800
23,AA7536-1,100100,,100736,101115,101411,,101854,101948,103032,103104,103304,103515,103547,103738,103843,103959,104043,104159,104315,104409,104631,104726
24,AA7522-1,101527,101822,102021,102325,102821,102959,103304,103431,104420,104504,,104936,105042,105230,105335,105513,105652,105758,105914,110043,110255,110349
25,AA7322-1,103126,103515,103905,104231,104704,104936,105314,105535,110622,110717,,111054,111126,111305,111413,111507,111624,111740,111845,112108,112345,112556
26,AA7706-2,,105230,105736,110244,110528,110633,111054,111327,112407,112451,,112916,113010,113316,113432,113610,113822,113938,114105,114337,114632,114748
27,MW4705-2,105513,110506,110822,111137,111457,111635,111907,112157,113159,113254,113515,113654,113739,113906,114011,114138,114326,114443,114537,114715,114959,115128
28,AA6952-2,111338,,111856,112208,112713,113021,113316,113454,114632,114715,115042,115202,115235,115435,115551,115646,115907,120024,120143,120407,120723,120912
29,AA7488-2,112810,113043,113221,,113750,113938,114210,114421,115602,115635,115907,120046,120132,120335,120429,120513,120701,120817,120901,120944,121155,121334
30,AA7149-2,114054,114304,114548,114915,115257,,,120046,121050,121133,,121533,121628,121828,121944,122112,122312,122428,122522,122628,122850,123039
31,AA7214-2,,,115856,120119,120407,120650,120934,121101,122007,122040,122239,122406,122511,122722,122828,122945,123112,123218,123334,123544,123827,123933
32,AA7195-2,121028,121228,121501,121744,122145,122511,122744,122923,123954,124038,,124500,,124806,124911,125039,125206,125312,125407,125617,125933,130110
33,AA7536-2,,122733,122828,123123,123450,123755,123933,124310,125155,125250,,125617,125650,125911,130016,130110,130205,130310,130426,130530,130752,131004
34,AA7522-2,,123744,124143,124438,124839,125111,125334,125639,130803,130858,,131214,131258,131415,131521,131711,131910,132037,132142,132248,132511,132605
35,AA7322-2,124511,124839,125228,125606,130038,130426,130647,131026,132153,132248,,132605,132711,132921,133050,133145,133335,133452,133535,133725,134019,134135
36,MW4705-3,125544,131004,131353,131838,132132,132310,132616,132805,133809,133914,134208,134346,134503,134748,134904,135020,135247,135404,135510,135615,135826,135942
37,AA7706-3,125555,125722,130027,130448,130741,131015,131258,131616,132605,132638,,133039,133156,133441,133535,133703,133830,133957,134052,134302,134525,134654
38,AA6952-3,131859,132142,132427,132744,133039,,133630,133935,134958,135104,135426,135521,135637,135858,135953,140110,140217,140334,140439,140533,140838,141015
39,AA7488-3,133016,133408,133736,134124,134419,134643,134936,135309,140334,140439,,140816,140921,141037,141153,141249,141405,141459,141553,141659,141909,142025
40,AA7214-3,133641,133903,135920,140250,140627,140816,141121,141626,143320,143404,143625,143803,143847,144025,144130,144311,144535,144704,144758,145009,145220,145336
41,AA7149-3,,134346,134559,134821,135129,135331,135615,135909,141015,141121,,141626,141731,141942,142120,142309,142446,142552,142708,142803,143024,143153
42,AA7195-3,,,141521,141909,142047,142751,,,145504,145558,,150053,150220,150432,150537,150843,151000,151116,151232,151432,151750,151929
43,AA7536-3,142320,142635,142846,143119,143604,,144057,144556,150454,150548,,150938,151022,151211,151316,151538,151622,151739,151845,152003,152228,152323
44,AA7522-3,,144108,144440,144726,145136,145420,145759,150147,151338,151443,,151918,152036,152301,152607,152841,153030,153147,153230,153515,153748,153904
45,AA7706-4,,145842,150042,150410,150949,151138,151400,151644,152723,152819,,,,153431,153526,153726,153831,153948,154053,154220,154454,154705
46,MW4905-0,150421,150737,151116,151516,151940,152120,152501,152701,153748,153820,154053,154232,154326,154527,154633,154729,154931,155037,155143,155333,155616,155817
47,AA7248-2,,151400,151907,152311,152701,153136,153441,153620,154716,154803,,155154,155227,155449,155543,155755,155923,160039,160134,160302,160514,160726
48,AA6952-4,,152025,152450,152756,153631,153820,154021,154159,155120,155154,155405,155543,155627,155828,155933,160206,160240,160357,160452,160642,160916,161022
49,AA7322-3,152355,152734,153008,153441,154242,154432,154803,155109,160240,160324,160525,160642,160737,160927,161043,161116,161338,161433,161527,161801,162036,162213
50,AA7488-4,153241,153504,153759,,154803,155109,155354,155511,160536,160609,,160938,161011,161138,161233,161338,161517,161633,161729,161812,162036,162225
51,AA7149-4,154220,,154600,155154,155638,155901,160134,160302,161200,161306,,161716,,161856,161950,162046,162141,162236,162330,162530,162814,162940
52,AA7214-4,,155901,160155,160452,160810,161032,161306,161611,162657,162751,,163153,163239,163407,163513,163631,163738,163854,164000,164212,164458,164626
53,MW3387-0,160017,160155,160441,160715,161000,161127,161506,161939,162951,163047,163312,163418,163502,163727,163821,163927,164044,164150,164233,164403,164604,164742
54,AA7468-0,,,161011,,161622,,162036,162352,163513,163558,,163938,164055,164201,164317,164414,164542,164636,164742,164944,165239,165417
55,AA7195-4,,,162320,162657,163058,163524,163821,164106,165101,165155,,,165806,165956,170040,,170430,170607,170724,170947,171241,171419
56,MW4705-4,162330,163631,163927,164350,164636,164805,165122,165250,170408,170440,170640,170746,170903,171125,171230,171346,171451,171630,171713,171947,172220,172420
57,AA7536-4,162803,163013,163356,163620,164055,164435,164542,164838,165912,165945,170156,170251,170335,170546,170651,170746,170936,171030,171158,171346,171641,171831
58,AA7522-4,,164447,164709,165017,165449,165617,165923,170040,170947,171019,,171357,171441,171652,171737,171820,171958,172103,172220,172347,172609,172759
59,AA7706-5,165239,165439,165744,170124,193253,170557,170830,171147,172125,172158,,172526,172558,172759,172905,172951,173214,173309,173404,173552,200447,200602
60,MW4905-1,170357,170702,171114,171451,171726,172053,172357,172703,173731,173826,174047,174214,174259,174448,174542,174659,174816,174932,175048,175143,175437,175626
61,AA7248-3,171114,171303,171914,172241,172652,,173140,173447,174458,174531,,174910,174954,175059,175226,175404,175510,175626,175720,175953,180214,180321
62,AA6952-5,172230,,172714,172951,173259,,173909,174047,175121,175215,175448,175554,175637,175815,175942,180058,180141,180248,180343,180605,180851,180945
63,AA7322-4,172843,173320,173520,173858,174321,174531,174859,175215,180259,180332,180532,180710,180754,180913,181018,181155,181356,181501,181617,181755,182101,182311
64,AA7488-5,173626,174131,174553,174910,175143,175532,175837,180131,181239,181312,,181638,181711,181839,181912,182017,182112,182228,182311,182544,182839,183017
65,AA7149-5,,175215,175404,175648,175920,180248,180427,180732,181722,181828,182017,182133,182206,182555,182639,182755,182923,183050,183155,183345,183608,183703
66,AA7214-5,175459,180120,180449,180721,181050,181356,181744,182101,183334,183417,,183726,183759,184044,184139,184254,184454,184601,184655,184800,185054,185254
67,AA7468-1,,181345,182039,182427,182722,182934,183250,183619,184728,184822,185044,185138,,185400,185506,185633,185843,185948,190043,190200,190505,190716
68,AA7195-5,182511,182555,182850,183334,183535,,184054,184349,185444,185517,185800,185854,,190127,190244,190400,190549,190654,190748,190948,191243,191442
69,MW4705-5,182817,184906,185232,185706,185915,190116,190527,190832,191800,191854,192104,192221,192325,192546,192641,192810,192958,193114,193209,193347,193620,193833
70,AA7536-5,,183810,184200,184454,184717,184906,185159,185527,190643,190727,,191032,191105,191243,191359,191515,191644,191749,191844,191948,192210,192409
71,AA7522-5,184139,190254,190610,190853,191221,191432,191706,191844,192958,193103,,193452,193525,193714,193822,194000,194211,194327,194421,194548,194821,194959
72,MW4905-2,193703,193906,194044,194410,194621,194759,195221,195431,200351,200425,200635,200750,200857,201024,201107,201214,201332,201510,201616,201848,202119,202248
73,AA6952-6,195053,195503,195915,200212,200541,200824,200908,201013,201942,202025,202248,202331,202414,202541,202635,202729,202824,202929,203024,203140,203404,203552
74,AA7488-6,200803,200941,201236,201543,201909,202108,202414,202541,203541,203636,,204003,204046,204256,204329,204446,204540,204729,204814,205024,205258,205447
75,AA7149-6,,202425,202740,203002,203247,203458,203709,203814,204836,204857,,205140,205213,205331,205436,205542,205647,205753,205836,205942,210152,210342
76,AA7214-6,203836,204329,204602,204857,205225,205604,205753,205909,211055,211202,,211445,211528,211718,211802,211906,212055,212211,212327,212422,212706,212834
77,AA7195-6,,210646,210846,211117,211445,211802,211856,212106,213149,213255,213433,213600,213654,213821,213926,214031,214136,214241,214335,214440,214712,214913
78,AA7706-6,211412,211445,,,,,,212812,213821,213904,,214147,214230,214335,214419,214513,214618,214724,214807,215008,215219,215313
79,MW4905-3,212727,212950,213339,213654,213904,214103,214429,214556,215607,215640,215828,215944,220050,220240,220313,220420,220536,220641,220738,220854,221116,221243
80,AA6952-7,213200,214712,214924,215219,215451,,215839,220039,221010,221043,221232,221337,221442,221631,221714,221810,221959,222115,222210,222347,222620,222759
81,AA7488-7,220017,220431,220714,221127,221347,221503,221738,221959,223010,223104,223243,223359,223505,223602,223646,223729,223906,224033,224116,224223,224446,224602
82,AA7149-7,,221326,221948,222253,222547,,,222948,224054,224127,,,,224741,224825,224909,225014,225120,225205,225335,225536,225726
83,AA7214-7,,223348,223526,223729,223949,224127,224339,224435,225408,225502,225642,225737,225831,230021,230115,230200,230327,230433,230517,230644,230905,231010
84,AA7195-7,,225239,225547,225821,230149,230444,230538,230644,231548,231632,231820,231958,232041,232220,232325,232409,,,,,,
85,AA7706-7,,230316,230800,231032,231233,231443,231737,231842,,,,,,,,,,,,,,
86,MW4905-4,231758,231947,232103,232347,,,,,,,,,,,,,,,,,,
87,AA6952-8,231936,,,,,,,,,,,,,,,,,,,,,
