,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7536-0,,,,,,,,,1,-1,1,1,,1,1,-1,,-1
1,MW4229-0,,1,1,1,1,1,1,1,1,-1,1,1,4,1,1,-1,-1,-1
2,AA7566-0,1,1,1,1,-1,-1,1,1,1,-1,1,4,3,1,1,-1,-1,-1
3,MW4503-0,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
4,MW4705-0,1,1,1,1,1,1,1,1,1,-1,1,1,3,1,1,-1,-1,-1
5,AA6952-0,1,1,1,1,1,1,1,1,1,,1,1,,,1,-1,-1,-1
6,AA69-59-0,2,1,1,1,1,1,1,1,1,-1,1,1,2,,,,,
7,AA74-39-0,1,1,1,2,-1,-1,1,1,1,-1,1,,,,,,,
8,MW4781-0,1,,1,1,1,1,1,1,1,-1,1,,,,,,,
9,AA7032-0,1,1,1,,,,,,,,,,,,,,,
10,MW4825-0,1,,,,,,,,,,,,,,,,,
