,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7488-0,,,,,,,,,,,1,2,-1,-1,1,-1,-1,-1
1,AA7536-0,,,,,,,,,1,,1,1,,,,,,-1
2,AA6952-0,,,,1,,,,,,,1,,1,1,1,-1,-1,-1
3,AA7871-0,1,-1,3,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1,-1,-1
4,AA7101-0,,1,,,-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1
5,AA7530-0,,,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1
6,AA7842-0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
7,AA7637-0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,-1,-1
8,AA6482-0,1,1,1,,,,1,1,1,1,1,1,1,1,1,-1,-1,-1
9,AA7488-1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,-1,-1,-1
10,AA7536-1,3,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
11,AA7252-0,1,1,1,,,,,,,,1,1,1,1,1,-1,-1,-1
12,AA7871-1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,-1,-1
13,AA7530-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
14,AA7101-1,,,,1,1,1,1,1,1,1,1,,,,,,-1,-1
15,AA7418-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
16,AA6952-1,1,1,1,,,,,,1,,1,-1,,,,,-1,-1
17,AA7492-0,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
18,AA7637-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
19,AA7195-0,3,1,,,,,,,,,,,,,,,,-1
20,AA6482-1,,1,1,1,,,,,1,,,-1,1,1,1,-1,-1,-1
21,AA7488-2,1,,,,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
22,AA7536-2,1,,,,1,1,1,1,1,1,1,3,1,1,1,-1,-1,-1
23,AA7871-2,,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,-1,-1,-1
24,AA7418-1,1,1,1,,,,,,1,,,-1,-1,1,1,-1,-1,-1
25,AA7492-1,4,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
26,AA7101-2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
27,AA7530-2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
28,AA7637-2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
29,AA6952-2,,1,,,,,,,,,,,,,1,-1,-1,-1
