,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4338-0,,,,,,,,,,,,,,,,,,,,,,,070107,070216,070311,070429,070502
1,MX4365-0,,,,,,,,,,,,,,,,,,,070107,070132,070249,070607,070807,071019,071113,071241,071335
2,MX4598-0,,,,,,,,,,,,070107,070216,070300,070418,070502,070640,070829,070913,070957,071124,071430,071620,071820,071926,072032,072116
3,MX4388-0,,,,,,,,,,070107,070204,070745,070839,070946,071051,071146,071313,071419,071514,071536,071704,072021,072138,072339,072457,072614,072658
4,MR8024-0,,,,,070107,070249,070344,070440,070618,070818,071030,071547,071653,071758,071926,072010,072138,072328,072413,072457,072636,073019,073210,,,073633,073717
5,MX4458-0,,070107,070344,070451,070534,070713,070818,070913,071030,071219,071430,071937,072043,072211,072328,072424,072603,072721,072805,072935,073103,073421,073622,073833,073949,074105,074200
6,MX4535-0,070418,070618,070935,071051,071146,071313,071452,071620,071758,071853,072255,072837,072946,073114,073316,073421,073622,073749,073854,074011,074200,074613,074751,074952,075108,075236,075330
7,MW3291-0,070902,,072043,072127,072211,072446,072603,072658,072902,073103,073516,074011,074127,074233,074349,074445,074624,074740,074814,074835,075013,075330,075446,075647,075814,075930,080027
8,MX4551-0,070913,071335,071642,071726,071926,072244,072402,072530,072743,072924,073305,073822,073927,074044,074211,074306,074445,074551,074624,074707,074846,075214,075341,075530,075647,075803,075857
9,MX4383-0,071758,072233,072552,072709,072753,073041,073243,073410,073644,073916,074127,074707,074814,074941,075108,075214,075341,075541,075625,075708,075836,080205,080416,080651,080829,080946,081041
10,MX4614-0,,072658,072902,072935,073008,073327,073516,073644,073822,073949,074327,074908,075013,075120,075247,075341,075457,075625,075708,075814,075919,080332,080427,080734,080840,081019,081103
11,MX4604-0,072743,,073633,073727,073811,074456,074645,074803,075024,075341,075603,080122,080227,080343,080533,080629,080851,080946,081030,081211,081413,081804,081953,082122,082333,082449,082522
12,MX4021-0,073421,074011,074424,074529,074613,075341,075603,075825,080038,080216,080617,081125,081256,081435,081658,081753,081931,082026,082111,082217,082355,082723,082902,083146,083241,083420,083452
13,MX3651-0,074138,075614,080321,080500,080640,081351,081553,081753,082038,082312,082701,083219,083325,083547,083820,083939,084152,084340,084435,084508,084646,085026,085259,085438,085554,085711,085755
14,MX3783-0,074233,,075024,075120,075225,080027,080438,080723,081114,081447,081837,082428,082628,082745,082913,083040,083219,083336,083430,083514,083652,084024,084224,084508,084613,084730,084814
15,MX4041-0,075035,080227,080924,081114,081307,082038,082228,082355,082606,082913,083314,083831,083949,084130,084340,084435,084646,084752,084836,085016,085154,085533,085700,085902,090008,090124,090157
16,MX4159-0,080533,081041,081826,081931,082155,082628,082913,083029,083430,083736,084130,084708,084741,084932,085121,085216,085416,085554,085638,085817,085935,090325,090504,090643,090748,090905,090948
17,MX4338-1,081658,081848,082355,082511,082806,083252,083558,083714,084035,084519,085005,085533,085638,085806,085924,085957,090135,090230,090303,090409,090537,090854,091032,091224,091318,091435,091457
18,MX4365-1,082228,082500,082850,082946,083146,083642,083831,084002,084351,084719,085154,085700,085817,085957,090135,090208,090409,090548,090632,090715,090832,091257,091424,091636,091719,091825,091846
19,MS2259-0,082956,083303,083652,083736,083949,084340,084508,084646,085026,085343,085744,090252,090421,090559,090748,090759,090927,091021,091105,091213,091340,091658,091941,092046,092108,092202,092256
20,MX4598-1,083809,084013,084329,084508,084624,084847,085132,085321,085744,085946,090610,091116,091257,091340,091519,091614,091814,091951,092035,092119,092223,092613,092846,,,093417,093501
21,MX4388-1,084141,084602,084954,085110,085216,085438,085649,085902,090135,090916,091424,092003,092057,092234,092352,092519,092707,092813,092857,093026,093121,093439,093544,093756,093946,094114,094208
22,MX4458-1,,085500,085850,085924,090008,090208,090504,090610,091043,091752,092035,092541,092646,092824,092942,093037,093205,093406,093450,093544,093701,094030,094230,094408,094536,094704,094747
23,MX4535-1,085935,090157,090515,090548,090726,090959,091149,091318,091836,092256,092646,093238,093355,093523,093639,093734,093935,094136,094219,094357,094536,094905,095044,095329,095435,095552,095636
24,MW3387-0,090409,091614,092003,092108,092151,092519,092729,092835,093026,093249,093501,094041,094147,094336,094503,094547,094715,094905,094948,095033,095202,095457,095909,100134,100218,100312,100345
25,MX4551-1,,091021,091340,091457,091541,091741,092035,092151,092435,092707,093059,093617,093734,093851,093946,094114,094241,094346,094419,094547,094715,095055,095202,095340,095541,095636,095720
26,MX4383-1,091741,092234,092646,092718,092813,093048,093216,093311,093439,093534,093913,094441,094547,094653,094821,094927,095044,095128,095213,095319,095435,095815,095920,100134,100229,100334,100407
27,MX4614-1,,092919,093154,093227,093406,093617,093756,093851,094041,094147,094525,095001,095055,095202,095340,095424,095541,095636,095709,095752,095909,100240,100407,100513,100712,100807,100851
28,MW5191-0,093037,100101,100418,100545,100712,100957,101052,101149,101337,101621,102032,102540,102637,102753,102921,103047,103204,103418,103502,103609,103725,104103,104219,104430,104607,104734,104840
29,MX4604-1,093037,093523,093818,093913,094030,094303,094514,094620,094758,094938,095150,095709,095804,100004,100101,100156,100334,100429,100513,100629,100745,101052,101221,101421,101537,101632,101716
30,MW3343-0,093650,094041,094408,094536,094715,094927,095117,095213,095351,095541,095953,100502,100556,100712,100840,100924,101052,101159,101232,101359,101526,101905,102021,102210,102315,102359,102432
31,MW2780-0,093851,094336,094758,094832,094948,095340,095541,095636,095847,100017,100356,100851,100946,101125,101305,101410,101548,101716,101748,101810,101937,102305,102410,102552,102637,102721,102815
32,MX4021-1,094346,095011,095351,095457,095625,095826,100017,100240,100429,100607,101008,101526,101632,101759,101926,102021,102210,102315,102359,102505,102615,103004,103302,103524,103641,103736,103831
33,MX3651-1,094916,104125,104430,104535,104712,105029,105112,105218,105356,105544,105945,110451,110556,110723,110841,111008,111157,111303,111347,111430,111547,111938,112148,112348,112504,112631,112725
34,MS1935-0,094916,,095920,100028,100145,100429,100607,100702,100851,101019,101327,101737,101843,101937,102149,102232,102410,102505,102540,102659,102848,103215,103451,103631,103736,103831,103925
35,MW5264-0,095931,101359,101759,101854,102032,102326,102421,102552,102721,102921,103302,103809,103925,104031,104157,104252,104430,104524,104607,104734,104851,105218,105356,105544,105639,105733,105817
36,MX3783-1,100345,100723,100946,101103,101221,101559,101759,101948,102243,102443,102859,103408,103513,103652,103820,103915,104041,104136,104219,104346,104451,104818,105112,105301,105407,105501,105544
37,MW5346-0,101232,103302,103641,103747,103904,104136,104335,104441,104640,104934,105134,105712,105827,105956,110145,110250,110356,110545,110618,110701,110818,111157,111336,111609,111716,111810,111905
38,MX4041-1,,102138,102516,102603,102721,103036,103302,103357,103609,103904,104114,104629,104745,104902,105029,105134,105250,105428,105512,105650,105817,110145,110301,110451,110545,110701,110734
39,MX4338-2,102505,102648,103015,103058,103131,103418,103620,103725,103904,104103,104325,104851,105018,105155,105345,105439,105555,105806,105827,105902,110018,110440,110545,110755,110903,110957,111041
40,MS2259-1,104723,105039,105407,105512,105628,105817,105902,110051,110345,110545,110755,111303,111408,111525,111705,111959,112126,112221,112316,112359,112526,112936,113157,,113556,113733,113755
41,MX4159-1,105628,110007,110323,110418,110545,110903,111041,111157,111420,111609,111821,112337,112453,112631,112820,112936,113114,113219,113302,113407,113556,113849,113956,114146,114252,114408,114440
42,MX4365-2,,111124,111514,111620,111749,112021,112232,112359,112537,112653,113052,113556,113755,113924,114052,114157,114335,114451,114535,114618,114735,115114,115241,115514,115642,115758,115820
43,MX4551-2,111536,112105,112453,112537,112714,113052,113302,113418,113618,113849,114103,114651,114757,114913,115030,115125,115303,115419,115503,115631,115758,120116,120316,120550,120655,120805,120902
44,MX4598-2,,112736,113030,113114,113251,113618,113744,113902,114103,114313,114524,115041,115136,115303,115419,115525,115703,115809,115853,120011,120221,120623,120720,,121029,121135,121208
45,MX4458-2,113451,113839,114219,114313,114440,114651,114819,114924,115103,115325,115536,120149,120254,120422,120612,120731,120924,121103,121146,121325,121431,121714,121916,122022,122211,122327,122423
46,MX4535-2,114302,114502,114830,114946,115041,115336,115536,115642,115820,120000,120400,121008,121114,121303,121442,121736,121927,122033,122127,122243,122434,122813,123024,123320,123425,123552,123636
47,MX3783-2,114702,144422,144825,145003,145047,145403,145519,145719,145918,150129,150351,150952,151057,151224,151352,151509,151752,151941,152036,152152,152319,152719,152857,153129,153235,153351,153424
48,MX4388-2,114808,115252,115703,115820,115905,120232,120433,120601,120731,120957,121420,121949,122105,122221,122412,122507,122656,122802,122846,123013,123119,123530,123753,124004,124047,124142,124225
49,MW3387-1,115525,120105,120411,120517,120601,120913,121041,121146,121325,121431,121820,122338,122456,122550,122718,122802,122930,123130,123141,123225,123352,123720,123909,124109,124214,124331,124414
50,MX4383-2,120655,121208,121537,121725,121820,122105,122243,122400,122528,122656,123036,123552,123658,123826,124004,124058,124236,124436,124519,124552,124657,125024,125203,125424,125530,125646,125740
51,MX4614-2,,122011,122327,122423,122507,122802,122857,122941,123119,123247,123458,123942,124047,124142,124258,124352,124457,124635,124646,124729,124836,125130,125308,125551,125635,125740,125812
52,MW2780-1,122507,122835,123152,123309,123331,123530,123731,123942,124142,124309,124718,125235,125351,125519,125707,125823,125950,130130,130225,130341,130446,130825,130941,131227,131333,131450,131523
53,MX4021-2,,123658,124036,124153,124225,124519,124708,124814,124952,125140,125540,130036,130214,130341,130518,130612,130750,130857,130941,131109,131216,131629,131818,132123,132229,132345,132440
54,MX3651-2,124309,,124846,125035,125119,125435,125635,125823,130025,130152,130551,131131,131249,131523,131618,131724,131851,132007,132051,132218,132334,132755,132946,133207,133312,133439,133544
55,MX4159-2,124814,125341,125624,125802,125918,130130,130413,130518,130707,130825,131216,131724,131829,132007,132134,132229,132356,132545,132618,132755,132935,133312,133439,133723,133828,133957,134229
56,MX4338-3,130014,130214,130457,130551,130645,130941,131058,131300,131450,131651,132029,132618,132755,132946,133040,133146,133312,133511,133555,133712,133839,134218,134334,,134744,134903,134958
57,MX4365-3,,131311,131651,131807,131851,132134,132323,132502,132744,133030,133501,134051,134218,134356,134545,134650,134914,135020,135114,135219,135336,135703,135841,140029,140148,140315,140348
58,MX4598-3,,,132755,132850,132924,133157,133301,133428,133618,133712,134102,134639,134806,134914,135052,135147,135314,135408,135452,135558,135735,140137,140337,,140729,140846,140930
59,MX4458-3,,133511,133850,133935,134102,134407,134545,134744,134936,135125,135536,140104,140220,140326,140505,140612,140908,141036,141130,141258,141415,141731,141909,142015,142153,142320,142416
60,MX4535-3,134440,134650,135031,135125,135158,135452,135641,135830,140041,140220,140550,141130,141248,141415,141542,141709,141858,142004,142047,142204,142416,142815,142931,143058,143216,143346,143430
61,MX4388-3,134936,135757,140126,140315,140359,140729,140920,141025,141320,141604,141826,142416,142543,142731,142909,143026,143142,143312,143357,143513,143702,144052,144219,144505,144622,144749,144836
62,MW3387-2,140137,140421,140835,141014,141047,141342,141542,141636,141815,142015,142427,142953,143047,143205,143346,143451,143630,143829,143913,143946,144124,144505,144728,144930,145014,145130,145203
