,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070218,070312,070406,070902
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070323,070417,070556,070757,071051,071146,071323,071723
2,MX1197-0,,,,,,,,,,,,,,,,,,,070109,070228,070301,070345,070501,070629,070746,070829,071251,071439,071607,071839,072028,072301,072511,072733,072840,072956,073334
3,MX1084-0,,,,,,,,,,,,,070109,070239,070545,070735,070829,070924,071135,071429,071501,071556,071712,071839,071945,072028,072450,072700,072754,072945,073101,073251,073513,073756,073912,074143,074604
4,MX1105-0,,,,,,070109,070134,,070312,070406,070501,070640,070818,070913,071156,071302,071418,071439,071617,071817,071923,072017,072134,072312,072417,072450,072945,073301,073407,073629,073734,073955,074133,074427,074554,074848,075414
5,MZ3556-0,070640,070746,070924,071008,071030,071051,071113,071146,071218,071334,071450,071607,071756,071912,072134,072228,072333,072406,072555,072850,072934,073018,073155,073301,073429,073502,073922,074122,074227,074500,074615,074815,075014,075236,075352,075603,075940
6,MZ3734-0,071723,071945,072112,072145,072206,072239,072301,072344,072428,072544,072700,072829,073007,073112,073345,073440,073535,073607,073712,073955,074028,074100,074216,074343,074500,074532,074942,075142,075341,075814,075908,080119,080330,080731,080847,081026,081415
7,MZ3740-0,073050,073144,073251,073323,073345,073440,073502,073545,073607,073712,073828,074006,074216,074427,074815,075014,075120,075203,075425,075708,075741,075846,080119,080247,080531,080603,081026,081415,081615,082554,082732,083016,083321,083511,083639,083923,084712
8,MZ3978-0,074321,074416,074543,074604,074626,074721,074743,074815,074859,075014,075120,075258,075447,075625,080014,080225,080319,080341,080447,080720,080753,080836,081037,081214,081404,081437,081920,082237,082343,082932,083110,083227,083415,083733,083850,084007,084345
9,MZ3825-0,075458,075541,075647,075730,075803,075825,075846,075919,075951,080057,080225,080341,080531,080709,080942,081026,081247,081320,081510,081814,081857,082004,082248,082449,082627,082732,083216,083500,083701,084051,084156,084428,084617,084840,085123,085346,085949
