,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3825-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070322
1,MW5966-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070333,070438,070605,070816,071005,071133,071238,071416
2,MX1197-0,,,,,,,,,,,,,,,,,,,070108,070206,070239,070322,070416,070533,070638,070659,071122,071426,071617,071831,071947,072220,072420,072705,072759,073010,073359
3,MX1084-0,,,,,,,,,,,,,,070108,070344,070416,070511,070543,070710,070922,071005,071049,071155,071310,071416,071511,071947,072242,072347,072611,072727,072959,073127,073243,073410,073526,073842
4,MX1105-0,,,,,070108,070133,070155,070228,,,,070710,070816,070922,071205,071321,071426,071500,071606,071842,071925,071958,072104,072220,072315,072358,072821,073053,073159,073410,073515,073758,073853,074211,074338,074454,074938
5,MZ3556-0,070732,070838,071016,071049,071133,071216,071238,071310,071343,071500,071555,071713,071936,072104,072358,072441,072705,072737,072904,073243,073327,073421,073559,073726,073842,073915,074349,074527,074717,075127,075235,075351,075624,075824,075951,080152,080736
6,MZ4072-0,071725,071947,072115,072148,072209,072253,072315,072358,072431,072547,072654,072821,073020,073149,073504,073621,073726,073758,073937,074149,074222,074316,074432,074549,074706,074727,075224,075603,075752,080142,080353,080555,080747,081126,081254,081349,081940
7,MZ3559-0,072937,073159,073316,073348,073410,073453,073515,073559,073631,073747,073853,074116,074254,074516,074833,075022,075257,075340,075518,075719,075752,075835,075941,080108,080214,080258,080736,081031,081210,081505,081655,081812,082003,082236,082415,082553,083203
8,MZ3978-0,073254,074400,074505,074538,074600,074644,074706,074738,074822,075011,075105,075257,075518,075646,075930,080025,080258,080331,080533,080758,080842,080937,081053,081221,081400,081432,081907,082236,082426,082625,082731,083003,083109,083447,083625,083719,084204
9,MZ3734-0,075351,075518,075646,075730,075802,075835,075857,075930,080003,080108,080214,080405,080555,080820,081104,081221,081327,081411,081600,081812,081856,081951,082057,082236,082426,082520,082931,083308,083447,083741,083858,084014,084131,084406,084522,084639,084935
