,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4338-0,,,,,,,,,,,,,,,,,,,,,,,070110,070324,070430,070536,070631
1,MX4365-0,,,,,,,,,,,,,,,,,,,070110,070146,070302,070558,070736,071020,071053,071232,071254
2,MX4041-0,,,,,,,,,,,,070110,070146,070302,070408,070503,070631,070809,070852,071031,071159,071517,071656,071813,071950,072058,072152
3,MX4159-0,,,,,,,,,070110,070157,070408,070925,071020,071126,071232,071316,071433,071528,071613,071751,071918,072257,072425,072603,072751,072919,073002
4,MX4383-0,070110,,070135,070251,070335,070536,070620,070725,070947,071042,071433,072003,072046,072225,072341,072457,072635,072835,072930,073057,073237,073607,073756,074031,074125,074252,074325
5,MX4458-0,070110,,071656,071740,071824,072119,072214,072319,072541,072708,073108,073618,073702,073818,,,074220,074346,074441,074524,074640,074958,075125,075242,075358,075515,075610
6,MX4388-0,070110,070609,070903,070947,070958,071126,071232,071327,071433,071624,071845,072425,072541,072657,072751,072857,073013,073057,073141,073237,073344,073713,073903,074031,074136,074252,074346
7,MX4535-0,072046,072352,072718,072740,072803,073035,073248,073333,073523,073702,073925,074503,074608,074724,074852,074936,075125,075231,075314,075420,075559,075950,080213,080352,080532,080701,080756
8,MX3651-0,073057,073523,073840,073936,074125,074441,074619,074724,074840,074936,075347,075843,080003,080057,080235,080405,080606,080756,080840,081021,081159,081526,081642,081842,081947,082103,082147
9,MX3783-0,073829,074335,074524,074535,074557,074914,075053,075136,075303,075358,075559,080057,080152,080257,080416,080510,080701,080756,080840,081021,081210,081621,081747,081947,082052,082157,082241
10,MX4021-0,,,075231,075325,075358,075632,075726,075832,075950,080203,080606,081105,081210,081326,081453,081537,081715,081809,081853,082020,082147,082557,082757,082914,083031,083147,083231
11,MX4338-1,075748,075917,080318,080352,080416,080555,080701,080756,080925,081043,081432,082009,082125,082241,082430,082557,082747,082936,083031,083115,083231,083610,083820,084053,084231,084348,084431
12,MX4365-1,,080723,081105,081148,081221,081526,081621,081704,081831,082041,082441,082936,083031,083158,083315,083421,083610,083737,083820,083904,084031,084358,084453,084642,084747,084904,084936
13,MX4041-1,,081704,082114,082252,082346,082547,082713,082809,082947,083126,083526,084053,084158,084337,084504,084609,084820,084947,085031,085219,085358,085726,085915,090043,090148,090315,090359
14,MX4159-1,082147,,083020,083104,083158,083359,083559,083726,083959,084147,084536,085103,085209,085336,085503,085621,085820,085948,090043,090116,090254,090644,090843,091128,091246,091403,091435
15,MX4383-1,083704,,084526,084653,084758,085125,085347,085452,085758,085959,090159,090716,090811,090928,091055,091213,091435,091541,091625,091826,091920,092258,092437,092659,092804,092921,092943
16,MX4458-1,084209,085525,085748,085904,085959,090210,090305,090421,090549,090832,091224,091720,091815,091931,092109,092204,092415,092553,092626,092721,092826,093205,093343,093501,093640,093745,093829
17,MX4388-1,084304,084536,084915,084936,085020,085336,085452,085653,085904,090043,090421,090939,091023,091055,091213,091319,091457,091541,091636,091720,091826,092120,092153,092320,092447,092542,092626
18,MX4551-0,084725,091435,091858,091942,092014,,092520,092637,092804,092910,093259,093818,093925,094031,094209,094336,094453,094643,094716,094811,094917,095247,095448,095722,095839,095947,100043
19,MX4535-1,090527,090811,091117,091257,091352,091709,091837,091931,092120,092247,092648,093227,093343,093512,093629,093723,093852,093947,094031,094136,094241,094643,094811,,095150,095320,095404
20,MX3651-1,091530,091920,092142,092258,092342,092637,092753,092859,093016,093121,093501,093958,094103,094230,094325,094420,094558,094654,094726,094759,094928,095247,095459,095711,,095925,095959
21,MX3783-1,092542,092921,093227,093343,093512,093829,094031,094147,094358,094526,094939,095510,095605,095733,095903,100010,100127,100400,100422,100600,100654,100951,101130,101330,101425,101531,101614
22,MW2390-0,093059,094643,095106,095225,095342,095627,095828,100021,100138,100349,100600,101119,101224,101330,101520,101614,101742,101847,101931,102059,102248,102615,102731,102932,103122,103249,103333
23,MX4021-1,,,093651,093734,093914,094125,094230,094431,094643,094759,095139,095649,095744,095903,100021,100105,100243,100338,100422,100600,100705,101035,101141,101330,101436,101542,101625
24,MX4338-2,093745,094147,094515,094558,094705,094917,095106,095203,095404,095554,095744,100327,100444,100600,100705,100811,100929,101057,101141,101224,101330,101614,101814,101942,102048,102153,102248
25,MW2780-0,093936,095437,095817,095903,100021,100232,100433,100527,100727,100834,101213,101709,101742,101942,102059,102142,102320,102426,102509,102626,102731,103122,103227,103417,103500,103617,103650
26,MW5264-0,094822,100738,101119,101224,101341,101625,101814,101909,102059,102237,102448,102954,103049,103216,103333,103428,103606,103734,103806,103839,103948,104316,104549,104738,104822,104917,105001
27,MX4365-2,,095117,095353,095459,095627,095828,100010,100105,100254,100411,100811,101341,101447,101553,101731,101814,101942,102026,102110,102131,102248,102615,102731,102921,103016,103111,103133
28,MW5191-0,095627,100054,100444,100549,100716,100951,101202,101318,101509,101636,102026,102626,102720,102858,103049,103143,103311,103511,103606,103745,103901,104221,104422,104633,104738,104855,104928
29,MW5346-0,100210,100433,100834,100940,101108,101318,101509,101603,101753,101858,102237,102848,102954,103100,103216,103311,103428,103522,103617,103745,103912,104221,104444,104644,104717,104811,104844
