,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MW2856-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070206,070322,070417,070450,070555,070606,070639,070744,071059,071215,071353,071520,071636,071720
1,MW3053-0,,,,,,,,,,,,,,070109,070228,070406,070439,070544,070650,070806,070900,071049,071259,071509,071614,071709,071815,071953,072036,072225,072309,072352,072447,072542,072659,072816,073215,073342,073531,073625,073731,073804
2,MS1935-0,070109,072036,072342,072542,072804,073121,073258,073342,073542,073614,073804,073848,073920,074248,074629,074819,074903,,,075242,075325,075558,075748,075959,080043,080137,080231,080358,080453,080642,080749,080843,080948,081032,081053,081210,081525,081641,081924,082040,082156,082251
3,MR8026-0,,070133,070355,070534,070806,071059,071226,071331,071458,071552,071720,071826,072026,072352,072742,072921,073015,073132,073215,073353,073447,073648,073931,074143,074259,074343,074451,074629,074735,074947,075053,075147,075209,075253,075420,075547,075905,075959,080126,080231,080347,080421
4,MR8462-0,,073815,074205,074440,074702,075147,075358,075515,075643,075737,080104,080148,080337,080704,081043,081159,081253,081431,081547,081757,081841,082051,082418,082640,082745,082828,082945,083134,083239,083438,083554,083722,083755,083817,083850,083956,084250,084417,084618,084723,084840,084924
5,MS2365-0,,080021,080432,081315,081703,082113,082313,082440,082723,082828,082956,083101,083250,083733,084134,084406,084451,084629,084745,084935,085019,085301,090545,090841,091007,091103,091220,091410,091505,091738,091855,092055,092200,092244,092306,092433,092832,092949,093244,093349,093455,093539
6,MW2390-0,,082051,082335,082629,083007,083406,083638,083817,084007,084101,084312,084451,084640,085007,085345,085501,085544,085701,085733,090018,090051,090534,091018,091220,091326,091421,091516,091705,091800,091949,092033,092211,092338,092400,092433,092549,092843,092949,093116,093211,093255,093328
7,MW2856-1,084018,084228,084502,084650,084935,085334,085617,085722,090112,090218,090407,090501,090606,090935,091315,091421,091526,091643,091727,091855,091927,092117,092349,092549,092633,092716,092821,093011,093116,093255,093349,093455,093528,093602,093635,093741,094120,094319,094551,094657,094741,094814
8,MW3053-1,090251,090913,091232,091526,091749,092138,092433,092633,092854,092949,093139,093233,093306,093624,094025,094152,094236,094352,094446,094635,094719,094846,095119,095329,095434,095518,095614,095730,095814,100025,100120,100152,100320,100352,100415,100542,100858,101004,101247,101352,101446,101541
9,MR8026-1,091727,092506,092854,093105,093455,093836,094058,094319,,094730,094941,095046,095130,095456,095930,100109,100152,100320,100415,100604,100658,100837,101058,101330,101414,101519,101657,101825,101858,102110,102154,102300,102405,102437,102615,102731,103039,103206,103417,103523,103639,103733
10,MS1935-1,094551,101025,101457,101741,101953,102437,102553,102849,103323,103417,103628,,,104135,104515,104703,104809,105031,,105244,105328,105507,105647,105920,110015,110121,110259,,,110637,110720,110815,110920,111014,111057,111247,111613,111729,111918,112108,112235,112308
11,MS2259-0,,095140,095529,095752,100214,100709,100731,,,101530,,,101942,102321,102659,102816,102933,103017,103155,103250,103345,103533,103806,104029,104146,104230,104358,104525,104620,104903,104947,105031,105200,105222,105317,105434,105732,105942,,110153,110309,110342
12,MS2365-1,,103428,103701,104040,104336,104653,105127,105720,110237,110342,110542,110658,110804,111214,111635,111813,111857,112046,112152,112340,112436,112710,112946,113157,113251,113345,113502,113850,113933,114113,114218,114251,114407,114450,114523,114651,115018,115156,115417,115522,115650,115723
13,MR8462-1,,105551,105815,110132,110637,112119,112509,112912,113240,113418,113545,113734,113922,114251,114651,114757,114851,115029,115123,115239,115333,115627,115902,120124,120157,120303,120420,120632,120705,120927,121011,121054,121211,121255,121339,121434,121753,121920,122059,122205,122310,122405
14,MW2390-1,,112224,112403,112627,112829,113756,114356,114851,115207,115323,115500,115605,115756,120124,120504,120716,120759,120905,121000,121200,121233,121528,121753,122015,122048,122132,122237,122416,122459,122615,122722,122755,122923,122945,123007,123124,123502,123631,123821,123926,124042,124137
15,MW2856-2,,114345,114628,114913,115218,115913,120124,120526,120938,121033,121211,121350,121550,121858,122226,122405,122459,122626,122711,122828,122934,123218,123440,123715,123810,123904,124009,124053,124137,124304,124411,124455,124600,124633,124706,124825,125140,125414,125636,125741,125908,125930
16,MW3053-2,120336,120504,120716,120949,121149,121804,122310,122806,123135,123240,123429,123609,123759,124126,124506,124633,124717,124857,124952,125140,125236,125508,125719,125919,130024,130108,130202,130340,130426,130615,130826,131005,131156,131229,131251,131407,131746,132019,132208,132302,132430,132503
17,MR8026-2,,122626,122912,123156,123535,123832,124411,124814,125330,125436,125719,125814,125941,130350,130731,130848,130943,131121,131229,131514,131608,131902,132052,132324,132419,132514,132619,132808,132852,133019,133115,133243,133422,133444,133506,133635,134025,134203,134414,134541,134646,134719
18,MS2259-1,,124802,125046,125330,125647,130013,130426,130921,,131429,131630,131724,131913,132240,132641,132819,132946,,,133327,133422,133635,133858,134130,134225,134308,134508,134613,134708,134835,135002,135118,135257,135341,135519,135635,135951,140153,140418,140501,140556,140639
19,MS1935-2,,131110,131514,131724,132030,132441,132935,133538,133952,134025,134257,134446,134657,135013,135352,135540,135646,135824,135907,140058,140153,140418,140628,140913,141018,141112,141228,141409,141453,141631,141736,141833,141927,142022,142127,142243,142609,142747,142948,143053,143209,143252
20,MR8462-2,134225,134403,134846,135045,135457,140003,140343,140712,141155,141239,141358,141453,141631,142011,142421,142620,142725,142853,143031,143158,143252,143525,143819,144040,144134,144228,144345,144546,144641,144819,144914,145119,145236,145320,145403,145519,145850,150120,150438,150537,150655,150739
21,MW2390-2,,135718,140025,140153,140354,140755,141347,141736,142116,142210,142304,142359,142526,142915,143252,143408,143503,143641,143746,143913,143956,144218,144546,144746,144819,144914,145011,145203,145258,145403,145446,145708,145824,145850,145916,150058,150414,150622,150802,150916,151025,151057
22,MW2856-3,141228,141833,142221,142620,142915,143357,143956,144502,144830,145000,145152,145258,145352,145751,150214,150352,150514,150633,150802,151014,151130,151413,151702,151935,152030,152125,152241,152432,152539,152731,152840,153029,153203,153246,153414,153531,153833,154011,154223,154339,154435,154530
23,MW3053-3,143923,144757,145119,145403,145708,150142,150526,150916,151340,151451,151607,151702,151902,152241,152655,152818,152924,153114,153214,153414,153458,153716,153927,154200,154247,154339,154457,154645,154739,154952,155047,155205,155237,155323,155442,155646,160025,160217,160414,160508,160608,160645
24,MS2365-2,,150120,150403,150706,151014,151402,151829,152303,152655,152743,152946,153051,153203,153553,154000,154211,154307,154413,154559,154802,154908,155205,155420,155646,155719,155813,155939,160036,160120,160306,160425,160557,160718,160803,160934,161051,161417,161608,161833,161940,162030,162124
25,MR8026-3,151523,151734,152019,152303,152550,153236,153605,154055,154446,154545,154728,154835,155025,155406,155751,155927,160025,160204,160306,160508,160608,160803,161040,161251,161323,161417,161523,161630,161703,161823,161917,162030,162208,162252,162324,162424,162750,162941,163121,163244,163401,163444
26,MS2259-2,152528,153341,153531,153801,154044,154656,155216,155635,155939,160036,160243,160339,160530,160858,161301,161501,161608,,161823,161952,162102,162335,162556,162802,162858,162952,163132,163233,163317,163433,163533,163616,163736,163813,163929,,164350,164640,164702,164756,164903,164936
27,MS1935-3,155939,160243,160624,161040,161439,,162303,162652,163121,163157,163533,163700,163907,164339,164819,164947,165106,165310,165404,165610,165704,170002,170245,170519,170603,170658,170825,170952,171036,171213,171308,171403,171545,171619,171652,171820,172209,172316,172509,172650,172809,172841
28,MX1526-0,160846,161051,161334,161703,162102,162512,162847,163306,163813,163951,164115,164209,164339,164702,165042,165215,165259,165415,165523,165740,165950,,,170752,170908,170952,171130,171257,171341,171532,171630,171703,171758,171831,171903,172020,172352,172530,172841,172958,173052,173136
29,MR8462-3,162030,162146,162652,163627,164030,164424,164808,165128,165437,165631,165845,170002,170118,170436,170836,171014,171057,171247,171403,171556,171641,171947,172328,172552,172637,172724,172820,173009,173114,173241,173325,173441,173558,173619,173652,173830,174156,174403,174554,174649,174805,174827
30,MW2780-0,162523,163749,164458,165321,165729,170046,170519,171047,171330,171446,171703,171809,171958,172403,172820,172958,173052,173219,173336,173525,173609,173841,174156,174437,174532,174638,174805,174947,175100,175259,175358,175446,175551,175636,175825,175940,180418,180538,180914,181021,181148,181244
31,MW2390-3,164556,165620,165917,170328,170814,171225,171545,171903,172231,172316,172530,172625,172735,173041,173441,173703,173736,173946,174040,174233,174403,174605,174900,175100,175143,175227,175321,175529,175603,175709,175814,175919,180003,180037,180216,180321,180716,180848,181021,181126,181221,181308
32,MW2856-4,,172552,172831,173157,173852,174134,174351,174711,175049,175205,175412,175540,175625,180026,180538,180716,180821,181021,181137,181329,181508,181824,182225,182457,182603,182646,182741,182919,183014,183203,183320,183416,183555,183651,183819,183935,184336,184504,,184810,184916,184959
33,MW3053-4,,174415,174711,174922,175446,175857,180003,180143,180632,180737,180948,181104,181221,181635,182141,182308,182425,182625,182730,182941,183046,183258,183511,183735,183829,183924,184019,184147,184241,184504,184559,184726,184810,184854,185021,185203,185558,185707,185919,190006,190112,190206
34,MS2365-3,,175814,175951,180418,180959,181329,181435,181846,182319,182436,182708,182836,182952,183427,184019,184230,184325,184454,184654,184821,184916,185137,185428,185645,185718,185801,185857,190006,190050,190228,190337,190443,190559,190645,190729,190835,191138,191317,191621,191719,191847,191934
35,MR8026-4,,184125,184559,184916,185203,185801,190028,,190824,190947,191200,191331,191512,191910,192413,192530,192602,192741,192814,193014,193152,193415,193724,193935,194020,194114,194219,194346,194418,194641,194735,194820,194948,195042,195222,195401,195708,195813,200036,200141,200246,200330
36,MS2259-3,,,,,,,,,,,,,,,,,,,,,,,,,,,190707,190835,190922,191116,191222,191417,191555,191657,191719,191847,192246,192435,,192835,192952,193035
37,MX1526-1,,191233,191450,191708,191924,192201,192530,192814,193152,193353,193652,193735,193914,194241,194641,194809,194853,194958,195116,195317,195401,195657,195930,200152,200257,200340,200457,200552,200745,200850,200956,201039,201156,201251,201407,201545,201926,202043,202339,202402,202510,202554
38,MX1260-0,,192201,192624,192941,193203,193735,194146,194335,194724,194904,195127,195306,195412,195803,200152,200340,200436,200541,200638,200840,200934,201134,201334,201545,201639,201701,201817,201926,201958,202233,202305,202350,202510,202615,202710,202838,203135,203336,203525,203630,203819,203903
39,MR8462-4,,200025,200213,200425,200638,201006,201123,201251,201523,201607,201828,201958,202138,202459,202900,203016,203101,203229,203314,203441,203525,203736,203936,204147,204220,204303,204347,204515,204558,204714,204747,204820,204914,204947,205009,205115,205431,205620,205816,205849,205957,210021
40,MW2390-4,,201345,201629,201926,202200,202437,202710,202911,203039,203146,203408,203547,203736,204136,204526,204641,204714,204842,204925,205115,205147,205410,205610,205827,205911,205943,210033,210138,210211,210351,210457,210552,210754,210826,210848,210953,211239,211408,211610,211705,211749,211825
41,MW2856-5,,203229,203503,203714,204114,204442,204703,204904,205137,205253,205442,205537,205631,210021,210424,210637,210721,210848,210953,211133,211217,211502,211737,211941,212025,212109,212152,212257,212341,212457,212552,212709,212836,212931,213047,213214,213544,213700,,214007,214113,214156
42,MW3053-5,,205115,205304,205515,205816,210033,210117,210222,210519,210626,210815,210942,211017,211335,211737,211919,212003,212130,212214,212341,212436,212720,213003,213225,213320,213415,213521,213700,213755,213901,214007,214102,214156,214253,214348,214504,214912,215101,215324,215429,215555,215650
43,MS2365-4,210648,210710,210942,211217,211537,211857,212014,212203,212414,212508,212709,212825,212952,213309,213711,213817,213850,214018,214124,214410,214540,214722,214955,215155,215240,215334,215440,215555,215650,215816,215911,220028,220155,220249,220416,220522,220837,221016,221111,221249,221355,221439
44,MR8026-5,212519,212709,212920,213047,213309,213521,213733,213923,214253,214410,214540,214616,214754,215133,215523,215639,215722,215816,215911,220050,220144,220406,220605,220815,220848,220932,221038,221143,221238,221406,221500,221544,221700,221722,221755,221933,222206,222323,222545,222639,222733,222818
45,MX1260-1,,220101,220333,220500,220721,221016,221238,221439,221828,221944,222134,222228,222406,222733,223113,223230,223313,223429,223524,223702,223757,223946,224138,224339,224412,224506,224549,224706,224802,224952,225046,225141,225235,225319,225437,225554,225902,230019,230211,230316,230434,230529
46,MR8462-5,,221638,221900,222039,222301,222755,222851,223018,223324,223419,223607,223640,223807,224116,224433,224549,224622,224728,224824,224929,224952,225130,225342,225532,225628,225700,225755,225902,225956,230200,230243,230316,230401,230456,230550,230656,230942,231049,231312,231407,231513,231546
47,MW2390-5,,224149,224255,224412,224633,224941,225035,225141,225353,225510,225638,225755,225956,230254,230645,230802,230846,230954,231100,231250,231345,231535,232715,,,,,,,,,,,,,,,,,,,
48,MW3053-6,,231027,231250,231429,231641,231747,231947,232053,232158,232242,232409,232452,232621,232938,233319,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MS2365-5,233011,233202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
