,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
23,MX3590-2,141743,143113,143156,143302,143430,143557,143903,144041,144241,144347,144505,144538,145142,145355,145554,145733,145924,150031,150158,150303,150431,,150736,151303,151547,151757,152020,152158,152420,152504,152620,152924,153218,153334,153512,153922
24,MS1953-3,145130,145355,145438,145605,145755,145902,150230,150357,150514,150631,150736,150819,151630,152009,152253,152420,152536,152652,152819,152924,153051,153135,153302,153816,154154,154837,155047,155236,155436,155625,155720,155825,160004,160153,160352,160530
25,MS5234-0,145311,151220,151303,151420,151558,151641,151936,152042,152158,152304,152442,152525,153135,153356,153617,153722,153900,154016,154216,154332,154437,154521,154648,155131,155403,155847,160036,160204,160331,160552,160709,160825,161036,161236,161425,161648
26,MX1545-3,151335,152830,152913,153019,153156,153302,153711,153838,154049,154143,154300,154521,155203,155425,155636,155753,155942,160036,160309,160425,160541,160625,160752,161258,161626,161921,162109,162204,162248,162416,162606,162755,163448,163804,163942,164310
27,MS2365-3,151925,154521,154615,154731,,155058,155414,155553,155731,155953,160120,160204,160647,161013,161152,161258,161414,161510,161648,161743,161859,161953,162059,162533,162744,163110,163332,163459,163721,164048,164215,164711,165039,165322,165511,170146
28,MX1624-3,,160603,160658,160741,161047,161225,161510,161626,161754,162015,162109,162204,163132,163343,163554,163721,163848,164015,164143,164237,164533,164638,164838,165344,165724,170135,170410,170515,170715,170853,171042,171326,171620,171917,172026,172226
29,MX1698-3,162237,162449,162533,162744,162933,163110,163427,163543,163648,163909,164121,164215,170421,170642,170947,171052,171220,171337,171536,171630,171758,171917,172131,172732,173141,173741,173846,174024,174256,174635,174835,175002,175141,175458,175625,180109
30,MX4068-3,,164121,164215,164259,164438,164605,164955,165100,165155,165406,165533,165628,172026,172259,172500,172659,172827,172921,173120,173214,173319,173425,173541,174108,174414,174835,175002,175152,175403,175742,175941,180058,180235,180541,180814,181035
31,MX1708-3,165956,170135,170241,170421,170725,170809,171147,171315,171431,171715,171906,172226,173803,174035,174307,174436,174552,174730,174940,175046,175141,175258,175425,175952,180424,181203,181331,181542,181825,182025,182225,182414,182708,183225,183553,183836
32,MX3590-3,171917,172014,172121,172226,172354,172532,172838,172953,173048,173308,173435,173541,174741,175024,175320,175437,175625,175742,175941,180025,180130,180257,180435,180941,181437,181941,182036,182225,,183025,183131,183247,183731,184047,184346,184650
33,MW3343-0,173603,173803,173919,174035,174213,174256,174657,174751,174835,175108,175247,175341,180719,181025,181331,181520,181709,181836,182015,182109,182247,182341,182519,183025,183520,184120,184237,184502,184744,184955,185155,185311,185532,185909,190214,190458
34,MS1953-4,174751,,175119,175203,175425,175458,175847,180025,180214,180457,180624,180719,181752,182015,182214,182331,182458,182614,182741,182858,183036,183152,183342,183909,184440,185049,185155,185311,185449,185648,185742,185920,190308,,190754,191100
35,MS5234-1,180457,180541,180658,180836,181046,181236,181542,181731,181836,182120,182425,182519,183415,183709,183953,184058,184237,184346,184607,184701,184817,184911,185049,185605,190004,190603,190743,190911,191144,191607,191819,191935,192041,192240,192357,192618
36,MX1545-4,181836,182015,182109,182203,182403,182509,182858,183025,183225,183353,183753,183836,184701,184922,185122,185227,185343,185438,185626,,185848,185920,190109,190647,190955,191438,191545,191713,191819,192240,192408,192524,192650,192911,193039,193249
37,MS2365-4,183520,184313,184357,184523,184722,184755,185039,185144,185238,185521,185659,185742,190458,190719,190933,191028,191300,191354,191556,191652,191830,191914,192041,192524,192806,192955,193133,193344,193427,193627,193721,193848,194015,194225,194352,194627
38,MX1624-4,,190320,190414,190520,190658,190743,191049,191133,191216,191321,191522,191607,192041,192240,192440,192524,192629,192734,192839,192933,193049,193206,193333,193859,194120,194352,194543,194638,194900,195048,195215,195342,195458,195719,195907,200213
39,MX1708-4,193837,193921,194026,194131,194309,194437,194849,195005,195226,195508,195657,195740,200329,200614,200847,201025,201141,201246,201436,201552,201729,201845,202014,202552,202845,203013,203235,203352,203614,203730,203909,204036,204152,204425,204552,204729
40,MX1698-4,,,,,,,,,,,,,,,,,,,195215,195320,195425,195552,195729,200256,200530,200909,201203,201257,201436,201624,201729,201845,202025,202235,202403,202657
41,MX4068-4,,,,,,,,,,,,,202646,202835,203002,203107,203203,203257,203425,203530,203625,203730,203909,204352,204624,204751,204908,205002,205106,205213,205344,205439,205555,205711,205849,210026
42,MX3590-4,203519,203552,203646,203803,204036,204236,204541,204635,204835,205117,205237,205334,205838,210110,210309,210414,210541,210646,210826,210942,211120,211225,211403,211910,212153,212357,212534,212701,212841,213009,213124,213253,213420,213557,213725,213852
43,MS1953-5,205816,210016,210110,210225,210352,210446,210741,210910,211059,211203,211320,211403,211900,212037,212229,212335,212513,212556,212723,212819,212925,213019,213135,213630,213914,214146,214240,214345,214502,214629,214733,214922,,215314,215441,215558
44,MX1545-5,212216,212335,212429,212523,212723,212841,213135,213242,213347,213609,213725,213808,214345,214607,214806,214922,215028,215113,215230,215347,215503,215558,215725,220246,220541,220814,220908,221013,221140,221342,221510,221617,221744,222030,222146,222316
45,MS2365-5,213503,214556,214701,214744,214922,215050,215347,215441,215547,215820,215925,220010,220403,220552,220719,220835,220919,221002,221129,221214,221320,221342,221510,221936,222146,222433,222600,222717,222824,222918,222951,223054,223200,223338,223505,223611
46,MX1624-5,,220235,220331,220447,220646,220824,221108,221214,221426,221532,221639,221744,222316,222506,222654,222739,222834,222929,223054,223128,223244,223338,223505,224002,224245,224403,224509,224554,224659,224816,224921,225026,225131,225352,225519,225617
47,MX1698-5,222051,222242,222327,222433,222622,222654,223025,223128,223306,223411,223505,223549,224035,224245,224425,224532,224648,224742,224859,225004,225109,225214,225330,225830,230041,230229,230345,230501,230557,230704,230748,230908,231003,231142,231251,231356
48,MX4068-5,,,224742,224826,225037,225142,225414,225508,225725,225830,225903,225946,230428,230557,230726,230809,230908,230952,231057,231155,231313,231407,231523,232003,232225,232341,232447,,,,,,,,,
49,MX3590-5,231130,231142,231302,231451,231629,231821,232109,232225,232330,,,,,,,,,,,,,,,,,,,,,,,,,,,
