,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4938-0,,,,,,,,,,,,,,,,,070108,070322
1,AA7252-0,,,,,,,,,070108,,,,,,,,071847,072100
2,AA7637-0,,070108,070334,070557,070725,070822,071024,071130,071215,071709,071836,073122,073407,073653,073809,073938,074117,074931
3,MW4366-0,070833,071013,071521,071709,071836,071920,072005,072100,072133,072651,072850,073938,074233,074519,074635,074753,074953,075542
4,AA7536-0,,,,,,,,,,,,072005,072239,072440,072545,072640,072745,073238
5,MW4705-0,073122,073300,073736,073842,074000,074106,074244,074341,074425,075026,075226,080525,080832,081253,081412,081540,081720,082226
6,AA7759-0,,080158,080525,080641,080821,080915,081032,081137,081209,081720,082059,083411,083614,083836,083941,084047,084151,084700
7,AA6952-0,,,095318,095435,095552,095636,095752,095931,100025,,080503,081625,082015,082309,082502,082618,082819,103629
8,AA7303-0,080641,081042,081304,081423,081540,081636,081837,082004,082037,082629,082852,084246,084554,084945,085050,085144,085249,085806
9,MW4938-1,082237,082546,082926,083053,083210,083305,083400,083517,083624,084449,084700,085924,090218,090513,090629,090745,090851,091418
10,AA7101-0,,,,082247,082345,082451,082629,082724,082819,083327,083550,,,085700,085806,085900,085957,090228
11,AA7871-0,082948,,084511,084627,084837,084934,085155,085405,085511,090207,090619,091733,092029,092157,092337,092411,092600,093152
12,AA7492-0,083053,083349,083614,083825,083952,084025,084119,084355,084500,085511,085806,,091157,091450,091556,091701,091755,092124
13,AA7252-1,084543,084710,085050,085217,085405,,,,,,,092230,092516,092716,092822,092928,093057,093659
14,AA7536-1,084605,,,,,,,090807,090840,,,,,,,,,094526
15,AA7637-1,,090608,090902,091029,091146,091251,091334,091450,091523,092230,092505,093848,094145,094314,094431,094526,094609,095041
16,MW4366-1,091051,091240,091617,091817,091934,092018,092051,092208,092303,092749,092939,094207,094442,094714,094841,094947,095104,095552
17,AA7530-0,092124,,092538,092644,092844,092939,093152,093257,093403,094051,094442,095552,095803,100014,100131,100225,100331,100742
18,AA7842-0,,093721,094145,094314,094453,094558,094714,094831,094925,095741,100214,,101814,102004,102121,102238,102345,102832
19,MW4705-1,094112,094218,094515,094631,094758,094841,095030,095148,095256,095952,100152,101446,101909,102048,102205,102300,102345,102832
20,MW4825-0,095540,095719,100047,100152,100309,100353,100636,100731,100839,101530,101720,103105,103341,103522,103640,103735,103902,104344
21,AA7488-0,100320,100415,100731,100901,101009,101042,101136,101231,101315,,,103522,103713,103924,104040,104123,104218,104639
22,AA7303-1,101423,,101836,102004,102121,102154,102408,102503,102547,103426,103606,104923,105250,,105439,105533,105627,110536
23,MW4938-2,,102514,102747,102937,103054,103127,103211,103330,103415,104239,104449,105711,105956,110135,110314,110409,110536,110842
24,AA7492-1,102959,,103713,103851,104007,104040,104145,104239,104334,105145,105450,110620,110915,111053,111220,111253,111347,112011
25,AA7871-1,103021,104355,104628,104805,105017,105039,105101,105228,105333,105923,110229,111515,111810,112022,112138,112254,112413,112920
26,AA7252-2,,105039,105312,105533,105711,105805,105923,110040,110124,110758,111220,,112836,113005,113122,113239,113409,113731
27,AA7536-2,105722,,110336,110503,110630,110704,110853,110947,111042,111621,111800,,,,,,113934,114241
28,AA7637-2,,111136,111515,111843,111959,112033,112149,112327,112424,112920,113111,114208,114503,114714,114819,114937,115115,115703
29,MW4366-2,112127,112211,112519,112719,112858,113005,113111,113239,113336,114219,,115735,120032,120305,120449,120554,120710,121240
30,AA7530-1,112825,113111,113443,113658,113838,113934,114040,114157,114241,114819,115137,120305,120616,120805,120913,121007,121123,121501
31,AA7759-1,,114903,115221,115409,115536,115630,115757,115904,120021,120659,121029,122323,122534,122820,122959,123105,123211,123658
32,AA7842-1,,115819,120222,120438,120627,120710,120913,121134,121240,133214,143632,145111,145300,145544,145710,145827,145934,150315
