,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4503-0,,,,,,,,,,,,,,,,,,,,070100,070134,070405,070604
1,MW4619-0,101852,082315,082442,102605,083029,083133,083404,070100,070354,070459,070542,070720,070836,070919,071023,071117,071202,071350,071433,071549,071653,071946,110206
2,MW4647-0,,,,,,,070100,070145,071117,071212,071256,071433,071549,071643,071841,071924,072018,072122,072227,072342,072552,072800,072948
3,MW4705-0,,,070100,070217,070354,070615,070857,071023,072122,072227,072310,072447,072613,072717,072916,073020,073135,073301,073406,073553,073751,074032,074241
4,MW4825-0,070100,071023,071317,071610,071903,072122,072353,072635,073740,073834,073927,074054,074241,074345,074544,074648,074814,075035,075128,075257,075351,075653,075819
5,MW4846-0,070100,085025,085402,085729,090021,090125,090334,090450,091412,091505,091559,091714,091829,091912,092100,092143,092258,092446,092550,092705,092810,093102,093231
6,MW4781-0,,070217,070658,071023,071245,071455,071704,071841,072927,073031,073125,073251,073427,073532,073647,073751,073845,074011,074115,074230,074345,074637,074803
7,MW5132-0,071212,072332,072613,072948,073125,073251,073510,073604,074544,074648,074731,074848,074952,075056,075307,075351,075455,075621,075726,075830,075945,080155,095531
8,MW5645-0,071516,073125,073438,073740,073906,074115,074335,074450,075329,075401,075455,075610,075736,075830,080029,080123,080217,080343,080437,080603,080740,081003,081129
9,MR7938-0,,,,,071527,071747,072018,072154,073135,073240,073323,073459,073625,073729,073845,073938,074011,074137,074220,074345,074544,074825,075024
10,MW5124-0,073647,073719,074104,074407,074637,074803,075056,075246,080343,080448,080531,080646,080803,080920,081025,081129,081227,081404,081458,081624,081740,082010,082231
11,MW5594-0,074147,074428,074554,074858,075046,075246,075455,075610,080520,080614,080636,080814,080920,081035,081203,081249,081404,081530,081624,081740,081938,082147,082242
12,MW4837-0,074931,075035,075340,075610,075830,075945,080227,080426,081415,081520,081603,081707,081812,081916,082104,082136,082242,082420,082525,082640,082744,083122,083238
13,MW4366-0,075610,075653,075841,080134,080426,080614,080859,081046,081927,082032,082125,082231,082359,082453,082640,082734,082830,083007,083111,083216,083342,083603,083750
14,MW4503-1,,080824,080909,081249,081436,081613,081906,082210,083144,083249,083331,083436,083551,083657,083801,083906,084011,084147,084241,084356,084544,084825,084921
15,MW4705-1,080920,081541,081938,082326,082503,082629,082913,083039,084032,084137,084230,084356,084544,084648,084910,085014,085129,085247,085351,085456,085602,085833,085959
16,MW4825-1,082525,083205,083529,083917,084105,084252,084533,084659,085801,085905,085948,090115,090240,090323,090555,090648,090803,090952,091057,091213,091350,091620,091757
17,MW4647-1,084000,084115,084324,084638,084859,084942,085151,085319,090229,090323,090407,090522,090606,090710,090825,090920,091035,091140,091235,091340,091548,091808,091912
18,MW4781-1,,,,090522,090848,,091245,091444,092341,092424,092507,092633,092749,092821,093008,093102,093221,093337,093442,093546,093640,093911,094059
19,MW5645-1,091725,091933,092111,092414,092705,092810,093102,093231,094132,094226,094320,094435,094539,094622,094716,094759,094831,094946,095050,095133,095312,095604,095708
20,MW5124-1,092810,092925,093145,093420,093755,093943,094237,094352,095334,095406,095459,095614,095740,095823,100000,100115,100210,100336,100440,100555,100815,101025,101202
21,MW5594-1,093640,093932,094215,094457,094633,094759,095050,095154,100137,100231,100325,100430,100523,100555,100732,100826,100920,101057,101150,101256,101402,101632,101830
22,MW4837-1,094820,095018,095312,095614,095907,100115,100346,100502,101549,101621,101715,101830,101945,102028,102229,102334,102428,102543,102648,102804,102910,103151,103340
23,MW4705-2,095240,101014,101150,101611,101809,101934,102301,102449,103413,103518,103602,103728,103905,103948,104114,104220,104325,104442,104547,104702,104922,105152,105307
24,MW4366-1,095907,095928,100115,100451,100732,100920,101202,101318,102439,102522,102616,102720,102837,102920,103129,103235,103340,103445,103550,103635,103812,104031,104125
25,MW5645-2,,,,,,,,,,,,,,,,,,,,,101737,120507,120655
26,MW4825-2,102522,102931,103257,103539,103833,103938,104147,104242,105152,105246,105340,105455,105632,105714,105840,105955,110039,110217,110321,110416,110615,110907,111054
27,MW4503-2,,,104114,104525,104756,104817,105048,105235,110217,110321,110416,110521,110625,110719,110918,111011,111126,111253,111409,111503,111712,111953,112109
28,MW5132-1,104209,154620,154924,155238,155415,155614,155834,160000,161139,161236,161308,161456,161602,161646,161917,162022,162137,162314,162418,162544,162710,162953,163109
29,MW4846-1,104514,105037,105340,105621,105912,110112,110416,110542,111608,111712,111755,111921,112058,112141,112413,112445,112549,112715,112831,112946,113039,113331,113508
30,MW4647-2,110310,110636,110918,111242,111452,111629,111900,112004,112946,113018,113101,113216,113331,113414,113530,113624,113718,113857,114002,114107,114326,114546,114733
31,MW3447-0,111838,114931,115202,115558,115807,115933,120154,120247,121155,121239,121321,121436,121551,121635,121812,121916,121949,122126,122242,122348,122443,122724,122852
32,MW4781-2,,,113846,114139,114442,114712,115003,115108,120111,120154,120247,120352,120457,120612,120717,120821,120925,121112,121217,121321,121519,121812,121949
33,MW5594-2,115828,120111,120258,120540,120727,120925,121239,121404,122325,122421,122504,122630,122746,122818,122935,123039,123133,123311,123405,123520,123740,123949,124042
34,MW4366-2,121938,122115,122359,122652,122924,123112,123333,123520,124511,124605,124658,124825,124940,125044,125212,125316,125410,125641,125756,125902,130007,130239,130429
35,MW4503-3,,124209,124439,124814,125012,125116,125327,125504,130512,130554,130637,130742,130837,130953,131057,131203,131307,131445,131549,131643,131841,132122,132238
36,MW4647-3,130355,130418,130616,131014,131235,131434,131654,132007,132950,133033,133116,133243,133338,133442,133641,133807,133851,133945,134100,134143,134259,134508,134612
37,MW4781-3,,132541,132728,133033,133338,133504,133757,134143,135208,135313,135407,135533,135700,135743,135920,140025,140129,140306,140432,140537,140725,140957,141123
38,MW5594-3,134403,134612,134800,135113,135302,135439,135732,140108,140925,141019,141102,141209,141325,141419,,,141440,142058,142203,142256,142402,142643,142748
39,MW4366-3,140652,140851,141123,141429,141701,141816,142245,142810,143753,143857,143940,144107,144244,144351,144549,144715,144831,145018,145144,145253,145400,145620,145840
40,MW5203-0,142947,151503,151755,152142,152435,152623,153114,153251,154338,154411,154505,154609,154757,154902,155100,155205,155249,155447,155603,155657,155917,160148,160314
41,MW4503-4,,143145,143241,143533,143742,143940,144223,144600,145620,145725,145808,145923,150039,150237,150435,150529,150633,150832,150947,151053,151231,151514,151557
42,MW4557-0,,,,145144,145349,145620,145956,150529,151546,151640,151734,151849,152016,152059,152309,152435,152539,152706,152821,152915,153114,153356,153511
43,MW4647-4,145609,145851,150133,150507,150716,150936,151210,151651,152832,152947,153042,153208,153345,153449,153752,153846,154108,154255,154411,154537,154631,154945,155122
44,MW5645-3,152319,155415,155719,160137,160304,160440,160816,161150,162220,162325,162418,162523,162638,162732,162849,162932,163026,163120,163227,163342,163447,163708,163856
45,MW4837-2,152413,152644,153031,153323,153532,153752,154013,154151,155205,155249,155332,155426,155530,155614,155812,155906,160000,160115,160220,160314,160440,160743,160858
