,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4557-0,,,,,,,,,,,,,,,070109,070206,070250,070355,070500,070605,070732,071025,071203
1,MW4619-0,,,,,,,,070109,070638,070743,070826,070952,071119,,071425,071520,071604,071720,071825,071951,072046,072342,072448
2,MW4647-0,,,,,,,070109,070122,071130,071257,071342,071447,071604,071709,071825,071919,072014,072141,072257,072353,072415,072615,072721
3,MW3430-0,,,,070109,070344,070428,070700,070804,071752,071857,071951,072057,072213,072319,072437,072520,072615,072731,072827,072910,072954,073249,073344
4,MW4705-0,,,070109,070217,070406,070500,070710,070815,071814,071919,072014,072119,072235,072342,072509,072542,072626,072731,072849,072943,073143,073428,073617
5,MW4825-0,070109,070721,070931,071257,071531,071625,071919,072035,072932,073016,073110,073227,073344,073439,073638,073711,073805,073910,074015,074058,074142,074426,074626
6,MW4781-0,070109,070122,070301,070533,070826,070952,071141,071247,072141,072257,072342,,072637,072731,072954,073048,073143,073321,073428,073533,073743,074026,074120
7,MW4837-0,071108,071257,071553,071846,072046,072141,072353,072520,073533,073627,073721,073827,073942,074048,074214,074257,074353,074509,074604,074721,074944,075206,075312
8,MW5124-0,071257,073721,073921,074225,074426,074615,074828,074955,075936,080009,080052,080136,080252,080335,080441,080524,080619,080724,080818,080904,080959,081210,081304
9,MR7938-0,,,,,071447,071614,071857,072035,072910,073016,073059,073205,073311,073417,073627,073732,073827,073921,074015,074131,074342,074615,074732
10,MW4846-0,071825,071908,072213,072448,072742,072921,073027,073121,074109,074153,074236,074330,074426,074520,074637,074710,074805,074934,075028,075111,075155,075356,092438
11,MW4856-0,,,072626,072900,073110,073311,073501,073544,074542,074615,074659,074754,074850,074944,075133,075206,075250,075356,075450,075534,075556,075756,075915
12,MW5645-0,073016,073048,073249,073501,073700,073754,074048,074153,075133,075206,075301,075356,075512,075617,075734,075818,075936,080125,080208,080303,080357,080619,080756
13,MW4619-1,082453,082548,082830,083102,083302,083440,083733,083848,084923,085018,085112,085229,085334,085417,085650,085745,085839,085956,090102,090145,073953,090547,090714
14,MW5142-0,,074426,074553,074850,075039,075133,075323,075417,080346,080419,080513,080619,080735,080829,081010,081053,081148,081304,081410,081453,081559,081853,082104
15,MW4229-0,074901,075028,075206,075534,075829,075936,080208,080324,081159,081242,081326,081442,081548,081642,081748,081831,081937,082021,082126,082221,082348,082631,082758
16,MW4366-0,075312,075512,075628,075842,080041,080136,080335,080452,081315,081410,081453,081559,081704,081759,081926,082021,082115,082316,082410,082504,082548,082819,082936
17,MW4705-1,080303,081820,081958,082254,082432,082610,082830,082947,083932,084037,084121,084237,084415,084448,084616,084700,084755,084945,085050,085145,085356,085617,085734
18,MW4503-0,,,080713,081042,081242,081442,081726,081842,082725,082830,082925,083019,083146,083241,083429,083512,083617,083754,083859,083943,084143,084404,084543
19,MW4557-1,081020,081104,081326,081610,081820,081926,082043,082148,083146,083241,083335,083450,083606,083649,083805,083910,084016,084215,084321,084415,084543,084806,084934
20,MW4825-1,083124,083335,083700,083932,084121,084248,084510,084627,085523,085628,085712,085839,085956,090039,090229,090302,090408,090547,090652,090746,090937,091231,091336
21,MW4647-1,083921,084110,084321,084722,084901,085112,085417,085701,090547,090641,090735,090842,090959,091042,091158,091252,091346,091451,091608,091702,091745,091956,092101
22,MW4781-1,,085628,085828,090134,090430,090630,090830,090915,091756,091912,092007,092101,092206,092311,092448,092532,092627,092743,092900,092943,093205,093437,093615
23,MW4837-1,090408,090609,090853,091147,091502,091619,091850,092018,092922,093027,093121,093238,093405,093448,093615,093647,093752,093930,094057,094140,094424,094634,094728
24,MW5124-1,091125,092638,092816,093059,093415,093615,093836,094014,094919,095013,095057,095151,095319,095353,095521,095615,095710,095837,095942,100026,100110,100331,100458
25,MW4856-1,,091441,,092112,092343,092510,,092743,093720,093803,093846,093941,094108,094140,094340,094435,094529,094656,094750,094835,094951,095140,095235
26,MW5142-1,093448,093521,093658,093941,094256,094446,094645,094750,095815,095859,095953,100110,100226,100309,100436,100519,100624,100730,100835,100951,101023,101316,101504
27,MW4229-1,094413,094529,094717,095002,095319,095448,095721,095953,101001,101106,101149,101305,101410,101504,101703,101808,101915,102032,102149,102243,102338,102600,102716
28,MW4366-1,095426,095532,095805,100110,100237,100425,100740,100918,101736,101830,101915,102010,102127,102210,102327,102411,102505,102633,102738,102821,102916,103115,103221
29,MW4705-2,095521,100519,100845,101254,101558,101757,102021,102305,103326,103431,103526,103631,103810,103843,104116,104211,104305,104422,104527,104611,104748,104948,105222
30,MW4619-2,101149,101421,101714,102116,102305,102444,102800,102916,103938,104011,104054,104200,104305,104400,104516,104611,104727,104832,104937,105032,105126,105327,105454
31,MW4825-2,102305,102327,102549,102854,103115,103253,103526,103653,104527,104611,104654,104759,104927,105010,105115,105148,105244,105421,105515,105610,105704,105937,110126
32,MW4503-1,,103232,103420,103748,104000,104105,104327,104600,105432,105526,105620,105715,105819,105853,110020,110115,110209,110303,110420,110525,110630,110842,111009
33,MW4846-1,103949,104222,104516,104905,105115,105338,105548,105819,110736,110830,110926,111031,111125,111157,111315,111420,111525,111630,111735,111830,111926,112125,112252
34,MW4557-2,105104,105410,105548,105853,110126,110314,110608,110725,111703,111819,111853,112009,112125,112230,112429,112524,112629,112808,112915,113009,113103,113324,113503
35,MW4647-2,110936,111009,111242,111525,111652,111808,112009,112125,113103,113208,113230,113356,113503,113546,113735,113830,113916,114010,114125,114209,114346,114548,114631
36,MW4781-2,,,112745,113125,113407,113513,113703,113937,114959,115054,115139,,115405,115438,115605,115650,115744,115956,120112,120228,120418,120652,120808
37,MW4837-2,,,114241,114537,114810,114948,115225,115331,120217,120300,120354,120502,120619,120703,120904,121009,121042,121146,121252,121357,121535,121830,121915
38,MW5142-2,,115817,120156,120451,120703,120757,121031,121146,122042,122136,122219,122313,122429,122512,122639,122743,122827,123004,123119,123214,123415,123741,123835
39,MW4366-2,121357,121630,121904,122103,122407,122606,122859,123014,123940,124036,124130,124235,124340,124424,124634,124729,124836,124941,125047,125142,125247,125521,125615
40,MW4503-2,,,123447,123730,123940,124108,124351,124540,125521,125604,125648,125743,125859,130004,130130,130224,130308,130424,130540,130634,130751,131024,131213
41,MW4557-3,124518,124814,124952,125354,125532,125754,130025,130152,131150,131246,131329,131435,131550,131657,131824,131918,132013,132246,132351,132507,132634,132916,133105
42,MW4647-3,130351,130446,130656,131002,131140,131308,131507,131624,132445,132550,132634,132717,132843,132927,133115,133220,133315,133358,133517,133600,133738,133938,134043
43,MW4781-3,131751,131940,132202,132529,132905,133010,133148,133432,134453,134608,134702,134818,134934,135028,135206,135249,135416,135616,135731,135825,140003,140234,140435
44,MW4837-3,133220,133444,133716,134021,134220,134431,134746,135050,135941,140025,140119,140234,140413,140446,140656,140739,140929,141046,141204,141247,141459,141743,141849
45,MW5142-3,,135354,135543,135804,140014,140129,140413,140529,141827,141911,141954,142049,142217,142301,142523,142628,142744,143017,143229,143323,143533,143815,143942
46,MW4366-3,140918,141035,141320,141521,141827,141943,142217,142534,143544,143616,143711,143815,143942,144049,144226,144331,144437,144604,144709,144803,145023,145236,145404
47,MW4503-3,,142806,143112,143501,143743,143931,144215,144510,145521,145615,145659,145826,145953,150047,150246,150636,150951,151150,151307,151402,151635,151907,152046
48,MW4825-3,144132,144416,144531,144908,145151,145309,145521,145804,150741,150813,150908,150951,151117,151202,151402,151708,151950,152129,152234,152341,152553,152824,153002
49,MW4647-4,145837,150026,150330,150730,151034,151246,151624,151950,153013,153056,153150,153257,153445,153529,153751,154213,154551,154814,155003,155058,155214,155509,155710
50,MW5112-0,,,,,,,,,,,,,,,,,150636,,,,151024,151529,151646
51,MW5124-2,150846,153034,153340,153613,153846,154119,154413,154706,155804,155859,155942,160109,160236,160319,160435,160919,161330,161532,161700,161754,162005,162322,162441
52,MW4781-4,,151329,151550,151845,152107,152319,152542,152857,153708,153741,153835,153918,154024,154108,154339,154739,155058,155309,155415,155520,155605,155848,155942
53,MW4557-4,,,152330,152719,152951,153129,153329,153603,154529,154623,154706,154814,154919,154952,155131,155247,155616,155826,155931,160036,160131,160424,160613
54,MW4846-2,153603,153846,154035,154350,154540,154803,155047,155415,160341,160413,160457,160551,160646,160729,160835,161257,161711,161921,162016,162111,162205,162441,162547
55,MP6412-0,154507,155627,155953,160236,160602,160803,161057,161426,162547,162619,162703,162748,162843,162927,163032,163126,163315,163514,163630,163713,163840,164123,164241
56,MW4856-2,,154750,154835,155331,155459,155732,155837,160142,161130,161225,161308,161416,161521,161616,161732,162111,162300,162513,162619,162703,162737,163010,163104
57,MW5084-0,155014,155131,155331,,155942,160214,160403,160707,161732,161805,161900,162005,162111,162205,162311,162441,162630,162854,162938,163021,163115,163348,163514
58,MW5142-4,,160120,160413,160657,160930,161108,161319,161616,162547,162619,162703,162759,162854,162938,163043,163126,163337,163525,163630,163724,163840,164135,164252
59,MW4837-4,160602,160613,161036,161246,161521,161649,161954,162322,163337,163431,163525,163630,163746,163840,164007,164050,164135,164241,164348,164442,164608,164829,164934
60,MW4229-2,161605,161700,162005,162311,162547,162748,163104,163410,164359,164431,164536,164641,164807,164902,165101,165145,165250,165418,165546,165640,165735,170030,170207
61,MW4366-4,,161700,162703,163043,163337,163453,163713,163946,164945,165018,165112,165218,165323,165418,165524,165556,165640,165902,170019,170113,170334,170545,170734
62,MW4503-4,,,163348,163724,163913,164112,164348,164525,165524,165556,165651,165746,165852,165935,170041,170135,170229,170408,170524,170618,170745,171028,171122
63,MW4825-4,163442,163735,164007,164337,164557,164746,165101,165239,170135,170218,170313,170429,170545,170618,170755,170840,170923,171122,171217,171312,171345,171555,171649
64,MW4619-3,164536,164702,164851,,165440,165619,165841,170124,171155,171239,171334,,171555,171711,171900,171943,172110,172320,172427,172510,172553,172825,172941
65,MW4647-5,165228,165407,165713,170019,170251,170451,170745,171028,171932,172015,172110,172225,172343,172427,172626,172731,172825,172930,173046,173152,173354,173639,173745
