,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4338-0,,,,,,,,,,,,,,,,,,,,,,070109,070133,070251,070356,070524,070618
1,AA7279-0,,,,,,,,,,,,,,,070109,070156,070334,070429,070513,070618,070757,071147,071337,071609,071714,071831,071925
2,AA7450-0,,,,,,,,,,,070109,070122,070217,070334,070440,070524,070702,070746,070831,071009,071136,071525,071958,,072053,072220,072304
3,MX3783-0,,,,,,,,,,,070109,070524,070640,070746,070904,070947,071115,071158,071242,071358,071515,071841,071958,072158,072315,072431,072525
4,MX4458-0,,,,,070109,070251,070345,070440,070618,070809,071031,071525,071631,071736,071841,071936,072126,072253,072336,072504,072642,073019,073157,073302,073536,073642,073726
5,MX4535-0,070109,070334,070607,070702,070746,071042,071231,071326,071453,071620,071841,072431,072536,072704,072831,072936,073103,073157,073251,073419,073609,073948,074148,,074444,074610,074654
6,MX4551-0,070144,071504,071725,071747,071936,072231,072347,072453,072620,072841,073114,073631,073737,073853,074021,074115,074305,074411,074454,074621,074759,075211,075316,075444,075614,075731,075815
7,AA7562-0,070451,070757,071115,071158,071231,071515,071703,071758,071948,072042,072304,072903,073019,073125,073240,073347,073536,073631,073715,073821,073959,074338,074527,074716,074832,075010,075105
8,MX4598-0,071808,071958,072315,072336,072409,072642,072820,072914,073052,073313,073514,074032,074126,074255,074349,074444,074559,074748,074832,074905,075021,075411,075539,,075837,075954,080016
9,MX4614-0,,072620,072852,072936,073008,073251,073452,073547,073821,073926,074316,074821,074938,075043,075138,075222,075411,075539,075614,075658,075826,080110,,080427,080511,080628,080701
10,AA7920-0,072725,073251,073759,073904,073959,074433,074632,074759,075043,075350,075815,080332,080522,080701,080806,080922,081122,081216,081311,081417,081617,082006,082205,082354,082532,082710,082804
11,AA7712-0,,074010,074422,074505,074548,075327,075550,075849,080049,080405,080639,081205,081322,081533,081700,081806,082049,082154,082238,082310,082448,082825,082953,083120,083236,083342,083425
12,MX4021-0,074255,075614,080016,080121,080216,080533,080723,081133,081355,081628,082049,082604,082710,082909,083141,083258,083447,083553,083648,083817,083933,084238,084405,084616,084721,084837,084910
13,AA7731-0,,074810,075222,075305,075350,075826,080059,080405,,080901,081300,081817,081933,082100,082300,082354,082543,082742,082836,082920,083025,083436,083553,,084017,084132,084227
14,MX4041-0,080416,081049,081806,081911,082006,082405,082648,082804,083003,083320,083721,084249,084354,084532,084743,084942,085216,085354,085437,085616,085805,090154,090321,090521,090627,090733,090818
15,MX4338-1,081449,082006,082332,082510,082604,082920,083130,083309,083615,084121,084532,085048,085205,085332,085510,085616,085827,090005,090059,090216,090416,090744,090851,091018,091147,091316,091349
16,AA7279-1,082216,082953,083414,083520,083615,083933,084238,084416,084616,084942,085343,085932,090037,090226,090500,090605,090806,090945,091029,091114,091232,091622,091739,092013,092120,092237,092331
17,AA7393-0,083309,083604,083849,083944,084017,084321,084500,084616,084848,085343,085743,090310,090416,090543,090923,091029,091243,091349,091433,091611,091717,092003,092142,092428,092545,092701,092733
18,MX4535-1,084227,,090416,090510,090616,091029,091209,091254,091422,091622,091845,092417,092534,092712,092901,093007,093155,093333,093417,093544,093702,094155,094333,094544,094755,094911,094955
19,AA7450-1,,084259,084510,084543,084627,085004,085143,085259,085637,085911,,090901,091018,091136,,091400,091611,091750,091834,091907,092035,092343,092545,092755,092901,093007,093039
20,MX3783-1,084343,084816,085132,085310,085405,085721,085827,085943,090121,090354,090605,091114,091220,091316,091454,091549,091750,091951,092035,092120,092237,092545,092712,092850,,093217,093250
21,AA7559-0,,,,,,,,,,,,,,,,,,,,,,085216,085321,085637,085721,085816,085943
22,MX4458-1,,085343,085754,085921,090026,090416,090521,090627,090818,091029,091422,092013,092120,092237,092406,092512,092701,092755,092850,093018,093145,093512,093629,093818,093923,094039,094112
23,MX4551-1,085816,091136,091516,091600,091739,092047,092309,092417,092617,092850,093050,093607,093713,093829,094017,094112,094239,094428,094511,094555,094711,095005,095144,095405,095438,095605,095648
