,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3740-0,,,,,,,,,,,,,,,,,,,,,,,,070107,070322,070534,070734,070829,070945,071018,071124,071218,071240,071324,071408,071452,071608,071653
1,MZ3825-0,,,,,,,,,,,,,,,,070107,070120,070311,070418,070534,070640,070702,070723,070829,071156,071335,071514,071620,071726,071748,071843,071926,072010,072032,072116,072149,072255,072350
2,MZ3978-0,,,,,,,,,,,070107,070311,070407,070502,070629,070702,070745,070934,071029,071145,071229,071335,071440,071557,071937,072127,072328,072446,072614,072658,072804,072859,072943,073005,073100,073111,073238,073322
3,MZ3987-0,,,,,,070107,070344,070440,070702,070924,071040,071620,071726,071843,072010,072105,072149,072402,072508,072614,072720,072753,072848,073016,073416,073629,073840,073945,074053,074136,074252,074336,074420,074442,074536,074620,074747,074831
4,MW3528-0,,070107,070205,070355,070713,071102,071156,071324,071440,071715,071853,072402,072508,072636,072804,072910,073005,073154,073238,073355,073544,073618,073651,073818,074147,074325,074547,074642,074809,074852,074958,075030,075114,075136,075219,075252,075358,075420
5,MX1197-0,070407,074020,074747,075208,075644,080027,080236,080449,080755,081103,081245,081816,081913,082146,082346,082452,082609,082833,082950,083106,083203,083249,083417,083555,083913,084114,084337,084455,084601,084645,084751,084847,084931,085004,085036,085120,085236,085331
6,MZ4228-0,070840,070924,071218,071408,071737,072043,072211,072306,072530,072742,072910,073406,073522,073607,073746,073851,073945,074147,074241,074358,074536,074620,074704,074831,075208,075336,075525,075633,075750,075834,075939,080015,080102,080124,080146,080225,080331,080416
7,MW5936-0,071440,072859,073111,073311,073500,073913,074042,074252,074547,074852,075008,075548,075644,075801,080003,080113,080225,080511,080617,080722,080818,080902,081019,081200,081542,081816,082018,082124,082241,082324,082430,082536,082620,082652,082725,082747,082906,082950
8,MZ4072-0,071726,071959,072200,072446,072625,072859,073154,073322,073511,073840,073935,074431,074536,074653,074831,074925,075030,075230,075336,075504,075611,075706,075812,075950,080309,080544,080818,080957,081114,081200,081307,081340,081435,081458,081531,081553,081710,081805
9,MW5966-0,071915,075252,080015,080511,081329,081743,082018,082219,082430,082758,083055,083628,083735,083902,084103,084220,084315,084455,084601,084740,084942,085015,085058,085215,085543,085711,,,,,,090347,090420,090504,090547,090609,090725,090820
10,MZ3556-0,072244,072424,072731,073038,073427,073829,074009,074158,074514,074842,075008,075525,075633,075801,075950,080051,080225,080511,080606,080755,080946,081019,081053,081245,081659,081827,082124,082230,082346,082430,082547,082652,082736,082811,082844,082906,083033,083117
11,MZ3956-0,073027,073406,073851,074136,074336,074758,074958,075114,075325,075514,075801,080258,080353,080500,080700,080807,080902,081211,081307,081447,081542,081616,081710,081827,082124,082335,082609,082725,082822,082917,083033,083117,083150,083214,083249,083311,083417,083501
12,MW5898-0,074347,074453,075019,075420,075823,080214,080438,080711,080935,081256,081435,081956,082113,082314,082536,082630,082725,082950,083044,083150,083333,083355,083428,083544,083902,084103,084337,084433,084601,084645,084751,084825,084909,084942,085036,085120,085236,085320
13,MW5943-0,075525,075812,080236,080946,081340,081805,082029,082219,082452,082939,083128,083713,083851,084008,084158,084254,084422,084623,084718,084858,085004,085036,085109,085236,085638,085838,090029,090146,090241,090336,090442,090526,090609,090631,090704,090725,090905,090938
14,MX1135-0,080744,080851,081234,082029,082408,082736,082844,083033,083249,083746,083945,084455,084601,084707,084847,084953,085120,085405,085511,085649,085755,085827,085913,090040,090420,090515,090642,090758,090853,090927,091032,091105,091138,091211,091243,091305,091435,091509
15,MW3516-0,080957,081138,081626,082040,082419,082747,083011,083150,083439,083840,084125,084645,084803,084942,085153,085258,085353,085605,085700,085816,085946,085957,090029,090146,090504,090631,090736,090820,090927,091000,091054,091127,091200,091233,091305,091316,091435,091520
16,MW5853-0,081553,081659,082146,082714,083055,083355,083746,083956,084209,084623,084751,085416,085521,085638,085827,085957,090102,090358,090515,090631,090758,090842,090916,091054,091413,091553,091742,091859,091953,092027,092133,092216,092238,092311,092405,092427,092532,092626
17,MZ3559-0,082102,082452,082844,083311,083651,084008,084326,084506,084740,085058,085215,085733,085902,090019,090230,090313,090420,090620,090725,090831,090949,091021,091054,091211,091457,091553,091910,091942,092100,092133,092227,092300,092321,092343,092437,092459,092604,092658
18,MZ3734-0,083322,083808,084114,084315,084601,084942,085236,085405,085711,085913,090157,090725,090820,090949,091149,091305,091413,091615,091720,091910,092005,092049,092216,092321,092615,092847,093205,093311,093426,093510,093604,093637,093709,093731,093814,093836,094003,094037
19,MZ3740-1,084655,084858,085131,085416,085638,090040,090302,090442,090620,090916,091032,091647,091826,091931,092122,092238,092332,092553,092648,092814,092942,093026,093110,093227,093542,093658,093908,094003,094120,094214,094330,094426,094521,094542,094637,094658,094859,095004
20,MZ3825-1,085935,090230,090526,090736,090949,091305,091531,091709,092016,092332,092459,092942,093048,093154,093311,093416,093531,093731,093836,094015,094142,094225,094405,094532,094909,095037,095331,095458,095613,095658,095825,095909,095953,100017,100100,100144,100311,100405
21,MZ3978-1,090725,091021,091243,091435,091615,092016,092249,092405,092553,092803,093059,093604,093731,093847,093952,094058,094142,094437,094532,094648,094742,094815,094931,095120,095436,095909,100028,100133,100217,100300,100427,100500,100522,100543,100627,100649,100754,100829
22,MZ3987-1,091953,092321,092731,092919,093300,093626,093836,094003,094225,094604,094731,095236,095342,095508,095647,095803,095858,100206,100311,100449,100554,100649,100818,100957,101336,101452,101642,101748,101904,101937,102054,102138,102233,102305,102400,102410,102540,102634
23,MW3528-1,093132,093216,093416,093709,093941,094320,094521,094709,094909,095214,095352,095847,100004,100111,100238,100354,100449,100649,100754,100902,100957,101041,101158,101314,101704,101831,102043,102127,102244,102327,102421,102505,102529,102551,102624,102656,102751,102835
24,MZ4228-1,093941,094214,094459,094753,095026,095436,095709,095847,100017,100311,100416,100902,101019,101209,101336,101431,101536,101748,101842,102000,102054,102127,102211,102338,102718,102919,103058,103131,103226,103313,103418,103513,103546,103620,103703,103725,103831,103916
25,MW5936-1,094826,100902,101158,101409,101620,102043,102338,102518,102751,103131,103313,103842,103927,104032,104232,104338,104444,104655,104800,104905,105043,105116,105149,105305,105632,105831,110105,110200,110254,110337,110421,110504,110526,110547,110620,110653,110758,110905
26,MZ4072-1,094909,095015,095331,095530,095909,100249,100449,100627,100913,101252,101441,101937,102043,102149,102410,102505,102551,102835,102952,103108,103215,103302,103418,103546,104000,104210,104423,104600,104728,104811,104916,105021,105054,105116,105159,105232,105349,105454
27,MZ3556-1,095858,100100,100405,100605,100946,101242,101536,101726,101937,102316,102505,103058,103215,103356,103609,103758,103927,104210,104316,104506,104655,104739,104916,105054,105443,105621,105820,105959,110116,110149,110304,110348,110421,110442,110526,110547,110704,110758
28,MP5991-0,101336,102529,102751,103003,103524,103916,104210,104412,104622,105011,105149,105704,105758,105916,110043,110200,110304,110558,110704,110842,110937,111021,111147,111315,111632,111854,112044,112210,112349,112424,112656,112740,112814,112836,112908,112941,113130,113214
29,MX1197-1,,101948,102244,102443,102718,103108,103345,103535,103820,104210,104338,104855,104949,105105,105305,105410,105526,105820,105916,110043,110210,110243,110315,110431,110726,110926,111209,111326,111432,111504,111610,111643,111716,111810,111843,111905,112011,112055
30,MW5966-1,102010,103035,103642,103927,104359,104706,105000,105105,105316,105632,105748,110315,110421,110526,110642,110758,110842,111053,111147,111337,111504,111537,111621,111749,112055,112254,112518,112613,112729,112814,112919,113003,113025,113047,113119,113152,113308,113352
31,MP5834-0,102529,104905,105054,105243,105454,105905,110032,110138,110421,110704,110821,111337,111454,111559,111738,111843,111916,112116,112149,112316,112424,112457,112530,112646,113036,113214,113446,113603,113719,113803,113908,113951,114015,114026,114110,114132,114237,114331
32,MZ3956-1,103842,104137,104444,104706,105054,105400,105559,105726,105959,110254,110421,111021,111115,111304,111432,111537,111643,111905,112011,112149,112232,112316,112446,112635,113036,113203,113319,113603,113657,113741,113846,113919,113951,114015,114110,114132,114237,114331
33,MW5898-1,105316,105432,105715,105927,110315,110715,110842,110937,111209,111515,111643,112221,112327,112508,112707,112825,112919,113236,113341,113457,113603,113646,113752,113908,114259,114510,114743,114850,114946,115029,115135,115230,115302,115335,115408,115430,115557,115652
34,MW5943-1,,,,,,,,,,105410,105559,110116,110232,110348,110526,110642,110747,110926,111032,111220,111315,111358,111526,111643,112033,112243,112508,112613,112656,112729,112836,112930,113003,113036,113109,113130,113247,113341
35,MW5853-1,,110758,111042,111315,111621,111927,112149,112305,112530,112930,113109,113657,113803,113940,114142,114237,114342,114626,114732,114913,115040,115124,115240,115408,115703,115820,120021,120159,120327,120411,120517,120601,120633,120655,120742,120816,120913,121018
36,MW3516-1,,111315,111548,111832,112044,112338,112551,112656,112857,113152,113319,113813,113929,114026,114153,114248,114342,114626,114732,114850,115019,115102,115135,115240,115609,115758,120010,120159,120254,120316,120422,120506,120539,120612,120706,120720,120838,120924
37,MX1135-1,112316,112402,112740,112919,113141,113541,113803,114015,114215,,,115240,115346,115452,115631,115736,115852,120138,120254,120411,120528,120612,120742,120913,121241,121503,121641,121747,121904,121936,122104,122136,122230,122252,122346,122430,122557,122651
38,MZ3559-1,113003,113214,113457,113719,114015,114353,114615,114732,115029,115430,115557,120159,120316,120506,120655,120805,120913,121103,121219,121409,121514,121546,121703,121831,122147,122252,122419,122525,122641,122724,122807,122840,122913,122935,122957,123030,123135,123230
39,MZ3734-1,114121,114415,114743,115029,115313,115609,115820,115959,120159,120455,120753,121314,121430,121557,121747,121904,122010,122252,122357,122525,122630,122713,122818,122935,123303,123420,123642,123758,123853,123926,124032,124115,124137,124159,124253,124315,124420,124453
40,MZ3740-2,114957,115324,115631,115841,120127,120601,120827,120946,121208,121452,121641,122230,122336,122514,122651,122756,122902,123146,123241,123431,123536,123620,123726,123853,124231,124409,124558,124652,124808,124852,125008,125103,125135,125146,125231,125253,125420,125514
41,MZ3825-2,120221,120400,120633,120827,121208,121608,121820,121936,122230,122557,122702,123157,123314,123420,123547,123704,123758,124032,124148,124326,124442,124526,124652,124757,125114,125314,125420,125525,125631,125653,125759,125843,125905,125937,130023,130045,130139,130223
42,MZ3978-2,121041,121157,121347,121536,121831,122209,122314,122451,122641,123135,123325,123820,123926,124053,124315,124409,124453,124641,124747,124925,125030,125114,125135,125231,125536,125653,125926,130034,130150,130223,130328,130413,130456,130518,130612,130634,130750,130825
43,MZ4228-2,121724,124126,124442,124747,125103,125442,125653,125843,130045,130255,130612,131131,131249,131428,131607,131724,131840,132051,132207,132313,132419,132451,132608,132714,133041,133208,133358,133514,133613,133635,133752,133836,133931,133952,134036,134058,134214,134236
44,MZ3987-2,121809,122053,122535,122735,123124,123431,123631,123758,124021,124409,124736,125242,125420,125547,125726,125854,125959,130306,130413,130612,130707,130750,130930,131058,131439,131545,131746,131840,131946,132041,132146,132218,132251,132313,132357,132441,132608,132703
45,MW3528-2,122957,123041,123252,123503,123620,123853,124053,124209,124558,125008,125146,125704,125759,125937,130117,130212,130339,130540,130623,130750,130908,130941,131120,131300,131629,131829,132124,132240,132346,132451,132557,132641,132652,132714,132808,132830,132946,133041
46,MZ4072-2,124947,125157,125420,125558,125748,130055,130306,130529,130750,131300,131607,132146,132251,132430,132630,132819,132925,133230,133336,133529,133657,133741,133814,133931,134320,134448,134910,135004,135121,135204,135310,135354,135416,135500,135554,135616,135711,135744
47,MZ3556-2,130023,130244,130424,130656,130836,131238,131501,131607,131818,132113,132430,132957,133114,133241,133420,133529,133635,133814,133920,134036,134225,134309,134448,134626,135004,135121,135321,135416,135532,135605,135722,135805,135827,135911,135943,140005,140123,140157
48,MZ3956-2,131120,131322,131618,131851,132324,132714,132935,133125,133347,133613,133909,134437,134553,134732,134943,135059,135215,135438,135554,135711,135921,140005,140134,140314,140656,140846,141131,141248,141342,141415,141520,141626,141720,141742,141836,141858,142015,142109
49,MW5898-2,132430,132641,132819,133019,133208,133503,133719,133825,134036,134414,134721,135310,135416,135532,135711,135816,135911,140112,140218,140420,140528,140612,140718,140857,141237,141415,141636,141826,141909,141942,142048,142153,142225,142258,142342,142416,142521,142553
50,MW3516-2,,133730,134109,134258,134459,134859,135121,135259,135554,140028,140358,140930,141047,141248,141426,141553,141720,141953,142203,142352,142532,142626,142742,142920,143227,143323,143524,143641,143747,143830,143936,144019,144041,144125,144147,144241,144337,144422
51,MX1135-2,134721,134815,134954,135237,135532,135900,135954,140051,140314,140645,140825,141353,141510,141636,141847,141953,142058,142342,142437,142626,142720,142804,142931,143142,143513,143714,143903,144019,144136,144208,144326,144422,144505,144527,144622,144644,144749,144822
52,MZ3559-2,135543,135838,140146,140441,140645,141014,141120,141342,141658,141920,142225,142815,142931,143025,143216,143345,143451,143714,143830,144019,144219,144315,144432,144538,144844,145105,145326,145454,145549,145621,145737,145832,145905,145948,150032,150116,150243,150339
53,MZ3734-2,140452,140930,141131,141404,141709,142120,142331,142521,142753,143120,143440,144008,144114,144219,144422,144549,144644,144844,144949,145116,145210,145254,145348,145516,145854,150032,150316,150413,150540,150635,150751,150857,150919,150941,151036,151057,151214,151308
54,MZ3740-3,141836,142037,142542,142815,143025,143451,143736,143852,144114,144411,144738,145326,145421,145549,145810,145916,150021,150327,150518,150646,150835,150930,151046,151203,151520,151741,151940,152057,152152,152236,152341,152436,152447,152520,152614,152636,152731,152836
55,MZ3825-3,143014,143047,143301,143513,143830,144252,144358,144611,145011,145243,145538,150127,150304,150435,150646,150814,150919,151214,151319,151520,151614,151709,151814,151951,152330,152447,152719,152836,152952,153025,153130,153214,153225,153246,153341,153403,153530,153625
56,MW5943-2,143725,145210,145454,145716,145959,150339,150529,150646,151014,151509,151835,152403,152508,152614,152814,152908,153014,153257,153414,153530,153635,153741,153846,153952,154308,154554,154837,154921,155016,155037,155143,155216,155249,155332,155406,155428,155534,155555
57,MZ3978-3,143830,144219,144728,145033,145538,145959,150159,150339,150602,151119,151414,151930,152036,152214,152414,152542,152731,153046,153246,153424,153625,153719,153835,153952,154257,154543,154826,154943,155110,155131,155300,155332,155406,155428,155523,155555,155714,155808
58,MZ3987-3,145410,145727,145938,150138,150435,150740,150919,151046,151308,151908,152047,152625,152731,152930,153036,153203,153341,153541,153635,153814,154003,154036,154119,154257,154637,154815,155005,155110,155216,155238,155343,155417,155439,155501,155534,155608,155725,155808
59,MW3528-3,150304,150540,150835,151057,151509,151814,151940,152109,152436,152952,153330,153930,154036,154203,154448,154604,154721,155016,155143,155249,155501,155544,155725,155852,160241,160430,160630,160736,160830,160903,160957,161042,161127,161138,161210,161232,161338,161411
60,MW5853-2,150941,151057,151330,151614,151730,152141,152330,152436,152731,153214,153530,154047,154203,154308,154554,154648,154804,155037,155205,155321,155501,155555,155725,155830,160231,160430,160630,160736,160841,160914,161030,161105,161138,161200,161221,161254,161411,161506
61,MP6041-0,151257,152941,153308,153552,153919,154246,154351,154604,154815,155238,160031,160609,160736,160946,161138,161305,161422,161718,161823,162003,162108,162204,162331,162438,162756,162935,,163253,163349,163411,163528,163622,163644,163706,163801,163812,163951,164014
62,MZ4228-3,,151625,151825,152036,152341,152752,153003,153119,153414,153835,154203,154721,154837,155048,155143,155311,155450,155757,155925,160104,160231,160325,160452,160630,161030,161232,161433,161539,161656,161751,161856,161940,162003,162025,162057,162119,162237,162342
63,MZ4072-3,151940,152414,152741,152952,153236,153603,153741,153857,154152,154626,155406,155925,160020,160158,160409,160547,160641,160936,161053,161254,161400,161433,161600,161707,161951,162142,162449,162639,162745,162817,162935,163030,163052,163103,163136,163158,163315,163411
64,MZ3556-3,152531,153446,153752,154108,154330,154615,154742,154848,155131,155555,160452,161030,161200,161316,161528,161645,161812,162057,162153,162331,162500,162544,162712,162902,163338,163528,163801,163856,164014,164047,164131,164226,164247,164320,164342,164415,164509,164552
65,MW5936-2,153541,154014,154246,154532,154753,155205,155406,155512,155819,160514,160852,161411,161517,161634,161823,161929,162036,162248,162342,162522,162650,162712,162756,162924,163338,163528,163801,163918,164014,164058,164204,164247,164320,164331,164404,164425,164531,164625
66,MX1197-2,155131,161739,162237,162828,163052,163506,163633,163728,163929,164258,164447,165026,165132,165248,165449,165605,165711,165859,170016,170132,170342,170441,170502,170619,170925,171103,171326,171410,171515,171537,171621,171704,171726,171748,171820,171832,171939,172026
67,MW5898-3,155332,155903,160209,160430,160703,161030,161221,161422,161739,162036,162544,163158,163315,163433,163622,163739,163918,164215,164342,164520,164730,164815,164932,165048,165416,165659,165859,170016,170142,170248,170331,170441,170502,170535,170608,170640,170808,170841
68,MZ3956-3,,155406,155725,160053,160430,160819,160957,161138,161550,162003,162533,163103,163209,163327,163550,163717,163845,164204,164320,164509,164730,164826,164954,165121,165427,165711,165932,170016,170132,170215,170259,170331,170419,170441,170513,170608,170724,170808
69,MW5966-2,155450,160358,160903,161907,162014,162500,162617,162828,163052,163327,163601,164215,164353,164531,164815,164921,165048,165310,165449,165605,165659,165711,165859,170016,170419,170535,170819,170914,171114,171136,171220,171304,171326,171348,171421,171443,171548,171653
70,MW3516-3,161105,161517,162153,162807,163041,163433,163644,163801,164036,164353,164447,165037,165153,165248,165500,165605,165711,165910,170027,170204,170353,170419,170441,170557,170914,171052,171315,171454,171559,171621,171726,171759,171832,171853,171917,171950,172048,172143
71,MX1135-3,162130,162320,162723,163242,163455,163823,163951,164120,164342,164730,165048,165627,165732,165837,170027,170110,170215,170441,170557,170713,170808,170841,171019,171146,171610,171726,171939,172037,172205,172238,172355,172438,172500,172522,172555,172629,172734,172818
72,MP5863-0,162902,163103,163622,164047,164342,164719,164910,165015,165321,165910,170132,170713,170745,170914,171136,171253,171432,171704,171843,172014,172154,172227,172322,172427,172756,173114,,173242,173358,173441,173525,173557,173630,173652,173713,173746,173852,173936
