,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4938-0,,,,,,,,,,,,,,,,,-1,-1
1,AA7252-0,,,,,,,,,1,,,,,,,,-1,-1
2,AA7637-0,,1,5,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
3,MW4366-0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
4,AA7536-0,,,,,,,,,,,,2,4,1,1,-1,-1,-1
5,MW4705-0,1,1,1,1,1,1,1,3,1,1,1,2,5,1,1,-1,-1,-1
6,AA7759-0,,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
7,AA6952-0,,,1,1,1,1,1,1,1,,1,1,5,1,1,-1,-1,-1
8,AA7303-0,1,1,1,1,1,1,1,1,1,-1,1,3,1,1,1,-1,-1,-1
9,MW4938-1,1,1,1,1,1,1,1,1,1,-1,-1,2,-1,1,1,-1,-1,-1
10,AA7101-0,,,,1,1,1,1,1,1,-1,1,,,1,1,-1,-1,-1
11,AA7871-0,1,,1,1,1,1,2,1,1,-1,1,1,-1,1,1,-1,-1,-1
12,AA7492-0,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,-1,-1,-1
13,AA7252-1,3,1,1,1,1,,,,,,,1,3,1,1,-1,-1,-1
14,AA7536-1,3,,,,,,,1,1,,,,,,,,,-1
15,AA7637-1,,1,1,1,1,1,1,1,1,-1,1,3,1,1,1,-1,-1,-1
16,MW4366-1,4,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1
17,AA7530-0,1,,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1
18,AA7842-0,,1,1,1,1,1,1,1,1,-1,-1,,1,1,1,-1,-1,-1
19,MW4705-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
20,MW4825-0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
21,AA7488-0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,-1,-1,-1
