,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4557-0,,,,,,,,,,,,070104,070137,070242,070431,070525,070630,070745,070900,071037,071142,071517,071621
1,MW4619-0,,,,,,,070104,070115,071142,071235,071340,071528,071704,071819,072007,072102,072217,072356,072501,072649,072827,073119,073235
2,MW4647-0,,,,,,070104,070336,070525,071455,071611,071704,071830,071957,072102,072228,072311,072407,072523,072617,072743,072837,073119,073245
3,MW3974-0,,,,070104,,,,,071957,072051,072113,,,,,,,,,,,,
4,MW4705-0,,,070104,070314,070514,070619,070850,071016,072007,072051,072145,072301,072418,072512,072700,072743,072827,073015,073047,073224,073412,073705,073842
5,MW4846-0,070104,071913,072051,072356,072606,072754,073025,073152,074124,074228,074322,074439,074605,074711,074826,074931,075057,075236,075340,075506,075632,075946,080144
6,MW4781-0,,,070347,070713,071016,071318,071528,071704,072710,072816,072910,073058,073224,073339,073538,073632,073737,073853,073936,074113,074145,074522,074711
7,MW4825-0,070547,070734,071005,071257,071715,071924,072156,072322,073422,073506,073600,073737,073903,074008,074228,074322,074428,074605,074700,074826,074920,075151,075340
8,MW4837-0,071131,071329,071632,071903,072113,072250,072512,072649,073716,073820,073903,074019,074145,074239,074418,074511,074605,074722,074816,074942,075057,075340,075506
9,MR7938-0,,,,,071455,071611,071841,072007,072837,072931,073025,073130,073245,073350,073549,073621,073716,073842,073936,074102,074322,074605,074711
10,MW5645-0,071506,073047,073339,073632,073842,074113,074312,074439,075423,075528,075611,075737,075852,075956,080133,080227,080331,080436,080540,080656,080800,081115,081302
11,MW5132-0,072407,072450,072710,073036,073245,073433,073654,073759,074732,074826,074920,075035,075151,075247,075351,075423,075528,075747,075841,080007,080205,080446,080634
12,MW5594-0,073643,073925,074218,074511,074711,074920,075140,075308,080133,080227,080310,080425,080540,080645,080834,080928,081032,081126,081230,081345,081511,081732,081930
13,MW4229-0,074605,074754,075035,075402,075632,075935,080237,080414,081324,081418,081511,081638,081753,081857,082047,082140,082245,082401,082505,082621,082819,083100,083226
14,MW4366-0,075402,075455,075715,075956,080227,080436,080739,080917,081825,081940,082036,082140,082256,082401,082559,082704,082830,083039,083143,083248,083403,083614,104057
15,MW4557-1,,,081825,082317,082516,082714,082902,083154,084203,084350,084457,084624,084750,084857,085045,085150,085257,085423,085538,085654,085821,090112,090249
16,MW4705-1,,081836,082108,082411,082631,082747,083050,083216,084214,084403,084457,084634,084813,084919,085045,085150,085329,085444,085549,085654,085821,090112,090300
