,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,070128,070211,070435
1,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070105,,071225,071331,071458,071605,071806,071850,071933,072357
2,MZ4228-0,,,,,,,,,,,,,,,,,,,,,,070105,070128,070244,070328,070402,070858,071425,,072734,072853,073042,073315,073420,073536,073619,073747
3,MX1067-0,,,,,,,,,,,,,,070105,070306,070413,070530,070603,070814,071036,071130,071225,071320,071414,071520,071605,072028,,,073503,073652,073925,074019,074241,074335,074524,074913
4,MZ3556-0,070413,070457,070614,070657,070719,070814,070836,070920,071003,071057,071152,071258,071520,071605,071912,072101,072217,072241,072419,072640,072712,072745,072853,072958,073103,073147,073557,,,074946,075051,075147,075358,075525,075630,075735,080019
5,MZ3559-0,071108,071214,071414,071436,071458,071531,071553,071638,071711,071806,071923,072039,072230,072325,072607,072651,072745,072820,072914,073136,073208,073253,073347,073431,073525,073547,074019,,,075336,075441,075652,075735,075957,080113,080302,080639
6,MZ3734-0,071912,072050,072217,072241,072314,072335,072357,072440,072502,072629,072734,072831,073020,073114,073347,073431,073652,073725,073841,074102,074135,074219,074335,074451,074608,074640,075125,,,080733,080829,080924,081124,081346,081440,081524,081808
7,MZ3740-0,072936,073242,073347,073420,073441,073514,073536,073619,073641,073758,073925,074030,,074335,074608,074640,074851,074924,075051,075336,075408,075441,075535,075652,075746,075819,080240,,,082147,082303,082409,082525,082736,082853,082947,083158
8,MZ3825-0,074502,074557,074734,074756,074818,074851,074913,074946,075019,075136,075230,075347,075514,075724,075935,080029,080135,080207,080313,080512,080545,080628,080733,080840,080935,081008,081451,,,082758,082925,083137,083254,083454,083610,083654,083948
9,MZ3987-0,075630,075724,075840,075902,075924,075946,080019,080051,080124,080218,080313,080450,080556,080722,080946,081040,081251,081346,081502,081757,081830,081914,082019,082136,082241,082303,082725,,,084233,084339,084539,084706,084846,084940,085034,085330
10,MZ3978-0,080744,080913,081040,081124,081145,081218,081240,081324,081407,081502,081609,081757,081957,082125,082347,082441,082652,082809,082925,083126,083158,083220,083327,083505,083559,083610,084116,,,085540,085657,085836,085952,090224,090319,090341,090816
11,MZ3956-1,081830,082158,082325,082409,082431,082503,082525,082631,082703,082820,082915,083031,083220,083349,083610,083643,083904,083926,084116,084255,084339,084411,084528,084644,084802,084908,085413,,,090816,090922,091238,091333,091511,091607,091712,092124
12,MZ4072-1,083654,083810,083926,084021,084054,084127,084149,084222,084306,084422,084550,084706,084846,085002,085246,085424,085529,085550,085657,085919,090003,090047,090203,090319,090424,090435,090911,,,092229,092357,092559,092800,093011,093200,093243,093622
13,MZ4228-1,084729,085424,085550,085624,085657,085730,085752,085836,085908,090014,090130,,090541,090731,091016,091205,091322,091355,091544,091745,091839,091933,092029,092157,092346,092430,092928,,,094530,094708,094836,095003,095140,095320,095425,101004
14,MX1067-1,090352,090508,090635,090708,090731,090805,090827,090900,090933,091100,091205,091333,091544,091756,092040,092218,092452,092559,092750,093000,093044,093138,093243,093410,093516,093549,094013,,,095520,095658,095825,100036,100235,100414,100646,101048
15,MZ3556-1,091500,091533,091702,091756,091807,091850,091912,091956,092029,092146,092240,092430,092611,092728,093022,093106,093327,093432,093538,093803,093908,093941,094057,094224,094331,094414,094836,,,100541,100646,100826,101059,101311,101416,101521,101911
16,MZ3559-1,092559,092706,092811,092906,092949,093033,093055,093138,093211,093316,093421,093538,093752,093857,094140,094257,094403,094457,094635,094857,094941,095025,095151,095320,095509,095553,100036,,,101721,101901,102134,102314,102716,102833,102938,103411
17,MZ3734-1,093033,093149,093305,093327,093349,093421,093443,093516,093549,093644,093741,093908,094140,094235,094552,094646,094752,094825,094952,095140,095235,095309,095425,095531,095625,095709,100130,,,101711,101850,102040,102314,102538,102622,102800,103055
18,MZ3740-1,094140,094331,094457,094530,094541,094625,094635,094719,094752,094847,095014,095140,095342,095509,095814,095941,100213,100308,100435,100741,100826,100921,101037,101121,101249,101322,101755,,,103454,103644,103844,104043,104317,104422,104516,104737
19,MZ3825-1,095636,095731,095858,095919,095941,100025,100036,100119,100152,100257,100351,100519,100719,100752,101015,101110,101333,101405,101532,101755,101839,101922,102040,102207,102325,102347,102811,,,104549,104716,104855,104938,105159,105411,105454,105906
20,MW5898-0,100003,100625,100741,100826,100848,100921,101004,101059,101143,101238,101343,101554,101744,101933,102358,102549,102833,102916,103127,103432,103505,103559,103706,103844,104000,104116,104516,,,105938,110128,110320,110509,110752,110858,111036,171442
