,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,070102,070134,070217,070332,070856,071202,071445,071603,071656,071823,071855,071949,072115,072230,072512,072627,072732
1,MS1044-0,071330,071517,071635,071739,072011,072054,072346,072440,072659,072753,072836,072941,073341,073550,073737,073852,074040,074133,074300,074354,074448,074520,074636,075138,075418,075606,075743,075836,075919,080024,080129,080201,080306,080442,080547,080651
2,MS1935-0,075429,075606,075711,075847,080046,080223,080432,080525,080630,080713,080756,080829,081226,081425,081613,081728,081843,081937,082042,082135,082229,082312,082406,082856,083116,083325,083440,083555,083616,083710,083825,083909,084003,084141,,084403
3,MS1903-0,081927,082125,082218,082301,082510,082647,082918,083011,083220,083325,083357,083501,083930,084213,084413,084540,084706,084800,084926,085020,085114,085208,085323,085814,090024,090243,090409,090524,090712,090806,090921,091026,091130,091413,091528,091705
4,MS1953-1,084948,085814,085918,090003,090222,090315,090650,090744,090838,091058,091141,091225,091633,091832,092103,092146,092323,092406,092554,092658,092835,092918,093033,093546,093849,094026,094203,094318,094413,094518,094644,094800,094926,095041,095157,095323
5,MS1044-1,092950,093116,093232,093347,093524,093607,093922,094015,094131,094235,094318,094403,094947,095146,095406,095511,095605,095648,095803,095857,095940,100035,100201,100703,100937,101135,101251,101406,101604,101658,101752,101845,102013,102244,102432,102537
6,MS1935-1,101355,101604,101658,101752,101856,101950,102327,102432,102609,102713,102757,102851,103437,103636,103855,103949,104159,104242,104409,104453,104547,104629,104734,105213,105434,105632,105759,105947,110123,110206,110343,110449,110604,110752,110856,111044
7,MS1903-1,105556,105842,105925,110019,110145,110343,110658,110802,110907,111127,111221,111253,111722,111920,112108,112151,112255,112338,112505,112548,112631,112735,112840,113331,113602,113833,114032,114125,114324,114440,114556,114650,114816,114942,115036,115151
8,MP6025-0,,112746,112902,112955,113205,113309,113707,113822,113905,114125,114230,114324,114723,114932,115130,115256,115424,115507,115614,115718,115906,115938,120043,120539,120820,121019,121144,121311,121459,121636,121802,122002,122056,122420,122525,122701
9,MS1953-2,120450,120643,120737,120820,121029,121144,121459,121614,121823,122045,122201,122255,122838,123119,123341,123446,123657,123812,124000,124115,124230,124334,124500,125040,125346,125606,125711,125826,125931,130035,130212,130410,130527,130758,130852,131050
10,MS1044-2,123507,123729,123823,123949,124147,124313,124536,124641,124808,124913,124957,125040,125451,125649,125920,130025,130129,130223,130359,130454,130610,130715,130841,131353,131640,131900,132059,132204,132308,132414,132551,132656,132800,132927,133053,133220
