,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070143,070204,070543
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070405,070459,070627,070733,071018,071301,071449,071544,,072007
2,MX1197-0,,,,,,,,,,,,,,,,,,,070106,070226,070310,070354,070510,070616,070722,070806,071228,071428,071522,071733,071850,072124,072313,072526,072631,072820,073157
3,MX1084-0,,,,,,,,,,,,,,070106,070332,070448,070554,070638,070817,071101,071155,071250,071355,071500,071617,071700,072112,072442,072548,072831,072947,073219,073346,073557,073724,073956,074228
4,MX1105-0,,,,,070106,070128,070143,070226,070310,070354,070448,070605,070744,070839,071145,071228,071449,071511,071638,071912,072018,072112,072218,072324,072431,072453,072904,073052,073241,073430,073557,073818,074029,074312,074430,074703,075041
5,MZ3556-0,070616,070839,071018,071039,071101,071145,071155,071239,071333,071500,071617,071733,071934,072112,072420,072526,072631,072715,072915,073125,073208,073252,073408,073524,073640,073735,074207,074535,074713,074925,075052,075233,075433,075716,075844,075938,080435
6,MZ3740-0,071711,073241,073357,073430,073440,073535,073608,073640,073713,073829,073935,074051,074156,074345,074703,074820,074925,074958,075114,075400,075433,075527,075632,075749,075854,075949,080403,080635,080719,081108,081236,081447,081542,081835,082003,082108,082521
7,MZ3734-0,071850,072007,072112,072156,072229,072251,072324,072357,072431,072537,072642,072759,072936,073146,073451,073619,073724,073807,073924,074207,074250,074345,074503,074608,074703,074735,075210,075549,075738,080000,080150,080435,,080919,081025,081130,081331
8,MZ3978-0,073230,074503,074630,074652,074724,074809,074831,074915,074947,075114,075210,075338,075527,075811,080128,080223,080457,080602,080719,081014,081119,081214,081403,081531,081647,081730,082203,082459,082649,082955,083112,083301,083606,083818,083935,084052,084241
9,MZ3825-0,,075538,075705,075727,075811,075844,075905,075927,080000,080055,080201,080318,080446,080624,080930,081025,081247,081352,081531,081814,081919,082014,082152,082332,082448,082521,082955,083301,083450,083913,084124,084252,084642,084906,085045,085202,085803
10,MW5853-0,080519,080541,080646,080730,080741,080814,080836,080930,081014,081119,081214,081320,081447,081709,082057,082226,082448,082543,082744,083039,083155,083301,083428,083617,083807,083851,084314,084727,084917,085319,085436,085709,085931,090342,090458,090603,091100
11,MZ4228-0,081520,081625,081741,081835,081857,081919,081941,082025,082108,082214,082321,082437,082649,082807,083123,083217,083311,083417,083628,083924,084008,084102,084252,084430,084727,084844,085330,085552,085742,090003,090141,090320,090603,091017,091122,091228,091726
12,MZ4072-1,082448,082627,082901,082934,082955,083039,083101,083133,083217,083355,083533,083723,083851,084008,084303,084430,084653,084749,084906,085308,085425,085458,085709,085931,090131,090214,090649,091217,091358,091704,091831,092115,092328,092745,092914,093042,093452
13,MZ3559-0,083450,083606,083723,083818,083902,083946,084008,084102,084135,084252,084347,084514,084727,084938,085308,085425,085658,085742,085909,090141,090225,090331,090447,090649,090817,090922,091358,091631,091809,092138,092414,092542,092756,093220,093358,093514,094052
14,MW5936-0,084525,084537,084704,084749,084811,084906,084928,085000,085034,085213,085341,085447,085614,085720,085942,090214,090258,090352,090553,090839,090955,091017,091154,091336,091441,091536,092010,092234,092447,093031,093158,093536,093820,094103,094219,094546,095103
15,MZ3956-1,085425,085508,085709,085731,085752,085825,085847,085931,090003,090152,090258,090520,090711,090922,091217,091252,091452,091547,091759,092043,092148,092244,092403,092520,092626,092710,093147,093503,093653,094147,094241,094346,094546,094925,095103,095219,095441
16,MW5966-0,085636,091252,091430,091503,091547,091620,091642,091726,091759,091937,092104,092211,092339,092458,092819,093020,093253,093336,093536,093925,094042,,,,,,095241,095546,095725,100220,100410,100559,100831,101115,101255,101550,101953
