,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW3528-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070122,070546,070809,071009,071115,071210,071243,071315,071432,071613,071730,071952,072110,072206
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070206,070323,070440,070513,071042,071315,071516,071624,071730,071825,071952,072110,072217,072301,072441,073000,073235,073519,073625,073814,073931,074048,074204,074321,074416,074555,074701,074842
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070429,070641,070809,071104,071210,071326,071432,071516,071602,072110,072250,072441,072600,072643,072749,072855,072949,073055,073128,073235,073720,073942,074121,074259,074405,074555,074701,074758,074915,075020,075137,075254,075410
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,070108,070239,070345,070440,070630,070703,070758,070904,070947,071009,071126,071454,071857,,072025,072132,072206,072334,072441,072811,073106,073117,073519,073625,073825,073931,074110,074215,074639,074915,075104,075220,075421,075516,075644,075739,075855,080000,080128,080636,080942,081205,081417,081512,081619,081747,081915,082021,082159,082433,082612,082803
4,MW2390-0,,,,,,,,,,,,,070108,070144,070535,070652,070736,070842,070947,071115,071148,071326,071550,071803,071836,072036,072228,072323,072525,072611,072643,072800,072822,072855,073000,073308,073414,073603,073647,073753,073825,074015,074143,074500,074701,074758,075148,075316,075410,075516,075611,075706,080150,080436,080636,080753,080909,081015,081154,081300,081439,081534,081714,082243,082528,082740,082836,083026,083216,083333,083501,083629,083747,083958,084137,084316
5,MW2856-0,,070206,070407,070557,070758,071009,071042,071137,071410,071454,071657,071752,071941,072301,072716,072844,072927,073055,073150,073319,073403,073541,073731,073942,074015,074204,074343,074449,074555,074650,074725,074820,074904,075020,075137,075454,075644,075833,075939,080106,080201,080306,080425,080836,080942,081059,081406,081501,081630,081714,081820,081904,082411,082740,082920,083026,083143,083238,083406,083512,083629,083712,083831,084422,084707,084836,085059,085239,085428,085534,085651,085811,085917,090131,090321,090430
6,MW3053-0,071952,072121,072312,072525,072716,073150,073403,073541,073753,073836,074004,074048,074131,074500,074842,075009,075053,075220,075316,075443,075538,075750,080000,080201,080234,080436,080552,080636,080825,080909,080953,081026,081110,081216,081333,081630,081725,081915,082105,082210,082316,082444,082550,082707,082909,083026,083355,083501,083618,083725,083809,083853,084433,084656,084858,085015,085121,085239,085418,085545,085714,085811,085949,090443,090730,090837,091006,091111,091250,091637,091805,091923,092051,092304,092454,092655
7,MW3528-1,072239,074237,074500,074650,074842,075137,075348,075454,075622,075717,075906,075950,080011,080328,080658,080814,080847,081026,081110,081238,081322,081534,081736,081926,082010,082159,082327,082400,082633,082718,082803,082931,083004,083026,083143,083512,083650,083809,083926,084021,084053,084210,084316,085004,085143,085250,085607,085725,085822,090057,090153,090237,090646,090911,091049,091155,091356,091432,091637,091743,091901,091934,092102,092538,092814,093048,093204,093300,093523,093618,093736,093841,094009,094254,094411,094506
8,MP5834-0,,075644,075822,080022,080223,080509,080614,080742,080931,081015,081205,081300,081417,081747,082148,082305,082349,082455,082539,082707,082751,083004,083227,083512,083618,083820,083937,084043,084316,084411,084517,084550,084634,084707,084825,085110,085239,085428,085523,085618,085640,085822,085917,090237,090430,090646,091006,091100,091217,091311,091421,091505,091934,092146,092326,092421,092611,092655,092836,092931,093121,093215,093322,093853,094116,094305,094422,094611,094655,094847,095004,095121,095311,095513,095652,095842
9,MS1695-1,080709,081154,081355,081545,081915,082232,082433,082601,082814,082858,083205,083300,083344,083701,084115,084316,084400,084612,084645,084847,084931,085132,085345,085607,085703,085906,090024,090108,090237,090332,090454,090622,090657,090730,090848,091228,091443,091637,091754,091901,091934,092102,092208,092454,092633,092750,093153,093249,093333,093556,093714,093758,094222,094455,094706,094814,095026,095132,095300,095407,095502,095619,095736,100254,100551,100719,100953,101142,101405,101511,101733,101901,102007,102240,102442,102632
