,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW5097-0,,,,,,,,,,,1,-1,-1,-1,-1,-1,-1,-1
1,MW4366-0,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1
2,MW4619-0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1
3,MW4647-0,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
4,MW5097-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
5,MW4366-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
6,MW4619-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1
7,MW4825-0,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
8,MW4647-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
9,MW4846-0,1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1
10,MW5097-2,1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1
11,MW4366-2,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1
12,MW4825-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
13,MW4647-2,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1
14,MW5097-3,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
15,MW4366-3,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1
16,MW4647-3,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1
17,MW4720-0,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
18,MW5097-4,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
19,MW4366-4,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1
20,MW4557-0,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1
21,MW4619-2,,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1
22,MW4647-4,3,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1
23,MW4720-1,,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1
24,MW4781-0,1,1,1,2,4,1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1
25,MW5084-0,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1
26,MW5097-5,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
27,MW4557-1,1,,1,1,1,1,1,1,1,-1,1,-1,4,1,1,-1,-1,-1
28,MW4619-3,,1,1,1,1,,1,1,1,-1,,-1,1,1,1,-1,-1,-1
29,MW4647-5,3,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
30,MW4720-2,,1,1,1,1,1,-1,1,1,1,1,1,2,1,1,-1,-1,-1
31,MW4781-1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
32,MW5084-1,1,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1
33,MW5097-6,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1
34,MW4619-4,,-1,2,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1
35,MW4557-2,1,,,1,1,1,-1,1,1,-1,1,-1,2,1,2,-1,-1,-1
36,MW4647-6,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
37,MW5084-2,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
38,MW4557-3,,,,,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,MW4647-7,,-1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
40,MW5084-3,3,-1,1,1,-1,-1,,,,,,,,,,,,
