,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
34,MZ3956-1,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
35,MP5834-0,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
36,MW5943-1,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
37,MX1135-1,,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
38,MX1084-1,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
39,MW5898-1,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
40,MZ3556-1,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
41,MZ3734-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
42,MZ3740-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
43,MZ3825-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
44,MZ3978-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
45,MZ3987-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
46,MX1213-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
47,MZ4228-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
48,MW5853-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
49,MZ3559-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
50,MZ3956-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
51,MW5943-2,-1,,,,,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
52,MX1084-2,,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
53,MW5898-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
54,MX1067-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,-1
