,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070452
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070132,070408,070503,070737,070844,071012,071204,071405,071521,071615,071837
2,MW5964-0,,,,,,,,,,,,,,,,,,,070108,070228,070313,070357,070503,070620,070726,070822,071248,071438,071615,071848,072050,072217,072441,072820,072937,073054,073403
3,MX1084-0,,,,,,,,,,,,,070108,070228,070609,070748,070855,070928,071056,071405,071448,071543,071659,071826,072005,072039,072513,072853,072959,073200,073328,073606,074000,074438,074649,075009,075658
4,MX1414-0,,,,,,,070108,070155,070250,070408,070514,070653,070822,071023,071532,071710,071932,072028,072206,072513,072557,072652,072831,073032,073211,073306,073758,074128,074224,074500,074711,075009,075243,075528,075742,075947,080629
5,MZ3556-0,070536,070631,070822,070855,070917,071023,071056,071130,071152,071310,071354,071459,071659,071826,072144,072250,072513,072535,072714,072959,073043,073149,073328,073510,073703,073747,074213,074533,074722,075147,075338,075614,075901,080200,080355,080450,081552
6,MZ3734-0,071615,071721,071837,071921,071932,072016,072039,072122,072155,072323,072430,072546,072820,072926,073317,073426,073652,073725,073853,074055,074151,074257,074404,074544,074754,074839,075243,075603,075742,080138,080255,080417,080640,081021,081148,081253,081732
7,MZ3740-0,072630,072746,072926,072948,073021,073043,073116,073200,073255,073437,073555,073714,074000,074140,074511,074627,074904,074925,075211,075455,075647,075901,080032,080244,080501,080607,081021,081434,081636,082105,082327,082657,082930,083203,083330,083554,084115
8,MZ3825-0,073652,073736,073905,073938,074000,074033,074055,074128,074202,074308,074342,074438,074638,074839,075136,075232,075316,075349,075506,075826,075936,080127,080317,080450,080629,080701,081126,081625,081816,082138,082423,082708,083047,083330,083426,083606,084210
9,MZ3978-0,074754,074839,075020,075104,075125,075158,075232,075306,075400,075517,075603,075720,080032,080233,080650,080829,081053,081126,081253,081614,081816,081914,082222,082423,082741,082846,083319,083901,084031,084210,084432,084653,084845,085320,085448,085554,090018
10,MZ3987-0,075815,075838,075958,080021,080043,080116,080138,080211,080244,080355,080439,080545,080829,080959,081337,081434,081658,081742,081914,082222,082338,082423,082741,082919,083330,083415,083913,084326,084515,084917,085034,085258,085521,085745,085850,085956,090537
11,MX1213-0,,080851,081010,081031,081053,081126,081148,081221,081315,081423,081530,081636,081903,082105,082434,082612,082846,082919,083047,083459,083617,083744,084159,084326,084537,084727,085151,085543,085734,090102,090251,090515,090631,090854,091011,091211,091756
12,MZ4228-0,081804,081936,082105,082138,082200,082222,082243,082327,082359,082539,082646,082836,083108,083319,083617,083828,084104,084159,084505,084917,085129,085225,085426,085606,085817,085901,090325,090631,090854,091352,091520,091723,091914,092158,092316,092400,092707
13,MZ4072-1,082752,083225,083403,083437,083459,083531,083606,083638,083722,083913,084031,084159,084526,084632,084928,085034,085258,085342,085606,090040,090135,090219,090409,090609,090727,090810,091254,091639,091818,092103,092253,092540,092752,093216,093311,093355,093945
14,MW5943-0,083711,083901,084031,084126,084159,084231,084304,084347,084421,084537,084704,084856,085056,085236,085554,085628,085901,085956,090124,090409,090526,090620,090748,091000,091159,091254,091756,092030,092220,092740,092951,093141,093439,093701,093828,094102,094558
15,MW5936-0,,084621,084800,084834,084856,084939,085001,085107,085140,085320,085448,085554,085850,090040,090347,090620,090905,090948,091233,091531,091650,091807,091946,092147,092349,092433,092918,093300,093450,094135,094314,094536,094726,095138,095307,095554,100135
16,MZ3956-1,085129,085258,085415,085448,085510,085543,085606,085650,085734,085850,085945,090040,090146,090336,090642,090843,091054,091126,091414,091756,091851,091935,092125,092305,092411,092433,092930,093300,093513,094336,094442,094737,094927,095159,095318,095543,095923
17,MW5964-1,085459,090810,090937,091011,091054,091116,091148,091222,091254,091403,091520,091616,091840,092019,092316,092422,092645,092718,092857,093227,093311,093406,093545,093651,093828,093850,094325,094525,094704,095459,095722,100008,100230,100603,100730,101036,101732
18,MX1197-0,090029,090040,090219,090240,090313,090336,090358,090431,090515,090620,090716,090832,091043,091159,091458,091639,091902,092008,092147,092518,092613,092656,092824,093013,093216,093300,093712,093901,094051,094821,094938,095149,095403,095711,095850,100041,100647
19,MW5966-0,091531,091553,091701,091756,091818,091851,091914,091957,092030,092136,092231,092400,092645,092846,093130,093300,093545,093651,093756,094040,094156,094240,094409,094525,094715,094748,095210,095543,095733,100146,100340,100552,100858,101319,101425,101553,102230
20,MX1067-0,092231,092338,092518,092551,092623,092656,092729,092813,092857,093024,093119,093216,093450,093629,094007,094124,094336,094420,094558,094949,095043,095138,095307,095437,095616,095711,100208,100603,100804,101531,101732,102008,102208,102528,102655,103003,103511
21,MX1084-1,,093119,093249,093322,093345,093450,093513,093556,093640,093756,093850,093945,094207,094431,094748,095011,095116,095159,095329,095638,095733,095850,100041,100219,100351,100447,100920,101214,101404,101956,102124,102411,102612,102930,103057,103226,103533
22,MX1414-1,,093923,094018,094051,094124,094156,094218,094302,094336,094453,094547,094715,094916,095116,095426,095554,095806,095901,100041,100340,100436,100520,100658,100825,101003,101047,101520,101816,102008,102623,102803,103014,103226,103607,103724,104010,104436
23,MX1135-0,094609,094715,094832,094916,094938,095011,095043,095127,095210,095329,095426,095605,095901,100030,100403,100509,100742,100847,101025,101331,101447,101604,101816,101956,102147,102305,102814,103047,103237,103735,103915,104329,104531,104923,105039,105146,105726
24,MZ3556-1,095232,095341,095521,095554,095627,095744,095806,095901,095935,100041,100135,100241,100509,100614,100931,101047,101308,101404,101520,101743,101827,101912,102040,102147,102305,102349,102847,103057,103449,103757,103926,104318,104531,104934,105050,105157,105810
25,MZ3734-1,100008,100208,100351,100436,100458,100552,100614,100658,100730,100836,100953,101047,101331,101458,101754,102008,102113,102208,102316,102634,102728,102814,102930,103108,103226,103247,103713,103915,104128,104827,105028,105241,105431,110020,110137,110337,110751
26,MZ3740-1,100103,101236,101404,101436,101458,101531,101604,101648,101721,101956,102113,102230,102517,102634,102941,103119,103342,103500,103618,104000,104044,104139,104329,104531,104731,104805,105241,105548,105926,110315,110539,110835,111108,111542,111721,111826,112335
27,MZ3825-1,102113,102219,102316,102349,102411,102433,102455,102539,102612,102717,102825,102919,103119,103215,103555,103713,103937,104033,104223,104509,104614,104720,104849,105018,105112,105146,105559,110148,110348,110751,110857,111035,111331,111626,111754,111923,112419
28,MZ3978-1,102858,103057,103215,103237,103258,103353,103415,103500,103522,103640,103735,103841,104055,104234,104458,104614,104838,104934,105146,105336,105420,105515,105653,105821,105926,105959,110411,110751,111108,111626,111754,112050,112408,112651,112757,113031,113251
29,MZ3987-1,103841,103915,104033,104106,104139,104223,104245,104307,104340,104458,104542,104647,104816,104923,105230,105347,105610,105653,105821,110104,110159,110242,110411,110527,110729,110813,111331,111615,111923,112251,112408,112640,112840,113136,113251,113506,113816
30,MX1213-1,,104838,105006,105039,105112,105208,105230,105303,105336,105431,105526,105643,105853,105948,110220,110315,110527,110623,110802,111130,111258,111352,111531,111710,111826,111923,112419,112640,112840,113325,113454,113754,113923,114207,114334,114514,115010
31,MZ4228-1,105621,105726,105915,105937,110010,110042,110137,110220,110315,110455,110550,110645,110846,111046,111436,111604,111826,111923,112050,112441,112546,112640,112840,113041,113208,113251,113731,114101,114419,114809,114948,115316,115625,120039,120145,120241,120722
32,MZ4072-2,110623,110729,110857,110941,111003,111057,111119,111152,111236,111425,111520,111604,111804,112018,112312,112346,112608,112702,112840,113219,113302,113358,113614,113743,113911,113945,114408,114915,115116,115636,115753,115922,120241,120511,120650,120806,121220
33,MW5943-1,111615,111837,112028,112050,112145,112218,112312,112357,112441,112724,112840,112947,113136,113302,113658,113838,114051,114207,114430,114809,114926,115020,115149,115327,115456,115540,120050,120555,120744,121421,121715,121948,122234,122635,122814,123057,123617
34,MW5936-1,113114,113219,113358,113431,113454,113528,113603,113709,113805,114040,114123,114334,114652,114758,115210,115338,115551,115658,115848,120241,120353,120522,120744,120913,121103,121136,121620,122021,122317,123203,123352,123617,123936,124252,124442,124536,125233
35,MP5991-0,,113956,114123,114218,114239,114312,114345,114430,114503,114820,114937,115031,115254,115423,115804,115911,120134,120241,120511,120817,120924,121030,121231,121421,121558,121642,122117,122435,122708,123554,123733,124019,124336,124820,124916,125032,125646
36,MW5966-1,114323,114725,114842,114937,115020,115127,115210,115316,115349,115456,115551,115658,115848,120007,120304,120449,120701,120806,120957,121209,121326,121421,121537,121704,121959,122042,122508,122835,123214,124146,124325,124547,124831,125116,125244,125456,125931
37,MX1197-1,180403,180626,180745,180807,180840,180924,180946,181020,181104,181235,181352,181458,181732,181900,182328,182622,182917,183023,183249,183755,183924,184030,115221,115349,115518,115614,120050,120555,120755,121620,121758,122128,122635,122952,123119,123319,194021
38,MX1067-1,115327,115423,115636,115658,115731,115804,115826,115911,115955,120145,120241,120331,120606,120806,121114,121220,121442,121537,121653,122032,122201,122307,122508,122646,122847,122941,123437,123650,124030,124653,124841,125032,125244,125657,125826,130016,130546
39,MZ3956-2,120315,120449,120650,120701,120722,120806,120828,120913,121019,121136,121220,121304,121431,121537,121831,121937,122212,122256,122508,122908,123046,123141,123308,123426,123554,123639,124052,124314,124525,125456,125635,125848,130112,130336,130514,130702,131347
