,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA7562-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,084415
1,MX4598-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070205,070333,070501,070903,071030,085019
2,AA7712-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070146,070311,070439,070534,070712,070808,070841,071326,071442,071800,072152,072404,072606,072829,072956,073230
3,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070146,070322,070650,070841,071103,071220,071326,071432,071549,071706,071749,072214,072330,072617,072850,073102,073443,073658,073815,074004
4,MX4159-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070132,070322,070439,070701,070841,071114,071220,071337,071432,071611,071706,071738,072214,072341,072617,072913,073102,073454,073658,073826,074038
5,MX4338-0,,,,,,,,,,,,,,,,,,,,,,,,,070106,070216,070249,070439,070606,070724,070841,070946,071253,071420,071644,071749,071856,071929,072119,072203,072246,072701,072818,073018,073314,073516,073720,074111,074216,074345
6,MX4365-0,,,,,,,,,,,,,,,,070106,070238,070406,070501,070545,070712,071019,071220,071347,071505,071622,071706,071845,072013,072152,072257,072404,072701,072901,073135,073241,073337,073421,073614,073731,073826,074250,074419,074654,074917,075057,075259,075511,075651,075916
7,MX4383-0,,,,,,,,,,,070106,070146,070227,070355,070523,070639,070746,070841,070935,071019,071137,071527,071727,072024,072130,072246,072319,072449,072555,072723,072923,073018,073326,073432,073658,073815,073910,074004,074133,074323,074419,074822,074950,075310,075607,075736,080022,080341,080520,080659
8,AA7731-0,,,,,,,,070106,070238,070439,,071158,071304,071454,,,071738,071907,071951,072035,072141,072555,072807,,072956,073113,073208,073359,073538,073731,,074111,074504,074621,074738,074844,075012,075119,075141,075511,075618,080033,080150,,080925,081137,081308,081649,081806,082052
9,MX4458-0,,,,070106,070146,070439,070545,070639,070808,071008,071231,071727,071834,071940,072035,072141,072308,072449,072522,072555,072723,073040,073135,073326,073421,073538,073625,073804,073921,074038,074250,074356,074716,074833,075057,075203,075259,075343,075511,075607,075640,080107,080319,080542,080925,081104,081341,081649,081828,082103
