,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MS2365-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070153,070236,070258,070352,070708,070846,070953,071048,071203,071225
1,MW5264-0,,,,,,,,,,,,,,070108,070142,070258,070320,070425,070509,070625,070646,070824,071048,071258,071331,071425,071530,071646,071741,071910,071943,072015,072048,072121,072259,072404,072720,072910,073027,073132,073227,073310
2,MS2259-0,,,,070108,,070120,070153,,,070425,070636,070719,,071120,071508,071635,071708,,071846,071954,072037,072215,072415,072625,072803,072846,072943,073111,073216,073437,073521,073615,073742,073815,073836,074016,074320,074625,,074836,074932,075026
3,MX1509-0,071109,071352,071614,071730,071954,072153,072248,072415,072552,072636,072803,072846,072921,073238,073615,073742,073815,073921,074016,074143,074226,074415,074636,074836,074932,075026,075132,075310,075354,075521,075606,075638,075744,075816,075849,075955,080259,080500,080627,080754,080910,080954
4,MS1953-0,071824,074603,074752,074932,075110,075459,075617,080237,080405,080449,080627,080710,080848,081154,081541,081708,081741,081857,081951,082108,082130,082257,082446,082708,082802,082846,082952,083108,083214,083425,083459,083532,083616,083649,083710,083816,084220,084314,084539,084634,084718,084751
5,MS1935-0,072954,073100,073205,073343,073710,073954,074038,074059,074215,074248,074447,074520,074625,074921,075310,075437,075521,075638,075700,075827,075911,080122,080310,080543,080627,080710,080754,080848,081005,081154,081237,081310,081404,081436,081614,081741,082036,082141,082402,082446,,
6,MW5346-0,,080921,081027,081248,081353,081741,081951,082047,082213,082308,082424,082519,082657,083003,083353,083459,083532,083638,083721,083849,083921,084114,084325,084517,084612,084656,084802,084908,084952,085119,085225,085247,085352,085424,085456,085551,085835,085951,090151,090256,090400,090455
7,MS2365-1,,083130,083425,083616,083849,084125,084220,084314,084455,084601,084718,084802,084941,085247,085625,085751,085846,090002,090046,090245,090317,090506,090645,090847,090923,091007,091124,091253,091336,091539,091625,091731,091814,091846,091921,092015,092309,092425,092613,092803,092908,092941
8,MW5264-1,085456,085603,085846,090056,090317,090707,090923,091102,091208,091303,091455,091614,091720,092037,092425,092552,092635,092751,092857,093035,093119,093257,093519,093718,093813,093856,094003,094130,094214,094341,094424,094457,094614,094646,094730,094847,095206,095312,095535,095640,095757,095841
9,MS2259-1,,092058,,092541,092613,093246,093435,093457,093657,093751,093918,094014,,094530,094910,095048,095143,095356,,,095735,095913,100113,100345,100439,100555,100628,100817,100922,101132,101216,101310,101415,101437,101510,101626,102059,102321,,102520,102658,102731
10,MX1509-1,,094057,094257,094508,094625,094910,095121,095228,095323,095418,095546,095651,095808,100146,100544,100711,100755,100911,101006,101132,101216,101459,101731,101932,102016,102110,102215,102331,102415,102625,102709,102752,102910,102932,103016,103132,103458,103647,103825,103943,104050,104133
11,MP5824-0,,095935,100102,100312,100544,100911,101006,101132,101321,101415,101604,101659,101804,102143,102520,102709,102803,102921,103121,103226,103320,103541,103803,104050,104133,104216,104344,104450,104523,104702,104757,104903,104958,105020,105042,105157,105537,105653,110009,110125,110241,110314
12,MS2243-0,,102110,102331,102531,102900,103404,103603,103730,103922,104016,104227,104344,104439,104820,105220,105421,105504,105631,105715,105904,110009,110241,110430,110640,110746,110841,110924,111051,111134,111314,111346,111451,111557,111619,111651,111808,112102,112240,112452,112558,112652,112724
13,MS1953-1,,104501,104724,104936,105052,105421,105610,105715,105842,105937,110042,110136,110357,110724,111113,111241,111324,111451,111608,111702,111746,111925,112051,112313,112356,112441,112536,112630,112703,112830,112914,112957,113041,113125,113147,113253,113600,113749,113959,114105,114210,114254
14,MW5346-1,,110619,110924,111156,111430,111735,112019,112157,112419,112514,112703,112757,112830,113158,113538,113654,113738,113905,113959,114127,114221,114411,114611,114824,114857,114952,115035,115214,115257,115424,115540,115624,115657,115719,115741,115846,120214,120414,120541,120624,120742,120825
15,MW3387-0,,112514,112735,112935,113326,113633,113821,113926,114116,114210,114400,114455,114611,114940,115413,115551,115635,115741,115846,120025,120119,120308,120541,120753,120847,120943,121049,121153,121248,121448,121554,121638,121732,121816,121838,121943,122310,122438,122711,122755,122840,122936
16,MS2365-2,,114411,114611,114802,114857,115214,115319,115424,115624,115657,115856,120003,120036,120403,120753,120954,121049,121205,121332,121437,121521,121721,121943,122132,122216,122248,122343,122511,122555,122755,122840,122903,123030,123051,123124,123241,123611,123728,123856,124003,124119,124203
17,MW5264-2,,120246,120530,120803,121016,121416,121510,121616,121910,122016,122205,122248,122438,122807,123157,123347,123432,123611,123655,123822,123918,124130,124403,124602,124635,124730,124835,124952,125035,125214,125320,125459,125649,125744,125900,130016,130332,130459,130625,130815,130909,130942
18,MS2259-2,,122121,122332,122522,122733,123030,123252,123432,123728,123812,,124047,124119,124446,124835,125035,125130,,125415,125531,125627,125849,130111,130321,130404,130459,130636,130731,130826,131047,131131,131225,131330,131425,131541,131658,132026,132204,,132509,132658,132730
19,MX1509-2,,124003,124308,124541,124835,125247,125459,125605,125911,130016,130237,130321,130459,130848,131236,131436,131530,131647,131741,131930,132015,132321,132542,132741,132836,132930,133025,133141,133238,133354,133437,133520,133748,133820,133853,134020,134754,135007,135224,135330,135424,135446
20,MS1953-2,125509,131836,132109,132321,132542,132858,133130,133238,133542,133637,133853,133958,134128,134448,134848,135020,135043,135202,135257,135530,135638,135900,140050,140249,140322,140416,140522,140648,140721,140847,140935,141041,141135,141208,141337,141445,141802,141940,142046,,142336,142408
21,MS2243-1,,130027,130143,130354,130615,130909,131120,131236,131519,131552,131720,131825,131952,132342,132741,132920,132952,133130,133205,133343,133437,133626,133853,134104,134143,134226,134320,134426,134510,134627,134721,134805,134900,134921,135007,135117,135424,135627,135754,135838,135955,140039
22,MW5346-2,,133914,134143,134320,134521,134911,135031,135435,135922,140017,140155,140249,140322,140648,141030,141157,141251,141424,141518,141646,141730,141918,142158,142357,142430,142513,142618,142734,142808,142933,143005,143157,143336,143403,143436,143530,143848,143946,144135,144240,144345,144418
23,MW3387-1,135805,140039,140333,140545,140826,141135,141240,141402,141602,141708,141824,141929,142035,142419,142821,143027,143112,143219,143325,143520,143625,143837,144102,144312,144345,144440,144551,144704,144811,144936,145020,145116,145224,145308,145342,145520,145903,150030,150210,150315,150411,150444
24,MS2365-3,,142035,142347,142556,142808,143336,143436,143625,143911,144008,144145,144345,144429,144826,145213,145352,145447,145630,145757,145924,150008,150220,150505,150709,150746,150831,150936,151103,151213,151351,151457,151530,151646,151734,151807,151914,152221,152448,152659,152804,152906,152951
25,MW5264-3,143753,144135,144345,144620,144925,145403,145531,145642,145924,150042,150253,150411,150516,150914,151318,151446,151552,151710,151818,152031,152125,152343,152626,152840,153002,153056,153213,153400,153444,153637,153732,153926,154054,154148,154315,154427,154725,154833,155058,155203,155323,155356
26,MS2259-3,145924,150019,150516,150746,151127,151457,151722,151914,,152247,152415,152532,152710,153056,153455,153659,153755,153959,154021,154148,154243,154537,154736,154952,155025,155108,155203,155334,155418,155534,155629,155745,155817,155901,160011,160129,160508,160719,160843,160916,161021,161106
27,MX1509-3,152031,152332,152648,152940,153400,153659,153853,154021,154221,154315,154443,154526,154620,155036,155440,155640,155723,155850,155949,160150,160256,160457,160719,160927,161011,161106,161224,161354,161437,161604,161647,161730,161842,161930,162036,162153,162530,162719,162922,163101,163156,163247
28,MP5824-1,,153937,154126,154427,154747,155058,155323,155534,155912,160023,160234,160340,160530,160927,161321,161553,161647,161842,161919,162142,162226,162530,162719,162922,163007,163101,163145,163332,163426,163604,163703,163834,164036,164124,164256,164424,164816,164955,165211,165307,165407,165440
29,MS1953-3,154232,155702,160011,160201,160508,160708,160905,161032,161415,161542,161741,161854,162025,162403,162741,162956,163040,163145,163247,163448,163604,163834,164036,164307,164352,164446,164613,164743,164838,165101,165159,165244,165356,165451,165607,165726,170051,170250,,170606,170703,170738
