,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3740-0,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,5,1,1,1,1,1,-1,-1,-1
1,MZ3825-0,,,,,,,,,,,,,,,,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1
2,MZ3978-0,,,,,,,,,,,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1
3,MZ3987-0,,,,,,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,5,1,1,1,1,-1,-1,-1
4,MW3528-0,,1,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1
5,MX1197-0,-1,1,1,4,2,2,1,1,2,-1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,-1,5,1,1,1,-1,1,-1,-1,-1
6,MZ4228-0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1
7,MW5936-0,-1,1,1,2,1,3,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1
8,MZ4072-0,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
9,MW5966-0,-1,1,2,3,1,1,2,4,2,-1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,,,,,,1,1,1,1,-1,-1,-1
10,MZ3556-0,-1,1,1,1,1,3,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1
11,MZ3956-0,-1,1,1,3,1,1,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
12,MW5898-0,-1,1,1,4,2,1,1,1,2,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,5,1,1,1,-1,1,-1,-1,-1
13,MW5943-0,-1,3,4,2,1,1,2,4,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1
14,MX1135-0,-1,3,3,2,3,2,1,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
15,MW3516-0,-1,4,4,2,3,2,1,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
16,MW5853-0,-1,1,4,1,2,1,1,4,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1
17,MZ3559-0,-1,2,3,2,2,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1
18,MZ3734-0,-1,2,1,2,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1
19,MZ3740-1,-1,1,1,1,2,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,-1
20,MZ3825-1,-1,1,1,2,1,1,1,3,1,-1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1
21,MZ3978-1,-1,1,1,2,1,2,1,4,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
22,MZ3987-1,-1,1,1,1,1,2,1,3,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,-1,-1,-1,-1,-1,-1,-1
23,MW3528-1,-1,1,1,3,1,2,1,4,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
24,MZ4228-1,-1,1,1,3,1,1,1,3,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,4,-1,-1,-1
25,MW5936-1,-1,1,1,3,1,3,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1
26,MZ4072-1,-1,1,1,3,1,1,1,4,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
27,MZ3556-1,-1,1,1,1,1,1,1,4,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1
28,MP5991-0,-1,1,2,3,1,2,2,2,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1
29,MX1197-1,,1,1,2,1,1,2,4,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1
30,MW5966-1,-1,2,2,1,2,3,1,3,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1
31,MP5834-0,-1,1,1,1,2,2,1,4,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,-1,-1,1,1,1,1,-1,-1,-1
32,MZ3956-1,-1,1,1,2,2,3,1,3,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1
33,MW5898-1,-1,1,2,1,1,1,1,4,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,2,-1,-1,-1,-1
34,MW5943-1,,,,,,,,,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1
35,MW5853-1,,1,2,1,1,3,1,4,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1
36,MW3516-1,,1,1,2,1,1,1,4,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1
37,MX1135-1,-1,2,2,4,2,1,1,3,2,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
38,MZ3559-1,-1,1,1,1,2,1,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1
39,MZ3734-1,-1,1,1,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,4,1,1,-1,-1,-1,-1
40,MZ3740-2,-1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
41,MZ3825-2,-1,1,2,4,2,1,1,3,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1
42,MZ3978-2,-1,1,1,1,1,1,1,3,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,3,3,3,2,-1,-1,-1
43,MZ4228-2,-1,2,1,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1
44,MZ3987-2,-1,1,1,2,1,1,1,2,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1,1,1,1,1,1,-1,-1,-1,-1
45,MW3528-2,-1,1,1,1,1,1,1,2,4,-1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1,-1,-1
46,MZ4072-2,-1,1,1,3,1,1,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1
47,MZ3556-2,-1,1,1,1,1,1,1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
48,MZ3956-2,-1,1,1,3,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1
49,MW5898-2,-1,1,1,2,1,1,1,2,3,-1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
50,MW3516-2,,1,1,4,1,1,1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1
51,MX1135-2,-1,1,1,4,1,2,1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1
52,MZ3559-2,-1,1,1,1,1,1,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
53,MZ3734-2,-1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,1,1,-1,2,-1,-1,-1
54,MZ3740-3,-1,1,1,3,2,2,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,3,1,1,-1,1,1,1,1,1,1,-1,-1,-1
55,MZ3825-3,-1,1,2,3,1,1,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,3,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1
56,MW5943-2,-1,3,2,2,2,1,1,2,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,5,-1,1,1,1,1,-1,-1,-1
57,MZ3978-3,-1,1,1,3,2,1,1,2,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,5,-1,1,1,1,1,-1,-1,-1
58,MZ3987-3,-1,1,2,2,2,1,2,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,5,1,1,1,1,-1,-1,-1,-1
59,MW3528-3,-1,1,1,2,1,2,2,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
60,MW5853-2,-1,1,1,3,2,1,1,1,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
61,MP6041-0,-1,1,2,4,2,2,1,2,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,-1,1,1,1,1,1,1,-1,-1,-1
62,MZ4228-3,,1,2,4,1,1,1,2,3,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
63,MZ4072-3,-1,2,1,3,2,1,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
64,MZ3556-3,-1,1,2,4,3,1,1,2,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1
65,MW5936-2,-1,2,3,4,1,1,1,3,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1
66,MX1197-2,-1,1,1,3,2,1,1,3,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
67,MW5898-3,-1,1,1,4,1,2,1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1
68,MZ3956-3,,1,2,1,2,2,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1
69,MW5966-2,-1,1,2,4,1,2,2,2,3,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1
