,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW4619-0,,,,,,,,1,1,-1,-1,-1,-1,1,1,-1,-1,1,4,-1,-1,1,-1
1,MW4647-0,,,1,-1,-1,4,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1
2,MW4705-0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1
3,MW4781-0,,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1
4,MR7938-0,,,,,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
5,MX1260-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,3,-1,-1,1,-1
6,MW4856-0,,,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,3,-1,-1,1,-1
7,MW5203-0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,-1
8,MW4229-0,-1,-1,1,-1,-1,3,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1
9,MW4366-0,,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,3,1,-1,1,-1
10,MW4619-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1
11,MW4705-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1
12,MW4647-1,-1,-1,1,-1,-1,3,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,2,1,-1,1,-1
13,MW4781-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,3,1,1,-1,1,-1
14,MW4856-1,,,-1,-1,-1,-1,2,1,1,-1,-1,,-1,1,1,1,1,1,3,1,1,1,-1
15,MX1260-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,1,1,1,1,1,4,-1,-1,1,-1
16,MW5203-1,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
17,MW4229-1,-1,-1,1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1
18,MW4366-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
19,MW4705-2,-1,-1,1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1
20,MW4619-2,-1,-1,-1,-1,-1,3,2,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
21,MW4647-2,,-1,-1,-1,-1,-1,3,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
22,MX1260-2,-1,-1,1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,1,1,1,,,,,1,1,-1
23,MW4781-2,,,1,-1,-1,1,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
24,MW4856-2,,-1,2,-1,-1,-1,2,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1
25,MW4229-2,-1,-1,1,-1,-1,2,2,1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,1,-1
26,MW4366-2,-1,-1,2,-1,-1,4,3,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
27,MW4647-3,-1,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,1,-1
28,MW4781-3,-1,-1,2,-1,-1,-1,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,1,-1
29,MW4856-3,,,1,-1,-1,1,2,1,-1,-1,-1,-1,-1,1,1,1,1,3,3,1,1,1,-1
30,MW4229-3,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
31,MW4366-3,,-1,1,-1,-1,1,2,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
32,MW5084-0,-1,-1,1,-1,-1,1,4,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
33,MW4647-4,-1,-1,1,-1,-1,1,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
34,MW4846-0,-1,-1,1,-1,-1,2,4,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
35,MW5132-0,-1,-1,1,-1,-1,2,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
36,MW4856-4,,,,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
37,MW4229-4,-1,-1,1,-1,-1,2,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
38,MW5084-1,-1,-1,1,-1,-1,5,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
39,MW4647-5,-1,-1,1,-1,-1,3,3,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,1,-1
40,MW4705-3,-1,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
41,MW5132-1,-1,-1,1,-1,-1,2,3,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,
42,MW4846-1,-1,-1,1,-1,-1,3,4,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
43,MW4856-5,-1,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
44,MW4229-5,-1,-1,1,-1,-1,4,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
45,MW4705-4,-1,-1,-1,-1,-1,2,3,1,-1,-1,-1,-1,-1,1,1,1,1,5,1,1,1,1,-1
46,MW5084-2,-1,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1
47,MW4647-6,-1,-1,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1
48,MW4856-6,,,,,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1
49,MW5084-3,-1,-1,-1,-1,-1,-1,3,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,-1
