,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
34,MZ3734-2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,3,1,1,1,1,1,-1,-1
35,MZ3740-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,3,1,1,1,-1,-1
36,MZ3825-2,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,2,1,1,2,1,1,1,1,-1,-1
37,MZ3956-2,-1,1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,3,2,2,1,1,1,-1,-1
38,MZ3978-2,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,3,2,1,2,2,1,1,1,1,-1,-1
39,MW5943-1,-1,1,-1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,2,2,2,1,1,1,1,1,-1,-1
40,MZ3987-3,-1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,-1,-1
41,MX1105-3,-1,-1,-1,1,1,1,-1,,1,1,1,1,3,1,-1,1,1,1,1,1,1,1,1,-1,1,1,3,4,1,1,1,2,1,1,1,-1,-1
42,MW5966-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,,,,,1,-1,1,1,1,1,1,3,2,2,1,1,1,1,1,-1,-1
43,MX1135-3,,1,1,1,1,1,-1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,4,2,2,1,3,1,1,1,-1,-1
44,MW5853-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,2,1,3,1,4,1,1,1,-1,-1
45,MW5936-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,2,3,1,2,1,1,1,1,1,-1,-1
46,MZ3556-3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,2,2,2,2,1,1,1,1,1,-1,-1
47,MX1084-1,-1,1,1,1,1,-1,-1,1,3,1,1,1,2,1,-1,2,1,1,1,1,1,-1,1,-1,1,1,4,2,1,2,1,1,1,1,1,-1,-1
48,MZ3559-3,-1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,-1,1,-1,1,1,5,2,1,3,1,1,1,1,1,-1,-1
49,MZ3734-3,-1,1,4,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,-1,1,1,1,1,4,2,2,1,2,1,1,2,1,-1,-1
50,MZ3825-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,3,2,1,1,2,1,1,1,-1,-1
51,MZ3740-3,-1,-1,1,1,1,1,1,1,-1,1,1,-1,4,1,-1,1,1,1,1,1,1,1,1,-1,1,1,3,2,2,2,1,1,1,1,1,-1,-1
52,MW5645-0,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,1,4,-1,1,1,1,1,4,4,4,2,1,4,1,1,1,-1,-1
53,MZ3956-3,-1,1,1,-1,3,3,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,-1,1,-1,1,1,3,5,4,2,2,1,1,1,1,-1,-1
54,MZ3978-3,-1,-1,-1,2,1,1,-1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,5,3,2,1,1,2,2,1,1,-1,-1
55,MZ3987-4,-1,1,1,1,1,1,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,4,3,2,1,3,1,1,1,1,-1,-1
56,MP6358-0,,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,-1,1,1,1,1,4,2,1,2,1,1,1,1,1,-1,-1
57,MW5943-2,-1,-1,-1,1,1,1,1,1,1,1,1,1,3,1,-1,3,1,1,1,1,1,1,1,-1,1,1,1,2,1,2,1,1,3,1,1,-1,-1
58,MW3417-0,,2,1,1,1,1,1,1,1,4,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,4,2,2,1,1,1,1,1,1,-1,-1
59,MX1105-4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,1,1,1,1,1,1,-1,-1
60,MW5853-4,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,1,-1,1,1,3,3,2,1,1,1,2,1,3,-1,-1
61,MX1135-4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,3,1,1,1,1,1,-1,1,-1,1,1,3,3,1,2,1,1,3,1,1,-1,-1
62,MW5966-2,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,2,1,1,1,1,2,2,1,-1,1,1,4,4,2,1,1,2,1,2,1,-1,-1
63,MZ3556-4,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,4,2,3,2,1,1,2,1,3,-1,-1
64,MW5936-2,-1,-1,1,1,1,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,1,1,-1,1,1,1,1,5,3,3,1,1,1,1,1,1,-1,-1
65,MZ3559-4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,-1,1,1,1,1,4,2,2,1,2,1,2,1,3,-1,-1
66,MX4159-0,-1,1,1,1,1,1,1,-1,1,-1,1,1,2,1,1,1,1,1,1,1,3,-1,1,1,1,1,5,2,3,1,1,1,2,1,1,-1,-1
67,MX1084-2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,-1,1,2,1,1,1,3,4,2,1,3,1,1,1,-1,-1
68,MZ3740-4,-1,1,1,1,1,-1,5,1,1,1,1,1,1,1,1,1,4,1,1,1,1,-1,1,1,1,1,3,4,4,1,1,1,2,1,1,-1,-1
69,MZ3825-4,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,-1,1,3,1,1,3,5,4,1,2,1,1,1,1,-1,-1
70,MW5645-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,-1,1,1,1,5,4,2,1,1,1,1,1,-1,-1
71,MZ3956-4,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,2,1,2,1,1,-1,2,1,1,1,5,5,4,1,1,1,1,1,1,-1,-1
72,MZ3978-4,-1,,-1,-1,-1,-1,-1,-1,1,1,1,1,,,,,,1,2,1,4,-1,1,1,1,1,3,5,4,1,1,1,1,1,1,-1,-1
73,MZ3987-5,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,4,1,1,1,1,-1,1,-1,1,1,4,4,4,1,3,1,1,1,1,-1,-1
74,MP6358-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,2,1,1,1,1,1,-1,1,-1,1,1,4,4,4,1,1,1,1,2,1,-1,-1
75,MX1105-5,,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,4,4,1,1,1,1,1,1,-1,-1
76,MW5943-3,-1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,3,2,4,1,2,1,1,1,1,-1,-1
77,MX1135-5,,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,2,1,1,1,1,1,1,-1,-1
78,MW5853-5,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,2,2,1,1,2,4,1,1,1,-1,-1
79,MZ3556-5,-1,1,1,-1,-1,1,-1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
80,MZ3559-5,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
81,MX4159-1,-1,-1,-1,1,1,1,-1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,1,-1,-1
82,MZ3740-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,3,1,1,1,2,1,1,1,1,-1,-1
83,MZ3825-5,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,-1,1,1,-1,2,1,1,1,1,1,-1,1,1,1,1,1,1,2,2,1,2,1,1,1,-1,-1
84,MW5645-2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
85,MZ3978-5,-1,-1,1,1,1,1,-1,1,1,1,1,1,2,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
86,MZ3987-6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,2,1,1,1,1,1,1,-1,-1
87,MP6358-2,,,,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,2,1,2,1,1,1,1,1,1,-1,-1
88,MW5853-6,,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
89,MZ3556-6,-1,-1,1,1,1,1,-1,-1,1,1,1,1,4,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,2,1,1,1,1,1,1,1,-1,-1
90,MZ3559-6,-1,1,1,1,1,1,-1,3,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
91,MW5537-0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,,,
92,MX4159-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,,,,,,
93,MZ3825-6,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,MZ3740-6,-1,-1,-1,4,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,
95,MZ3978-6,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
