,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MX1135-0,,,,,,,,,,,,,,,,,,,,,,,070109,070155,070515,070726,070853,070948,071042,071115,071221,071254,071327,071349,071433,071506,071635,071718
1,MZ3825-0,,,,,,,,,,,070109,070251,070346,070431,070547,070653,070726,070926,071020,071137,071305,071327,071411,071528,071823,072011,072149,072221,072315,072337,072453,072525,072609,072631,072725,072747,072915,073009
2,MZ3956-0,,,,,,,,,070109,070302,070420,070904,071009,071042,071159,071305,071349,071539,071635,071751,071834,071917,072000,072116,072421,072620,072725,072904,073019,073041,073147,073230,073241,073303,073357,073419,073546,073651
3,MZ3978-0,,070109,070239,070431,070704,071042,071137,071254,071455,071718,071844,072326,072421,072525,072631,072736,072820,073103,073157,073303,073346,073430,073513,073640,073934,074122,074322,074417,074523,074544,074650,074754,074850,074901,074955,075038,075144,075228
4,MZ3987-0,071104,071349,071602,071718,071906,072159,072232,072359,072609,072747,072915,073419,073524,073640,073807,073901,073956,074249,074344,074501,074544,074628,074650,074754,075111,075301,075513,075618,075734,075818,075934,080007,080101,080123,080217,080239,080407,080451
5,MW5964-0,072421,072631,072820,073041,073313,073607,073702,073756,073901,074028,074144,074700,074754,074901,075028,075133,075239,075440,075534,075640,075745,075818,075851,080018,080345,080534,080723,080842,080959,081031,081148,081221,081326,081348,081442,081526,081643,081759
6,MZ4228-0,073441,073546,073901,074017,074206,074450,074512,074606,074711,074850,074955,075450,075618,075713,075818,075912,075945,080228,080322,080429,080545,080629,080702,080807,081115,081315,081515,081622,081727,081821,081937,082032,082115,082159,082232,082254,082421,082454
7,MW5853-0,074006,075006,075122,075322,075407,075702,075745,075851,080018,080250,080418,080926,081020,081104,081221,081315,081421,081643,081748,081916,082010,082043,082115,082254,082632,082820,082958,083104,083219,083241,083346,083429,083514,083536,083631,083703,083809,083907
8,MZ3556-0,080112,080250,080502,080702,080937,081315,081348,081453,081622,081916,082043,082559,082654,082820,082926,083031,083125,083335,083440,083547,083736,083833,083845,084002,084308,084437,084649,084754,084912,084955,085101,085155,085239,085323,085355,085428,085555,085700
9,MZ3559-0,081253,081348,081526,081654,081832,082126,082159,082305,082454,082726,082904,083346,083453,083547,083703,083809,083907,084035,084108,084235,084342,084415,084437,084554,084901,085050,085228,085355,085450,085522,085627,085700,085733,085806,085900,085923,090039,090134
10,MW5936-0,082432,082621,082915,083042,083230,083525,083631,083747,083907,084152,084330,084817,084912,085006,085144,085250,085334,085522,085617,085744,085944,090006,090050,090156,090452,090619,090807,090912,091028,091101,091144,091238,091310,091343,091437,091459,091605,091627
11,MX1135-1,083440,083703,083928,084119,084308,084543,084732,084901,085006,085239,085355,085900,085955,090050,090207,090302,090357,090557,090702,090818,090945,091017,091050,091206,091543,091721,092004,092110,092226,092309,092415,092448,092510,092543,092626,092710,092816,092900
12,MZ3825-1,084616,084732,084955,085144,085355,085617,085700,085817,085933,090112,090229,090735,090818,090923,091028,091122,091206,091354,091437,091616,091743,091816,091910,092037,092415,092605,092721,092816,092922,092954,093100,093133,093206,093228,093322,093406,093522,093544
13,MX1197-0,085511,085617,085839,090006,090240,090546,090640,090745,090840,091111,091238,091754,091848,091942,092059,092153,092247,092437,092543,092721,092816,092849,093016,093133,093439,093617,093827,093911,094007,094040,094145,094251,094313,094345,094451,094513,094629,094702
14,MZ3956-1,090145,090546,090901,091101,091321,091532,091616,091721,091942,092204,092258,092805,092922,093100,093144,093249,093322,093511,093606,093722,093849,093900,093933,094040,094356,094451,094724,094808,094926,094958,095042,095136,095221,095243,095315,095337,095443,095515
15,MZ3978-1,091227,091354,091754,091921,092026,092320,092415,092521,092710,092933,093100,093617,093733,093838,093944,094040,094135,094335,094440,094618,094757,094842,094926,095031,095326,095504,095653,095747,095853,095926,100043,100116,100159,100221,100253,100337,100443,100516
16,MZ3987-1,092331,092510,092816,092933,093100,093450,093522,093617,093806,094007,094124,094640,094735,094830,094947,095053,095147,095421,095515,095620,095725,095819,095853,095959,100253,100359,100516,100621,100736,100809,100915,100958,101020,101042,101136,101158,101303,101408
17,MW5964-1,,093638,093900,094113,094313,094651,094937,095042,095326,095620,095758,100304,100411,100516,100632,100736,100830,101042,101136,101252,101419,101452,101546,101652,101948,102127,102433,102505,102611,102705,102800,102833,102927,103000,103054,103115,103253,103337
18,MW5943-0,094102,094523,094746,094915,095147,095453,095715,095809,095959,100232,100411,100926,101009,101125,101252,101346,101441,101702,101808,101915,102010,102054,102210,102327,102600,102716,102938,103115,103221,103315,103420,103504,103537,103558,103620,103653,103759,103843
19,MW5966-0,095042,101619,101959,102149,102505,102800,102938,103115,103232,103609,103704,104221,104315,104421,104537,104631,104725,104947,105042,105219,105324,105408,105545,105650,105943,110110,110404,110509,110615,110710,110804,110858,110931,110942,111036,111109,111214,111308
20,MW5853-1,095232,100643,100830,101020,101303,101546,101735,101926,102043,102327,102454,103032,103137,103253,103431,103537,103642,103843,104000,104149,104243,104326,104432,104558,104947,105208,105440,105545,105650,105722,105838,105932,105954,110016,110110,110132,110309,110353
21,MZ4228-1,095432,095547,095725,095926,100127,100527,100715,100853,101147,101502,101641,102200,102316,102433,102633,102727,102844,103115,103221,103326,103453,103547,103704,103843,104127,104337,104504,104558,104725,104747,104904,104958,105042,105103,105157,105219,105346,105440
22,MZ3559-1,102822,103010,103221,103453,103704,103949,104210,104348,104558,104830,104936,105440,105534,105639,105755,105900,105954,110226,110331,110509,110626,110710,110731,110837,111203,111353,111615,111720,111815,111858,112015,112109,112131,112153,112248,112321,112415,112448
23,MX1067-0,104359,104515,104747,104947,105052,105335,105440,105534,105700,105900,110016,110520,110626,110731,110847,110952,111109,111415,111520,111636,111742,111825,112003,112120,112437,112626,112837,112942,113057,113130,113235,113308,113330,113342,113448,113510,113616,113700
24,MZ3556-1,105136,105335,105512,105755,110016,110331,110437,110531,110721,110931,111203,111731,111825,111952,112131,112248,112353,112553,112659,112826,113047,113130,113308,113437,113805,113911,114100,114206,114345,114452,114610,114653,114749,114832,114927,115000,115117,115236
25,MX1084-0,,110626,110847,111131,111246,111520,111742,111909,112036,112332,112648,113319,113426,113553,113805,113911,114039,114239,114356,114526,114726,114832,115000,115128,115427,115640,115851,115934,120052,120136,120252,120335,120408,120440,120524,120546,120725,120748
26,MX1197-1,111342,111459,111709,111909,112120,112521,112742,112847,113047,113330,113510,114039,114155,114250,114419,114503,114559,114811,114916,115055,115150,115214,115342,115449,115807,120030,120230,120335,120429,120502,120631,120725,120748,120810,120905,120927,121044,121138
27,MW5936-1,112120,112332,112604,112837,113003,113404,113542,113711,113933,114228,114334,114916,115023,115150,115331,115438,115533,115734,115840,115945,120052,120136,120302,120408,120725,120927,121054,121149,121317,121349,121505,121538,121633,121705,121749,121811,121927,121959
