,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070132,070603,070816,071007,071051,071207,071251,071335,071419,071513,071629,071841,071936,072020
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070256,070350,070435,070519,071051,071251,071451,071546,071640,071725,071830,071925,072020,072053,072158,072655,072909,073016,073154,073301,073345,073429,073524,073630,073758,073937,074043,074127
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070256,070435,070552,070838,070945,071029,071113,071218,071302,071713,071914,072053,072220,072303,072409,072516,072611,072728,072814,072920,073418,073725,073853,074043,074149,074403,074458,074614,074753,074826,075004,075121,075237
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070106,070146,070223,070424,070508,070541,070625,070647,070709,070827,071156,,,071546,071725,071819,072042,,072739,,,,,,,,,,074815,075015,075121,075215,075321,075511,075533,075640,075736,075915,080425,080734,080903,081042,081138,081234,081459,,,081901,082301,082323,082501
4,MS1935-0,,,,,,,,,,,,,070106,070146,070530,070709,070803,070945,071018,071156,071240,071419,071640,071914,071958,072220,072358,072442,072644,072728,072825,072909,072932,073005,073122,073502,073652,073904,074010,074105,074200,074328,074447,074804,075048,075154,075449,075544,075640,075725,075820,075926,080425,080658,080903,081020,081149,081245,081425,081531,081710,,081955,082512,082809,083126,083255,083423,083647,083931,084048,084227,084311,084522,084734,085018
5,MW3053-0,070106,070307,070530,070731,070901,071145,071240,071408,071513,071546,071702,071746,071936,072242,072622,072728,072814,072909,072954,073111,073143,073334,073545,073747,073831,074021,074149,074255,074436,074531,074614,074742,074815,074837,075004,075321,075522,075758,075853,080011,080044,080223,080341,081115,081352,081531,081901,082039,082217,082323,082440,082523,083010,083244,083456,083614,083742,083837,084026,084143,084300,084405,084555,085102,085357,085557,085758,085926,090116,090403,090508,090627,090756,091053,091231,091432
6,MS2365-0,,072020,072252,072526,072644,072943,073038,073143,073334,073407,073556,073641,073809,074138,074531,074658,074742,074848,075026,075121,075154,075332,075533,075747,075831,080033,080150,080234,080509,080553,080637,080745,080830,080914,081031,081414,081710,081839,081944,082100,082155,082323,082429,082546,082831,082926,083244,083401,083434,083517,083625,083709,084416,084628,084807,084934,085051,085145,085313,085430,085608,085726,085904,090403,090638,090914,091053,091220,091348,091549,091655,091811,091939,092204,092342,092521
7,MW2390-1,073842,074222,074520,074804,075037,075416,075702,075820,080106,080150,080351,080436,080553,080914,081256,081414,081459,081553,081626,081806,081839,082028,082250,082450,082546,082736,082926,083021,083138,083255,083401,083539,083625,083647,083815,084121,084354,084522,084606,084723,084807,084956,085051,085419,085608,085714,085948,090054,090222,090306,090414,090446,090925,091209,091410,091549,091655,091800,091917,092025,092142,092225,092415,092903,093126,093316,093422,093550,093646,093825,093931,094048,094215,094354,094544,094701
8,MW2856-0,,075607,075809,080106,080330,080625,080830,080925,081042,081138,081308,081403,081521,081850,082239,082418,082450,082619,082736,082904,082948,083233,083423,083647,083804,083953,084132,084216,084427,084522,084745,084945,085007,085040,085145,085536,085714,085915,090010,090116,090200,090339,090435,090745,090925,091042,091326,091443,091622,091855,092025,092109,092710,092947,093148,093327,093422,093506,093624,093741,093836,093931,094121,094639,094937,095210,095401,095507,095636,095756,095851,095956,100124,100325,100453,100927
9,MW2780-1,,083042,083401,083603,083815,084048,084343,084544,084712,084807,085007,085113,085218,085608,085948,090116,090211,090339,090435,090616,090700,090903,091136,091337,091432,091633,091749,091822,092003,092047,092153,092225,092247,092426,092616,092947,093115,093232,093349,093506,093539,093730,093847,094015,094248,094438,094756,094904,095053,095159,095306,095401,095902,100158,100358,100515,100620,100748,100916,101022,101138,101244,101401,101858,102142,102355,102511,102701,102831,102948,103054,103222,103412,103723,103924,104208
