,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MX1722-0,,,,,,,,,,,,,,,,,,,,,,,070110,070343,070616,070826,070920,071004,071109,071226,071320,071425,071531,071730,071846,071953
1,MX4068-0,,,,,,,,,070110,070205,070238,070311,070710,070910,071109,071226,071404,071458,071625,071720,071825,071920,072037,072520,072742,072910,073027,073216,073322,073438,073605,073736,073925,074230,074419,075043
2,MX1545-0,070815,070953,071058,071215,071425,071552,071846,072004,072142,072404,072458,072542,073038,073300,073500,073628,073736,073852,074041,074146,074324,074419,074610,075159,075444,075623,075801,075939,080057,080318,080425,080646,081320,081647,081804,082311
3,MS2365-0,072658,072742,072837,072932,073144,073322,073605,073722,073831,073925,074008,074052,074526,074715,074916,075043,075211,075306,075506,075623,075812,075950,080202,080719,081026,081153,081247,081425,081530,081731,081826,081932,082111,082511,082649,082935
4,MX1582-0,074715,074832,074916,075021,075222,075411,075707,075801,075834,075928,080013,080046,080552,080815,081037,081225,081447,081603,081731,081837,082016,082111,082311,082755,083041,083317,083445,083635,083921,084101,084218,084313,084526,084857,085037,085458
5,MX1614-0,080057,081026,081120,081258,081447,081552,081954,082111,082227,082311,082406,082449,083052,083317,083540,083719,083836,084006,084145,084313,084504,084548,084715,085215,085447,085803,090058,090203,090309,090342,090458,090835,090942,091226,091404,091552
6,MX1698-0,,,082700,082744,082935,083317,083647,083814,084017,084251,084357,084453,085331,085658,085857,090014,090214,090309,090436,090541,090646,090740,090921,091415,091657,092004,092141,092258,092404,092521,092659,092806,092934,093156,093345,093502
7,MX1708-0,082935,084101,084145,084313,084526,084811,085121,085215,085425,085520,085603,085647,090258,090508,090708,090824,091015,091109,091236,091342,091447,091552,091752,092237,092521,092637,092839,092923,093101,093313,093440,093534,093640,093819,093935,094124
8,MX1722-1,090552,090635,090719,090803,090931,091047,091320,091426,091614,091730,091825,091857,092437,092659,092923,093101,093240,093324,093451,093607,093746,093852,094008,094502,094723,095040,095207,095344,095500,095638,095743,095859,100027,100215,100353,100510
9,MS5082-0,090602,090657,090751,090921,091058,091204,,091531,091636,091730,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MX4068-1,,092426,092605,092648,092923,093039,093302,093418,093618,093830,093935,094008,094451,094734,095018,095123,095312,095417,095543,095638,095733,095837,095942,100459,100743,100956,101113,101250,101428,101711,101922,102102,102240,102513,102702,102819
