,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4856-0,,,,,,,,,,,1,-1,-1,-1,-1,-1,-1,-1
1,MW5594-0,,,,,,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
2,MW4366-0,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
3,MW5084-0,1,-1,-1,3,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,MW4619-0,,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
5,MW4647-0,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
6,MW4781-0,1,,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,MW4856-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,-1
8,MW5594-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
9,MW4366-1,-1,-1,1,1,1,2,2,1,1,1,1,-1,1,1,1,-1,-1,-1
10,MW5084-1,,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1
11,MW4647-1,1,1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1
12,MW4781-1,1,1,1,1,-1,-1,1,1,-1,1,1,,1,1,1,-1,-1,-1
13,MW4856-2,1,1,1,1,-1,-1,1,3,-1,-1,-1,-1,-1,1,1,-1,-1,-1
14,MW5594-2,1,1,1,1,1,-1,1,1,-1,-1,-1,-1,3,1,1,-1,-1,-1
15,MW4366-2,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1
16,MW5132-0,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1
17,MW5084-2,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1
18,MW4647-2,1,1,1,1,1,-1,1,1,-1,-1,1,2,-1,1,1,-1,-1,-1
19,MW4856-3,1,,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1
20,MW5594-3,,,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1
21,MW4366-3,1,1,1,1,-1,-1,1,1,1,1,1,2,-1,1,1,-1,-1,-1
22,MW5084-3,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1
23,MW4647-3,2,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
24,MW4781-2,1,1,1,1,-1,-1,1,1,1,1,1,2,-1,1,1,-1,-1,-1
25,MW4856-4,1,,1,1,-1,1,1,1,1,,1,-1,1,1,1,-1,-1,-1
26,MW5594-4,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1
27,MW4366-4,1,1,1,1,-1,-1,1,1,1,1,1,2,-1,1,1,-1,-1,-1
28,MW5084-4,3,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1
29,MW4781-3,1,,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
30,MW4856-5,1,,,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1
31,MW4619-1,,,,,,,,,,1,1,1,-1,1,1,-1,-1,-1
32,MW5594-5,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
33,MW4229-0,3,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
34,MW4366-5,1,1,1,1,-1,2,1,1,1,1,1,1,-1,1,1,-1,-1,-1
35,MW4781-4,4,,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,-1
36,MW4619-2,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
37,MW4856-6,3,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1
38,MW5594-6,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1
39,MW4366-6,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,-1,-1
40,MW4781-5,1,,,1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1
41,MW4619-3,2,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1
42,MW4856-7,1,1,1,-1,1,1,1,1,-1,,-1,-1,1,-1,-1,-1,-1,-1
43,MW4366-7,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
44,MW5084-5,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1
45,MW4781-6,-1,-1,,1,-1,-1,-1,-1,1,,1,-1,-1,1,-1,-1,-1,-1
46,MW4619-4,,,,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1
47,MW4856-8,,,,,-1,1,-1,-1,-1,-1,,,,,,,,
