,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
23,MZ3987-2,103551,103709,103850,103912,103945,104028,104050,104134,104206,104333,104428,104512,,104755,105111,105321,105553,105626,105803,110058,110203,110247,110353,110521,110648,110710,111207,111418,111556,111828,111945,112208,112325,112536,112725,112820,113408
24,MZ4072-2,104533,104755,104901,104933,104955,105017,105038,105111,105143,105259,105404,105448,105720,105920,110203,110247,110510,110604,110710,110901,110956,111050,111218,111334,111439,111523,111945,112230,112336,112704,112809,113020,113147,113430,113536,113758,114411
25,MW5943-0,,105858,110003,110036,110109,110203,110225,110308,110341,110448,110553,110637,110827,110945,111239,111356,111629,111723,111839,112114,112208,112303,112420,112547,112704,112736,113231,113452,113642,113947,114147,114527,114716,114948,115125,115254,115800
26,MZ4228-2,110553,110648,110743,110816,110838,110923,110945,111018,111050,111207,111250,111345,111545,111723,112052,112314,112547,112620,112725,113042,113136,113241,113347,113514,113620,113653,114125,114505,114705,115020,115158,115421,115738,120002,120152,120308,120751
27,MP5834-0,111523,111629,111755,111839,111912,111945,112008,112041,112114,112208,112252,112347,112547,112631,112936,113042,113147,113314,113441,113715,113820,113915,114031,114158,114314,114358,114843,115125,115305,115655,115800,120024,120225,120436,120603,120708,121048
28,MW5853-2,112241,112547,112704,112736,112758,112903,112925,113031,113103,113220,113314,113408,113653,113809,114136,114336,114610,114705,114915,115158,115243,115337,115539,115655,115800,115844,120319,120552,120740,120953,121120,121353,121520,121931,122025,122130,122648
29,MW5966-0,113430,113547,113726,113758,113820,113853,113915,113947,114020,114158,114303,114421,114538,114726,115031,115136,115348,115444,115644,115833,115950,120119,120257,120457,120624,120657,121120,121404,121931,123758,124032,124254,124445,124718,124825,124920,125355
30,MW5936-0,113452,115906,120035,120108,120141,120236,120257,120403,120457,120635,120740,120848,121026,121204,121520,121720,121952,122058,122257,122542,122659,122815,123018,123241,123441,123535,124010,124518,124803,125619,125746,125904,130220,130442,130559,130654,131212
31,MZ3559-2,114748,114915,115031,115125,115147,115254,115316,115348,115421,115539,115644,115749,115939,120141,120447,120614,120848,121004,121120,121404,121509,121615,121836,122014,122141,122225,122648,123157,124138,124814,124943,125101,125344,125757,125926,130158,130716
32,MZ3556-2,115432,120859,121026,121059,121120,121226,121309,121404,121458,121636,121730,121836,122047,122214,122542,122659,122912,123029,123208,123441,123546,123642,123820,124021,124138,124221,124708,125112,125406,130136,130303,130453,130643,130949,131105,131138,131510
33,MX1084-0,121941,122014,122130,122203,122225,122319,122341,122425,122447,122553,122637,122732,123007,123124,123336,123419,123642,123736,123915,124221,124305,124402,124540,124708,124825,124920,125355,125736,130114,130643,130810,131055,131256,131521,131638,131850,132301
34,MW5898-1,123146,123157,123408,123441,123514,123620,123715,123831,123915,124127,124232,124338,124551,124740,125101,125301,125524,125629,125819,130147,130314,130409,130559,130727,130843,130927,131412,131805,132007,132555,132722,132914,133231,165446,165603,165826,170215
35,MZ3734-2,124010,124054,124221,124254,124316,124338,124402,124456,124602,124718,124814,124858,124954,125134,125355,125451,125546,125640,125830,130147,130241,130335,130453,130621,130810,130843,131318,131604,131754,132145,132301,132501,132628,133031,133136,133336,133947
36,MW5964-2,130526,130610,130748,130810,130832,130927,130949,131022,131055,131223,131329,131521,131710,131805,132123,132250,132501,132606,132733,132947,133031,133136,133325,133452,133558,133642,134147,134504,134653,135149,135327,135517,135814,140119,140246,140427,141058
37,MZ3956-2,131827,131956,132123,132145,132206,132312,132333,132407,132439,132555,132700,132807,133020,133114,133514,133610,133820,133915,134115,134358,134442,134537,134642,134832,135021,135054,135528,135730,135908,140152,140257,140521,140604,140921,141109,141227,142007
38,MZ3978-2,132925,133147,133325,133441,133503,133536,133558,133631,133704,133809,133853,133947,134231,134325,134642,134853,135138,135233,135423,135708,135825,135919,140119,140236,140405,140416,140931,141203,141405,141912,142028,142144,142311,142638,142806,142901,143533
39,MW5943-1,,134242,134409,134504,134526,134609,134631,134726,134758,134937,135105,135305,135517,135614,135952,140203,140427,140532,140648,141026,141131,141248,141427,141615,141815,141923,142406,142628,142806,143039,143238,143544,143735,143946,144113,144302,144920
40,MZ3987-3,134821,134937,135116,135149,135211,135244,135305,135401,135445,135624,135741,135858,140152,140319,140710,140921,141153,141227,141416,141648,141732,141826,141945,142123,142300,142311,142755,143028,143228,143713,143829,143956,144156,144542,144636,144721,145111
41,MZ4072-3,135836,140003,140130,140225,140236,140341,140405,140448,140543,140732,140815,141015,141248,141448,141753,141850,142112,142155,142406,142638,142722,142828,143028,143206,143333,143439,143902,144302,144456,144837,145004,145154,145438,145648,145754,150008,150517
42,MW5966-1,141004,141037,141203,141259,141321,141343,141416,141448,141521,141637,141720,141815,142028,142123,142449,142617,142850,142955,143111,143417,143522,143606,143735,143902,144029,144124,144542,144920,145100,145322,145449,145605,145710,150008,150114,150241,150717
43,MZ4228-3,141804,141901,142028,142101,142123,142155,142217,142311,142355,142501,142606,142733,142944,143133,143428,143533,143756,143913,144029,144302,144357,144445,144636,144815,144954,145026,145500,145721,150114,150644,150749,151015,151154,151416,151521,151710,152120
