,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070145,070240,070748,070949,071139,071255,071422,071455,071528,071624,071743,071838,072006,072156,072251
1,MW5645-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070134,070240,070312,070513,070640,071339,071528,071708,072050,072207,072357,072514,072558,072642,073128,073331,073532,073638,073754,073900,074016,074122,074217,074301,074417,074936,075159,075327,075539,075635,075719,075816,075911,080028,080145,080325,080409,080454
2,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070356,,,,,,070109,,,,,,,,,,,,,,,,,,,,,071350,071455,071550,071719,071816,071911,072006,072112,072631,072905,073118,073202,073320,073352,073458,073554,073649,073744,073911,073944,074027
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070109,070156,070407,070451,070524,070640,070724,070748,070905,071200,071306,071539,071635,071754,071827,071933,072101,072357,072558,072715,,,,,073352,073425,073838,074100,074239,074323,074428,074534,074651,074756,074903,074936,075042,075528,075732,075900,075944,080123,080219,080314,080347,080431,080538,080706,080750,080909
4,MS2259-0,,,,,,,,,,,,,,070109,070302,070440,070618,070629,070713,,070832,071055,071200,071401,071433,071613,071743,071827,071955,072028,072101,072145,072218,072240,072335,072620,,072927,072938,073056,073128,073352,073448,074217,074323,,074651,074745,074819,074914,074947,075020,075433,075635,075816,075921,080017,080101,080230,080314,080409,080505,080611,081050,081324,081536,081716,081750,081856,081951,082036,082142,082226,082406,082522,082628
5,MW3430-0,070109,070251,070418,070607,070916,071222,071433,071517,071613,071646,071849,071944,072123,072525,072938,073056,073150,073309,073425,073605,073649,073827,074039,074301,074355,074618,074745,074852,075042,075126,075221,075349,075411,075455,075603,075932,080112,080314,080409,080527,080611,080814,080931,081302,081419,081558,081918,082036,082226,082333,082428,082522,083030,083316,083506,083625,083733,083818,084009,084053,084200,084244,084351,084924,085233,085412,085540,085647,085732,085839,085945,090051,090157,090403,090531,090625
6,MW2856-0,071539,071754,071827,072006,072145,072346,072536,072620,072737,072811,072927,073011,073118,073437,073816,073933,074006,074122,074155,074301,074333,074501,074713,074936,075020,075159,075243,075327,075433,075517,075550,075732,075805,075827,075921,080208,080325,080527,080611,080728,080825,081004,081101,082131,082321,082500,082755,082902,083019,083125,083210,083243,083733,083936,084105,084200,084255,084351,084509,084604,084659,084745,084851,085339,085551,085709,085828,085956,090135,090232,090328,090413,090509,090603,090710,090818
7,MW3053-0,,073458,073711,073911,074228,074450,074607,074702,074756,074852,075104,075137,075243,075614,080006,080123,080208,080314,080347,080527,080549,080717,080920,081123,081207,081357,081525,081621,081739,081812,081856,081940,082025,082047,082153,082439,082555,082733,082840,082957,083030,083210,083316,083745,084009,084105,084436,084531,084615,084734,084829,084902,085445,085658,085850,085945,090051,090146,090305,090339,090435,090531,090659,091146,091430,091641,091820,091937,092115,092210,092254,092402,092520,092829,093030,093125
8,MW2390-1,074936,075147,075422,075603,075635,075805,075921,080006,080101,080157,080303,080347,080409,080728,081111,081229,081302,081441,081525,081632,081705,081823,081951,082226,082310,082500,082617,082700,082807,082851,082914,082957,083030,083104,083159,083517,083720,083925,084031,084149,084222,084340,084447,084553,084756,084840,085103,085210,085412,085518,085602,085636,090146,090339,090531,090637,090732,090818,090923,091029,091124,091146,091314,091758,092031,092243,092413,092458,092605,092711,092755,092902,092946,093147,093338,093455
9,MW3496-1,,080847,081026,081218,081408,081547,081728,081823,082003,082047,082226,082355,082449,082744,083136,083316,083400,083517,083603,083720,083756,083947,084138,084328,084425,084615,084734,084840,085030,085103,085136,085221,085244,085306,085412,085647,085744,085923,090029,090146,090219,090350,090447,090659,090829,091018,091241,091325,091430,091514,091557,091630,092053,092328,092509,092615,092722,092829,092924,093030,093125,093147,093255,093805,094051,094306,094553,094659,094806,094923,095018,095102,095157,095421,095505,095549
