,Bus,C659,C656,C654,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,070105,070613,070835,071118,071257,071403,071457,071541,071658,071741,071836,072058,072203,072340
1,MX1624-0,,,,,,,,,070105,070212,070307,070352,070824,071035,071213,071329,071447,071552,071719,071752,071847,071930,072047,072613,072846,073108,073213,073321,073354,073437,073542,073648,073815,074035,074140,074255
2,MW5645-0,070105,071308,071403,071457,071636,071752,072036,072141,072329,072435,072508,072540,073035,073310,073520,073637,073731,073836,074025,074119,074223,074317,074444,074916,075159,075430,075524,075650,075838,075932,080110,080215,080330,080521,080637,080742
3,MX4305-0,,072814,072857,072952,073140,073213,073553,073659,073815,073920,074003,074057,074517,074705,074843,074927,075032,075115,075220,075325,075358,075452,075607,080027,080247,080500,080554,080721,080815,080920,081057,081203,081319,081414,081509,081637
4,MX1698-0,074633,074821,074938,075021,075220,075409,075723,075817,080016,080110,080204,080258,080742,081014,081224,081330,081520,081637,081825,081909,082003,082058,082214,082709,082952,083129,083330,083436,083658,083825,084003,084057,084246,084414,084508,084729
5,MX4310-0,080142,080616,080721,080826,081014,081119,081436,081553,081647,081859,082014,082058,082731,083003,083214,083330,083447,083530,083709,083804,083909,084014,084152,084657,084952,085226,085354,085449,085533,085931,090038,090204,090258,090521,090700,090827
6,MX1545-0,,082153,082258,082414,082731,082803,083129,083236,083425,083530,083615,083720,084235,084457,084708,084836,085003,085108,085248,085354,085500,085605,085710,090215,090510,090700,090805,090910,091047,091224,091329,091446,091602,091802,091928,092046
7,MX1614-0,083530,084025,084141,084307,084519,084646,084952,085108,085226,085321,085427,085511,091203,091435,091719,091856,092013,092118,092255,092422,092537,092621,092758,093301,093554,093752,093951,094108,094257,094425,094552,094719,094846,095045,095236,095353
8,MS1953-1,084803,085343,085438,085522,085721,085815,090048,090143,090226,090459,090554,090638,091824,092057,092306,092433,092631,092736,092852,092935,093102,093155,093322,093825,094057,094224,094341,094447,094541,094730,094835,094929,095023,095236,095436,095542
9,MX1624-1,091550,091730,091824,091907,092046,092150,092454,092610,092819,092935,093019,093102,093543,093846,094035,094224,094318,094447,094603,094708,094802,094857,095034,095605,095848,100016,100215,100404,100603,100730,100847,101003,101141,101414,101603,101730
