,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070133,070218,070347,070835,071037,071245,071341,071446,071540,071613,071719,071825,071920,072036,072120,072247
1,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070133,070314,070409,070453,070526,071004,071217,071402,071508,071624,071708,071825,071931,072015,072109,072208,072659,072934,073112,073219,073335,073514,073557,073652,073809,073914,074053,074222,074306
2,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070206,070846,071048,071234,071530,071646,071803,071858,071953,072036,072452,072659,072839,072956,073050,073156,073324,073419,073514,073557,073652,074147,074436,074658,074825,074932,075027,075111,075205,075301,075355,075646,075803,075858
3,MS2259-0,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070155,070240,070358,070442,070515,070632,070654,070727,070846,071204,,071551,071646,071803,071847,071953,072058,072520,072744,072755,073101,073219,073441,073652,073809,073842,,074625,074815,074922,075049,075143,,075417,075550,075646,075752,080300,080613,080803,080826,081133,081219,081442,081614,081743,081902,082054,082138,082323
4,MW3430-0,,,,,,,,,,,,,,070107,070420,070548,070621,070727,070846,071026,071059,071245,071457,071708,071803,072004,072142,072247,072426,072505,072604,072659,072733,072806,072923,073241,073430,073703,073747,073842,073947,,,,074900,074954,075301,075417,075613,075708,075803,075836,080406,080646,080859,080954,081110,081208,081325,081431,081603,081636,081807,082312,082631,082830,083030,083136,083317,083434,083539,083635,083741,084003,084206,084251
5,MW2856-0,,070107,070122,070251,070336,070515,070537,070643,070802,070835,071026,071110,071143,071435,071814,071920,071953,072058,072131,072258,072320,072437,072626,072828,072923,073112,073230,073324,073535,073608,073641,073736,073758,073831,073925,074158,074339,074519,074615,074731,074815,074922,075016,075814,075942,080026,080333,080440,080613,080708,080752,080837,081314,081515,081720,081829,081924,082020,082116,082215,082301,082345,082503,082936,083211,083445,083550,083741,083847,083942,084100,084155,084324,084514,084620,084811
6,MW3053-0,,072153,072353,072531,072755,073156,073335,073441,073557,073641,073903,073936,074042,074414,074804,074911,074932,075049,075132,075301,075355,075518,075741,075953,080037,080216,080344,080428,080540,080624,080656,080752,080826,080848,081005,081241,081442,081636,081743,081902,081935,082116,082227,082419,082547,082736,083030,083136,083222,083506,083602,083646,084133,084408,084609,084749,084906,084949,085117,085203,085322,085406,085544,090028,090303,090536,090715,090833,091000,091128,091228,091323,091450,091640,091840,091957
7,MW3528-0,073313,075602,075708,075847,080110,080406,080540,080708,080910,081005,081155,081252,081409,081743,082149,082312,082356,082536,082631,082747,082830,083041,083306,083528,083624,083836,084003,084049,084251,084335,084408,084536,084609,084632,084800,085128,085237,085511,085555,085700,085744,085912,090039,090558,090811,090950,091323,091450,091618,091734,091829,091912,092442,092802,093014,093141,093311,093428,093618,093723,093924,093957,094220,094727,095044,095350,095539,095708,095804,095931,100038,100206,100324,100526,100704,100917
8,MW2390-1,,074519,074636,074815,075038,075322,075429,075528,075741,075814,075953,080059,080227,080529,080859,081027,081100,081219,081314,081431,081515,081647,081851,082054,082149,082312,082430,082525,082631,082714,082758,082936,082958,083030,083136,083422,083528,083646,083752,083909,083952,084111,084206,084906,085044,085237,085544,085649,085817,085912,090017,090050,090514,090715,090844,091000,091055,091139,091301,091355,091512,091607,091734,092146,092409,092642,092802,092919,093014,093108,093203,093322,093428,093544,093629,093734
9,MS5097-1,,081110,081314,081453,081720,082009,082031,082138,082249,082334,082452,082536,082631,082936,083339,083445,083517,083646,083719,083847,083931,084111,084335,084536,084620,084800,084928,085000,085150,085237,085311,085355,085428,085449,085606,085839,090017,090155,090303,090358,090431,090547,090917,091044,091301,091450,091850,091935,092029,092124,092207,092242,092750,092941,093108,093203,093322,093428,093640,093734,093902,094030,094231,094738,095044,095350,095539,095708,095804,095942,100049,100206,100335,100632,100653,100822
10,MW2780-1,082947,083019,083222,083445,083730,084038,084302,084346,084525,084620,084738,084833,085022,085344,085733,085839,085923,090028,090123,090325,090420,090558,090738,090950,091022,091228,091345,091417,091618,091702,091745,091818,091850,092018,092124,092358,092504,092728,092813,092930,093003,093130,093249,093640,093818,093946,094242,094337,094537,094643,094738,094811,095350,095603,095742,095920,100027,100144,100335,100442,100621,100715,100833,101348,101614,101803,101931,102025,102227,102406,102522,102700,102828,103101,103314,103431
11,MS2259-1,,085033,085226,085500,085733,090039,090231,090452,,,,090950,091117,091501,091840,091945,092040,,,,092537,,092941,093130,093203,093449,093533,093629,093851,093935,094019,094135,094146,094220,094315,094559,094716,,095054,095200,095222,095350,095456,095942,100111,100313,100632,100749,100822,101044,101150,101231,101931,102142,102355,102522,102649,102806,103006,103111,103241,103325,103515,104013,104345,104713,104902,105114,105241,105430,105620,105809,110010,110403,110531,110753
