,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7492-0,,,,,,,,,,,,,,,,,070107,070257
1,AA7323-0,,,,,,,,,,,070107,070857,071107,071246,071351,071445,071602,072003
2,AA7536-0,,,,,,,,,070107,,070718,071635,071751,071918,072024,072108,072202,072414
3,AA7637-0,070107,,070257,070351,070508,070541,070613,070707,070751,071330,071445,072508,072613,072718,072824,072929,073045,073308
4,AA7440-0,072329,,072824,073002,073139,073224,073308,073426,073510,,074530,075740,080035,080235,080352,080520,080709,081130
5,AA7322-0,,,,,,,,,,072529,072739,073849,074037,074236,074342,074457,074603,074952
6,AA7173-0,073319,073510,073827,074015,074142,074225,074320,074436,074530,075047,075235,080436,080636,080836,080952,081058,081214,081647
7,AA6952-0,074331,,075025,075225,075403,075446,075540,075708,075802,080414,080825,082037,082310,082544,082649,082755,082922,083500
8,AA7488-0,075319,075719,080035,080235,080341,080425,080553,080742,080847,081436,081803,082839,083111,083322,083428,083606,083755,084437
9,AA7149-0,080458,,081141,081236,081414,081447,081614,081803,081836,082416,082700,083827,084059,084237,084426,084521,084626,085142
10,AA7101-0,081825,082026,082343,082500,082617,082711,082828,083006,083101,083711,083932,085121,085404,085603,085720,085826,085942,090541
11,AA7492-1,,082805,083428,083628,083755,083838,084038,084237,084343,,085425,090541,090940,091107,,091329,091707,092046
12,AA7323-1,083932,084121,084437,084626,084731,084826,084921,085121,085204,085826,090110,091246,091518,091718,091834,091939,092046,092623
13,AA7248-0,084553,,085110,085226,085404,085458,085615,085709,085742,090258,090425,091613,091856,092046,092202,092257,092656,092908
14,AA7637-1,090530,090741,091046,091235,091340,091413,091507,091613,091646,092224,092424,093854,094136,094303,094419,094503,094629,095029
15,AA7536-1,,,,,,,,,090813,091718,091950,,093339,093549,093654,093759,093904,094136
16,AA7322-1,091235,091507,091813,091845,091950,092035,092213,092308,092351,093002,093339,094336,094640,094756,094935,095029,095124,095534
17,AA7530-0,091950,092329,092739,092919,093035,093140,093307,093412,093455,094503,095008,100133,100428,100628,100744,100900,101050,101626
18,AA7440-1,093056,093223,093644,093854,094020,094053,094303,094419,094503,095301,095534,100806,101111,101354,101520,101636,101803,102236
19,AA7173-1,093904,094031,094441,094618,094745,094841,094935,095029,095113,095849,100050,101300,101553,101731,101836,101942,102048,102426
20,AA7706-0,094756,095954,101742,101953,102058,102131,102247,102403,102510,103322,103826,105036,105330,105530,105635,105740,105856,110519
21,AA6952-1,094808,095228,095439,095544,095649,095755,095900,100039,100144,100755,101111,102258,,102723,102901,102956,103144,103638
22,AA7488-1,095617,100133,100512,100701,100817,100900,101006,101100,101155,101931,102352,103554,103847,104047,104152,104247,104341,104857
23,AA7149-1,101858,102142,102415,102531,102651,102723,102912,103006,103101,103920,104320,105352,105646,105845,110003,110046,110214,110753
24,AA7492-2,102713,,103250,103438,103605,103648,103858,104004,104109,,105214,110731,111004,111152,111258,111352,111541,112049
25,AA7101-1,,103815,104058,104236,104341,104447,104646,104752,104836,105614,105824,111519,111804,111953,112059,112154,112310,112828
26,AA7323-2,104730,104930,105214,105330,105436,105508,105624,105730,105802,110330,110657,112015,112259,112405,112511,112616,112711,113123
27,AA7536-2,105740,105845,110203,110308,110424,110519,110602,110657,110753,,111657,112817,113100,113239,135917,140000,140106,140636
28,AA7637-2,110720,111109,111425,111603,111708,111742,111848,112015,112049,112700,112839,113931,114058,114227,114405,114510,114615,115258
29,AA7530-1,113449,114215,114522,114626,114743,114827,114932,115048,115153,115708,120037,121214,121518,121803,121919,122014,122423,123013
30,AA7322-2,,,,,,,,,,113953,114321,115603,115836,120120,120235,120341,120435,120858
31,AA7440-2,115614,115847,120152,120435,120623,120718,120835,120952,121035,121613,121919,123013,123412,123646,124058,124215,124320,124636
32,AA7173-2,120835,120941,121330,121528,121708,121814,121941,122224,122318,122908,123107,124309,124626,124837,125331,125458,125616,130039
33,AA6952-2,121752,122108,122456,122645,122802,,122940,123056,123151,,124120,125258,125605,,125944,130101,,130816
34,AA7488-2,123118,123444,123720,123826,124004,124047,124215,124342,124437,125058,125414,130500,130742,130911,131027,131133,131253,131547
35,AA7149-2,124426,,125015,125120,125247,125353,125509,125605,125649,130155,130406,131621,132105,132315,132421,132547,132736,133134
36,AA7492-3,125447,125638,125944,130050,130155,130239,130438,130616,130659,131156,131337,132515,132841,133051,133229,133410,133515,133936
37,AA7323-3,130816,,131409,131536,131716,131810,131854,132021,132116,132736,133008,134125,134421,134651,134757,134851,135022,135430
38,AA7637-3,133312,133526,134032,134136,134242,134315,134432,134556,134702,135713,135917,141105,141359,141622,141728,141833,141939,142414
39,AA7322-3,134348,134640,135008,135112,135242,135325,135419,135524,135557,140350,140625,141855,142141,142425,142530,142636,142732,143026
40,AA7440-3,135629,,140256,140403,140530,140625,140709,140844,141000,141644,141917,143246,143602,143845,144004,144120,144225,144654
41,AA7173-3,140658,140905,141137,141326,141443,141526,141633,141739,141823,143224,143529,144810,145105,145504,145614,145733,145901,150154
42,AA6952-3,141823,142024,142425,142636,142754,142859,143059,143235,143341,,144832,145850,150249,150545,150651,150757,150904,151342
43,AA7488-3,143015,143341,143646,143939,144047,144152,144351,144726,144832,145625,150039,151258,151631,151904,152022,152127,152256,152640
44,AA7149-3,144351,144642,144937,145116,145254,145315,145504,145636,145721,150407,150735,151926,152211,152446,152618,152724,152829,153157
45,AA7492-4,145839,150132,150512,150735,150852,151031,151054,151247,151415,152234,152546,153807,154245,154602,154729,154854,155043,155558
46,AA7323-4,151247,151703,152011,152245,152402,152500,152651,152923,153028,153818,154245,155409,155855,160128,160235,160356,160515,161159
47,AA7536-3,,,153039,153207,153302,153356,153450,153903,153948,154552,154843,160213,160321,,160904,,,161540
48,AA7637-4,153650,154011,154318,154446,154656,154755,154927,155453,155558,160112,160309,161807,162101,162748,162905,163022,163140,163815
49,AA7101-2,154854,155148,155503,155811,155938,160021,160213,160758,160853,,161912,163352,163625,164204,164345,164450,164607,164947
50,AA7440-4,155959,160213,160515,160726,160831,160958,161137,161508,161540,162241,162432,164047,164556,164914,165053,165224,165350,165744
51,AA7173-4,160936,161105,161435,161636,161828,161901,162112,162304,162337,162938,163129,164914,165212,165529,165723,165818,165945,170504
52,AA6952-4,162018,162145,162548,162748,162938,163033,163236,163414,163447,164109,164450,170431,,170746,171041,171208,171349,171838
53,AA7322-4,162715,163011,163309,163520,163636,163731,163859,164015,164058,164534,164819,170229,170714,171114,171305,171421,171548,171859
54,AA7488-4,163403,163603,163848,164036,164142,164218,164345,164501,164556,165256,165551,170831,171114,171432,171623,171732,171859,172356
55,AA7149-4,164334,,164914,165020,165137,165256,165457,165625,165723,170229,170420,171743,172038,172715,172850,173017,173134,173829
56,AA7706-1,,171316,171526,171647,171816,171910,172049,172205,172301,172839,173344,174614,174922,175331,175436,175614,175730,180225
57,AA7492-5,171515,171721,172100,172227,172417,172501,172606,172728,172817,173511,173913,175215,175509,175835,180025,180203,180247,180831
58,AA6979-0,172205,172312,172617,172839,172956,173028,173250,173438,173543,174329,174647,180142,180448,180807,180948,181106,181246,181936
59,AA7323-5,173701,,174329,174509,174636,174732,174838,174954,175059,175929,180426,181925,182351,182828,182944,183039,183146,183651
60,AA7536-4,174614,,175143,175353,175509,175603,175658,175919,180025,180904,181150,183314,183524,183946,184114,184303,184411,185223
61,AA7248-1,175803,180142,180426,180650,180820,180915,181106,181330,181425,,182637,184516,184854,185317,185422,185600,185716,190516
62,AA7440-5,180320,180639,180915,181054,181257,181352,181615,181709,181817,182604,182743,184949,185234,185611,185727,185854,190032,190559
63,AA7637-5,181403,181636,181936,182117,182235,182329,182447,182743,182828,183630,183851,190115,190410,190632,190738,190908,191045,191403
64,AA7101-3,182022,182447,,,,,,,,,,,,,,,,
