,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA6952-0,080628,100043,081227,081448,081553,100443,081825,081920,082004,082521,082721,102903,084111,084343,070110,070155,070239,103723
1,AA7488-0,,,,,,,,,,,070110,070831,070936,071052,071209,071305,071359,071631
2,AA7440-0,,,,,,,,,070110,070333,070605,071504,071609,071653,071757,071841,071945,072239
3,AA7322-0,070110,070134,070406,070554,070710,070759,070915,070958,071052,071515,071736,072658,072732,072910,073026,073121,073216,073531
4,AA7101-0,071103,071243,071515,071631,071808,071841,072018,072112,072217,072720,072849,074016,074100,074216,074333,074416,074533,074830
5,AA7536-0,072250,072301,072709,072816,072932,073015,073132,073226,073320,073816,074100,075103,075356,075512,075618,075712,075807,080323
6,AA7706-0,073436,073636,073859,074016,074133,074205,074343,074449,074522,074935,075146,080040,080156,080302,080406,080450,080555,080921
7,AA7248-0,074227,,074935,075030,,075208,075345,075450,075523,080019,080251,081144,081332,081448,081553,081636,081719,082025
8,AA7149-0,075607,,080040,080218,080334,080417,080606,080700,080754,081238,081437,082532,082755,082922,083027,083122,083313,083544
9,AA7488-1,080859,081920,082152,082225,082342,082427,082659,082755,082849,083407,083617,084806,085049,085300,085415,085459,085638,085901
10,AA7721-0,082554,082659,083111,083218,083323,083356,083534,083617,083723,084133,084439,085437,085711,085839,085944,090018,090134,090450
11,AA7530-0,082710,084638,084955,085038,085143,085216,085300,085354,085426,090007,090156,091240,091502,091629,091735,091829,091913,092156
12,AA7440-1,083701,083733,084310,084439,084544,084638,084745,084828,084901,085426,085616,090744,091018,091156,091302,091346,091513,091757
13,AA7322-1,085121,085426,085700,085817,085923,085955,090145,090218,090301,090755,090955,091913,092134,092251,092418,092525,092619,092832
14,AA7101-1,085850,090102,090355,090439,090606,090639,090839,090923,091007,091513,091651,092724,092947,093103,093208,093252,093407,093735
15,AA7536-1,090744,091051,091218,091429,091545,091618,091724,091829,091913,,093114,094217,094450,094700,094743,094850,094944,095217
