,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
0,MW2390-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070149,070658,070920,071110,071227,071333,071428,071523,071617,071733,071818,072007,072147,072253
1,MW3496-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,070436,,,,,,,,,,,,,,,,,,,,070103,,,,,,,071216,071333,071439,071534,071701,071756,071850,071945,072103,072631,072854,073054,073211,073316,073444,073550,073658,073731,073837,074059,074121,074216
2,MS5097-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070317,070447,070614,070858,070953,071143,071227,071333,071406,071818,072030,072158,072253,072347,072420,072537,072631,072748,072822,072916,073400,073635,073848,074015,074121,074227,074343,074438,074554,074711,074933,075005,075100
3,MW2780-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070200,070339,070425,070447,070541,070603,070636,070742,071037,071227,071333,071417,071534,071606,071733,071839,072136,072315,072453,072726,072832,073022,073105,073200,073232,073658,073859,074048,074216,074311,074405,074522,074616,074722,074754,074911,075408,075620,075853,080032,080137,080242,080337,080421,080515,080642,080842,081032,081127
4,MS2259-0,,,,,,,,,,,,,,070103,070222,070339,070403,,,070658,070731,070909,071132,071406,071450,071617,071733,071839,071956,072041,072125,072220,072253,072326,072431,072704,072854,,073105,,,,073116,073837,074037,,074322,074427,074616,074711,074743,074816,075314,075514,075642,075725,075820,075914,,,,080253,,080820,081043,081317,081506,081624,081731,081803,081931,082026,082049,082216,,082405
5,MW3430-0,070103,070222,070414,070603,070742,070942,071132,071238,071439,071523,071628,071723,071807,072147,072548,072715,072811,072916,073000,073127,073200,073338,073602,073826,073942,074143,074311,074416,074554,074638,074711,074754,074838,074922,075038,075346,075452,075620,075725,075853,075936,080126,080242,080620,080748,080831,081138,081233,081411,081528,081635,081719,082216,082449,082639,082744,082912,082956,083134,083240,083346,083441,083608,084147,084420,084610,084821,084915,085010,085116,085210,085400,085505,085706,085906,090033
6,MW2856-0,,,072007,072136,072326,072515,072609,072704,072748,072832,073054,073211,073400,073753,074132,074300,074322,074427,074522,074649,074722,074849,075100,075314,075408,075609,075736,075842,080053,080159,080242,080348,080432,080504,080620,080948,081116,081255,081338,081455,081528,081731,081836,082227,082427,082617,082901,083018,083217,083313,083357,083502,084041,084314,084504,084610,084726,084854,085032,085138,085244,085338,085444,085916,090150,090308,090458,090626,090816,090901,091018,091147,091316,091444,091644,091802
7,MW3053-0,073400,073433,073658,073859,074048,074311,074354,074449,074627,074711,074838,074922,075027,075408,075747,075925,080010,080126,080231,080359,080432,080620,080842,081043,081138,081328,081455,081550,081741,081836,081920,081953,082049,082110,082227,082606,082734,082945,083040,083156,083251,083451,083557,,083935,084125,084442,084559,084821,084915,084959,085032,085527,085738,085916,090045,090129,090212,090330,090425,090542,090615,090721,091158,091444,091644,091846,092025,092119,092247,092353,092458,092615,092817,093029,093125
8,MW2390-1,,075122,075217,075346,075441,075714,075809,075914,080053,080115,080304,080326,080504,080820,081233,081349,081411,081517,081624,081731,081815,081931,082154,082354,082500,082701,082828,082934,083050,083134,083206,083346,083419,083441,083546,083841,084007,084241,084336,084504,084548,084715,084821,085105,085306,085505,085833,085927,090033,090257,090403,090436,090901,091114,091305,091422,091516,091633,091802,091846,091951,092025,092130,092637,092934,093220,093420,093547,093704,093904,094021,094149,094255,094414,094615,094720
9,MW3496-1,,080831,081021,081116,081349,081517,081708,081825,081909,081931,082110,082143,082216,082555,082945,083101,083145,083313,083408,083557,083629,083735,083946,084136,084230,084409,084504,084610,084737,084810,084905,084937,085010,085043,085149,085444,085622,085844,085927,090023,090107,090223,090330,090436,090637,090849,091136,091243,091411,091516,091611,091655,092152,092353,092553,092720,092817,092901,092956,093051,093158,093230,093325,093810,094021,094200,094328,094436,094542,094709,094743,094900,094954,095100,095155,095251
