,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,070111,070145,070315,070359
1,MX4041-0,,,,,,,,,,,,,,,,,,,,,,,070111,070304,070359,070517,070612
2,MX4159-0,,,,,,,,,,,,,,,,,,,,070111,070220,070528,070717,070919,071003,071130,071225
3,MX4338-0,,,,,,,,,,,070111,070326,070421,070539,070706,070813,070952,071057,071141,071225,071403,071720,071857,072025,072130,072236,072331
4,MX4365-0,,,,,,,070111,070135,070304,070410,070612,071141,071247,071352,071508,071552,071720,071825,071908,072003,072130,072457,072635,072814,072920,073026,073121
5,MX4551-0,070111,,070124,070145,070326,070539,070623,070728,070846,071014,071225,071741,071846,072014,072130,072214,072331,072414,072457,072624,072803,073142,073315,073505,073623,073730,073814
6,MX4458-0,070111,071530,071720,071803,071930,072130,072341,072436,072635,072847,073059,073612,073706,073814,074003,074025,074141,074341,074435,074518,074656,075011,075148,075327,075517,075635,075718
7,MX4388-0,070220,070612,070908,070941,071003,071236,071319,071403,071519,071625,071835,072320,072425,072508,072613,072707,072814,072931,073015,073048,073204,073516,073655,073836,073931,074036,074109
8,MX4535-0,071941,072403,072707,072740,072814,073110,073242,073410,073600,073719,073920,074424,074540,074645,074800,074905,075054,075159,075243,075411,075602,075918,080048,080250,080355,080513,080546
9,MX3651-0,072953,073410,073655,073730,073814,074058,074203,074319,074551,074739,075148,075656,075802,075918,080026,080121,080239,080355,080429,080513,080640,081044,081150,081402,081507,081626,081721
10,MX3783-0,074130,074551,074833,074916,075000,075305,075517,075624,075751,075951,080205,080713,080820,081011,081106,081213,081351,081539,081626,081721,081848,082155,082334,082503,082609,082726,082758
11,MX4021-1,075455,,080950,081106,081202,081528,081743,081910,082027,082240,082653,083220,083315,083455,083612,083707,083906,084000,084044,084117,084302,084630,084903,085125,085232,085400,085433
12,MX4041-1,,080301,080640,080735,080831,081106,081318,081434,081636,081837,082240,082831,083020,083147,083348,083444,083656,083750,083844,084012,084201,084547,084735,084947,085114,085232,085305
13,MX4159-1,080735,081033,081256,081340,081402,081636,081816,081943,082155,082323,082653,083304,083400,083528,083717,083823,084000,084150,084218,084302,084419,084746,084914,085125,085244,085411,085454
14,MX4604-0,081351,081710,082038,082111,082207,082431,082514,082558,082747,082915,083315,083844,083949,084106,084229,084323,084536,084746,084830,084914,085052,085443,085559,085820,085927,090033,090116
15,MX4338-1,082005,082122,082514,082558,082726,082947,083126,083231,083422,083707,084117,084641,084746,084925,085041,085146,085316,085422,085516,085621,085759,090159,090351,090551,090646,090813,090846
16,MX4551-1,082038,083433,083739,083855,083939,084240,084441,084547,084735,084936,085146,085810,085916,090033,090148,090307,090446,090551,090646,090813,090930,091247,091427,091638,091755,091910,091954
17,MX4365-1,,082820,083209,083304,083400,083612,083801,083906,084055,084312,084735,085305,085411,085516,085653,085748,085916,090011,090105,090213,090351,090708,090919,091047,091215,091331,091405
18,MX4388-1,084055,084357,084703,084735,084808,085136,085349,085454,085631,085810,090159,090646,090802,090919,091036,091108,091258,091354,091427,091511,091617,091910,092048,092226,092331,092426,092458
19,MX4458-1,084808,085516,085726,085905,085949,090159,090256,090424,090602,090846,091226,091722,091827,091943,092131,092237,092426,092542,092626,092720,092847,093217,093356,093512,,093756,093839
20,MX4535-1,090402,090635,091003,091108,091202,091500,091638,091733,091910,092037,092447,093037,093142,093301,093450,093534,093723,093828,093912,094049,094154,094503,094702,094935,095040,095145,095230
21,MX4383-0,090835,091258,091627,091711,091755,092110,092309,092415,092542,092709,093048,093534,093639,093817,093944,094049,094218,094358,094430,094525,094640,095029,095241,095431,095643,095738,095811
22,MX3651-1,091533,091755,092110,092131,092215,092626,092742,092825,093004,093110,093501,094006,094111,094229,094409,094514,094724,094819,094851,095007,095145,095705,095843,100003,100203,100319,100352
23,MX3783-1,091932,092415,092658,092731,092931,093217,093429,093545,093745,094111,094323,094902,095007,095113,095241,095347,095526,095716,095800,095928,100036,100341,100509,100731,100838,100932,101005
24,MW2390-0,092709,093048,093407,093501,093628,094006,094229,094358,094535,094735,095135,095654,095822,095939,100108,100236,100426,100520,100604,100658,100805,101133,101355,101523,101641,101758,101830
25,MW2780-0,092803,093523,093817,093901,094027,094301,094514,094630,094807,094956,095347,095907,100014,100057,100214,100257,100426,100625,100709,100753,100911,101217,101406,101534,101618,101725,101758
26,MW5264-0,094345,,100330,100426,100542,100827,100921,101027,101154,101406,101641,102135,102225,102320,102438,102532,102649,102852,102925,103008,103114,103446,103646,103941,104046,104151,104224
27,MX4021-2,,094358,094651,094819,094956,095241,095420,095526,095705,095950,100352,100932,101027,101238,101417,101534,101736,101936,102019,102157,102353,102837,102957,103308,103413,103519,103614
28,MW5191-0,094430,094819,095051,095219,095347,095705,095843,095939,100119,100225,100604,101143,101249,101406,101545,101641,101758,101946,102030,102157,102353,102837,103008,103308,103413,103529,103635
29,MX4041-2,,095325,095716,095749,095917,100130,100319,100415,100553,100805,101016,101534,101641,101736,101914,102008,102135,102320,102353,102427,102532,102946,103136,103319,103435,103540,103635
30,MX4159-2,,095621,095928,100036,100141,100415,100604,100709,100911,101016,101227,101736,101830,101946,102124,102135,102247,102342,102438,102543,102711,103102,103308,103551,103635,103740,103824
31,MW5346-0,100403,100911,101206,101333,101501,101736,101936,102041,102225,102427,102649,103157,103257,103424,103540,103635,103751,103846,103919,104035,104140,104456,104656,104857,105003,105108,105141
32,MX4598-0,,100458,100805,100943,101111,101343,101512,101629,101809,102030,102236,102816,102925,103052,103224,103330,103435,103635,103719,103846,103952,104351,104550,104802,,105025,105058
