,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MX1517-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070115,070147,070231,070359,070443,070505,070611,070905,071021,071243,071337,071504,071547
1,MS2243-0,,,,,,,,,,,,,,070103,070242,070359,070421,070527,070611,070738,070759,070938,071149,071410,071504,071558,071714,071831,071936,072103,072135,072240,072313,072347,072514,072644,073003,073203,073352,073457,073603,073635
2,MS2365-0,,,,070103,070231,070527,070633,070738,070916,071010,071221,071327,071515,071852,072240,072420,072503,072634,072739,072858,072931,073108,073319,073519,073625,073708,073814,073941,074036,074235,074318,074413,074550,074623,074656,074813,075152,075329,075434,075543,075638,075721
3,MS1935-0,070633,073014,073214,073403,073552,073908,074003,074119,074213,074246,074351,074507,074540,074920,075257,075423,075507,075616,075648,075825,075920,080140,080350,080612,080718,080814,080920,081036,081141,081257,081351,081445,081551,081655,081717,081833,082201,082328,082550,082655,082800,082833
4,MS1903-0,,071243,071526,071714,071947,072302,072420,072539,072803,072825,073025,073130,073309,073657,074036,074213,074257,074402,074445,074623,074707,074858,075057,075308,075351,075434,075543,075648,075753,075920,080003,080046,080140,080202,080235,080340,080718,080930,081141,081246,081340,081424
5,MS1953-0,074601,074824,075014,075203,075235,075721,075825,075920,080046,080130,080350,080456,080634,081003,081340,081518,081612,081739,,082000,082045,082245,082456,082739,082844,082938,083032,083200,083254,083444,083538,083633,083749,083822,083905,084011,084317,084446,084602,084707,084813,084847
6,MW5645-0,080718,082317,082539,082833,082938,083232,083400,083622,083916,084000,084211,084327,084518,084847,085215,085342,085425,085551,085646,085834,085908,090119,090340,090550,090644,090738,090844,091011,091054,091210,091243,091348,091420,091442,091621,091737,092115,092231,092357,092440,092537,092610
7,MS2259-0,,,080739,080909,,081645,081717,082000,082045,,082402,082413,,082855,083232,083349,083454,,,,,,084413,084657,084803,084847,085005,085110,085154,085331,085435,085551,085624,085635,085708,085802,090119,,090424,090434,090539,090612
8,MX1517-1,,084211,084457,084657,084909,085414,085603,085834,090152,090235,090413,090507,090655,091033,091431,091610,091704,091820,091903,092104,092158,092347,092548,092811,092905,092949,093055,093211,093305,093444,093538,093622,093727,093759,093821,093948,094314,094503,094703,094809,094924,095008
9,MS2243-1,090035,090318,090518,090727,091033,091348,091559,091715,091957,092104,092325,092430,092621,092949,093316,093444,093527,093654,093759,093915,093959,094209,094430,094631,094725,094819,094935,095102,095156,095323,095417,095522,095607,095640,095702,095828,100155,100322,100417,100522,100650,100712
10,MS2365-1,090224,092220,092357,092559,092811,093211,093401,093506,093759,093832,094031,094136,094219,094536,094924,095051,095145,095323,095438,095607,095651,095901,100155,100417,100522,100607,100723,100839,100923,101156,101301,101356,101440,101502,101534,101650,102006,102123,102250,102355,102501,102535
11,MS1903-1,,093853,094147,094503,094903,095345,095651,095818,100050,100155,100354,100439,100556,100945,101323,101451,101545,101712,101806,101955,102050,102250,102450,102713,102818,102902,103017,103133,103227,103406,103522,103618,103713,103735,103818,103946,104335,104503,104713,104818,104934,105006
12,MS1935-1,,095944,100133,100344,100639,101039,101206,101344,101640,101712,101923,102006,102145,102535,102934,103050,103133,103249,103333,103544,103640,103840,104113,104347,104441,104536,104641,104756,104840,105050,105144,105227,105332,105354,105427,105553,105848,110025,110214,110330,110446,110508
13,MR8026-0,,102101,102355,102651,102808,103206,103450,103956,104335,104452,104652,104756,104945,105311,105637,105826,105858,110025,110120,110258,110341,110624,110813,111014,111119,111214,111319,111435,111518,111718,111834,111917,111950,112011,112033,112210,112505,112620,112822,112905,113021,113105
14,MS1953-1,,104503,104619,104829,104934,105427,105543,105659,105942,110058,110247,110330,110414,110717,111046,111214,111308,111424,111507,111646,111729,111928,112116,112253,112336,112421,112526,112642,112726,112854,112938,113043,113137,113159,113327,113517,113909,114119,114307,114402,114518,114550
15,MS2259-1,,110341,110540,110739,110858,111214,111340,111446,111551,111646,111823,111917,112011,112347,112758,112905,112959,113115,113221,113316,113401,113602,113802,114025,114108,114152,114256,114402,114446,114655,114749,114832,114937,115010,115032,115147,115536,115641,,120050,120144,120238
16,MW5645-1,,112454,112726,112927,113232,113646,113931,114058,114318,114413,114550,114645,114811,115147,115514,115641,115724,115912,120018,120206,120249,120511,120742,120943,121049,121154,121311,121500,121543,121710,121743,121848,121932,122100,122154,122310,122647,122835,123130,123246,123403,123446
17,MX1517-2,,114339,114706,114854,115147,115441,115608,115724,120039,120134,120405,120543,120626,120954,121355,121532,121616,121732,121837,122016,122100,122321,122520,122708,122741,122835,122931,123036,123119,123330,123435,123529,123626,123659,123743,123847,124129,124245,124401,124506,124621,124705
18,MS2243-2,,120500,120637,120816,121132,121449,121543,121710,121942,122027,122259,122415,122625,122952,123341,123529,123616,123753,123847,124024,124118,124339,124538,124759,124853,124936,125052,125209,125252,125420,125526,125620,125726,125758,125925,130030,130358,130525,130808,130935,131029,131113
19,MS2365-2,,122110,122321,122458,122636,122920,123130,123246,123529,123616,123815,123858,124035,124401,124748,124925,125020,125125,125219,125347,125453,125715,125935,130135,130218,130302,130420,130536,130608,130724,130808,130851,131008,131051,131219,131347,131652,131819,132007,132101,132216,132249
20,MS1903-2,,124223,124506,124705,124958,125314,125409,125515,125925,130019,130218,130302,130430,130808,131145,131324,131409,131547,131652,131829,131913,132111,132343,132543,132626,132710,132825,132942,133025,133141,133236,133330,133424,133446,133519,133641,134020,134220,134336,134504,134616,134649
21,MR8026-1,125726,125820,125935,130135,130313,130746,131008,131145,131335,131431,131609,131713,131757,132111,132438,132554,132637,132753,132858,133014,133058,133246,133519,133714,133758,133841,133947,134042,134125,134252,134336,134420,134532,134543,134616,134711,134945,135134,135355,135449,135543,135659
22,MS1953-2,131724,131934,132111,132321,132637,132753,132953,133130,133330,133424,133608,133714,133747,134104,134442,134616,134700,134827,134956,135112,135206,135355,135543,135743,135826,135920,140037,140153,140247,140508,140613,140707,140802,140836,140858,141004,141330,141435,141657,141802,141856,141930
23,MS2259-2,133630,133841,134031,134252,134605,134923,135028,135239,135521,135616,135743,135826,135859,140215,140602,140740,140847,,141109,141225,141319,141518,141708,141930,142016,142059,142225,142319,142403,142540,142624,142750,143013,143056,143128,143246,143646,,,144026,144132,144226
