,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MX1105-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070526
1,MS1695-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070107,070442,070610,070835,071047,071244,071344,071501,071850
2,MX1526-0,,,,,,,,,,,,,,,,,070107,070120,070336,070559,070632,070715,070824,070940,071047,071142,071617,071828,071933,072143,072327,072532,072814,073024,073141,073354,073742
3,MX1084-0,,,,,,,,,,,,070107,070229,070336,070715,070846,071014,071047,071311,071628,071711,071755,071922,072049,072208,072255,072720,073057,073151,073415,073532,073742,074017,074254,074410,074609,075012
4,MZ3559-0,070107,070120,070240,070314,070336,070431,070442,070526,070559,070653,070749,070857,071047,071244,071522,071617,071711,071755,071922,072143,072219,072255,072400,072510,072543,072615,073024,073259,073404,073626,073815,073932,074028,074254,074410,074609,075023
5,MZ3734-0,071025,071142,071311,071333,071406,071439,071522,071606,071649,071817,071922,072100,072242,072400,072648,072731,073003,073046,073259,073521,073615,073648,073804,073921,074051,074124,074609,074940,075034,075350,075522,075754,075910,080132,080227,080332,080728
6,MZ3956-0,072005,072208,072349,072411,072433,072521,072553,072637,072709,072814,072920,073035,073248,073448,073815,074017,074113,074156,074337,074609,074653,074727,074822,075001,075055,075117,075554,075805,075932,080311,080428,080655,080815,081030,081210,081326,081800
7,MZ3825-0,073151,073259,073437,073510,073521,073604,073615,073659,073742,073848,074006,074102,074243,074337,074631,074811,074918,074950,075213,075522,075606,075650,075805,075921,080037,080121,080601,080815,080903,081157,081253,081420,081632,081800,081919,082016,082417
8,MZ3556-0,074017,074113,074221,074254,074316,074337,074410,074443,074515,074620,074715,074822,074950,075117,075401,075434,075700,075733,075910,080121,080216,080300,080354,080503,080623,080717,081146,081420,081526,081846,081940,082138,082333,082617,082712,082828,083314
9,MZ4228-0,075138,075235,075350,075423,075459,075533,075554,075639,075733,075838,080004,080142,080406,,081315,081431,081654,081749,082003,,,,,082817,082944,082955,083503,083715,083856,084142,084301,084536,084747,085041,085157,085247,085721
10,MZ3978-0,075522,075711,075838,075921,075943,080016,080037,080110,080142,080238,080354,080503,080655,080947,081304,081420,081654,081738,081951,082249,082333,082428,082556,082745,082901,082944,083420,083704,083811,084131,084250,084452,084642,085041,085147,085226,085710
11,MZ4072-0,080238,080354,080503,080528,080539,080623,080655,080728,080800,080852,080947,081052,081315,081453,081749,081835,082105,082149,082322,082545,082617,082712,082839,082944,083100,083111,083525,083907,084013,084345,084452,084642,084820,085041,085226,085353,085859
12,MX1105-1,080815,082215,082344,082439,082501,082545,082617,082701,082756,082912,083039,083206,083347,083525,083856,084025,084131,084239,084430,084631,084736,084820,084936,085052,085214,085258,085710,085943,090131,090617,090817,091027,091230,091631,091750,091928,092301
13,MZ3740-0,080936,081052,081231,081304,081326,081358,081420,081453,081547,081632,081749,081908,082138,082227,082450,082617,082712,082756,083017,083218,083252,083336,083441,083620,083750,083823,084301,084525,084631,084830,084958,085226,085448,085721,085837,085943,090354
14,MW3496-0,,081621,081749,081835,081846,081919,081940,082016,082052,082215,082322,082439,082556,082745,083049,083230,083503,083547,083727,084025,084131,084228,084335,084525,084642,084747,085147,085342,085521,085932,090048,090405,090701,091016,091122,091303,091653
15,MW5898-0,082534,082712,082817,082850,082901,082933,082955,083028,083100,083154,083303,083430,083715,083918,084250,084419,084525,084620,084736,085030,085103,085147,085247,085404,085521,085605,090015,090354,090500,090849,091006,091314,091431,091704,091812,091939,092301
16,MW5936-0,,083503,083642,083715,083750,083823,083845,083929,084025,084142,084250,084407,084620,084830,085136,085226,085459,085543,085648,085837,085943,090037,090153,090332,090438,090500,090933,091218,091358,091739,091856,092026,092301,092556,092713,092934,093318
17,MX1197-0,084109,084215,084323,084407,084430,084525,084547,084631,084736,084830,084925,085041,085236,085404,085710,085815,085932,090004,090131,090354,090500,090555,090701,090849,090955,091049,091525,091823,092015,092228,092344,092628,092818,093018,093144,093307,093826
18,MS1695-1,,,085247,085320,085353,085415,085437,085521,085605,085710,085815,,090059,090249,090617,090817,091100,091122,091336,091525,091558,091704,091823,092026,092142,092228,092702,093050,093155,093550,093719,093837,094025,094436,094553,094637,095301
19,MX1213-0,085815,090004,090142,090227,090249,090343,090405,090449,090522,090606,090722,090933,091038,091206,091525,091631,091856,091950,092058,092407,092501,092607,092735,092934,093101,093155,093625,093909,094047,094258,094425,094626,094837,095109,095228,095417,095817
20,MX1526-1,090627,090733,090911,090955,091016,091133,091206,091241,091314,091431,091525,091631,091856,092003,092301,092428,092702,092735,092924,093234,093329,093423,093550,093657,093815,093847,094331,094720,094909,095153,095355,095650,095911,100039,100144,100346,101008
21,MX1084-1,091631,091704,091845,091918,091950,092015,092037,092120,092153,092344,092439,092618,092757,093018,093256,093434,093657,093753,093909,094203,094320,094425,094615,094753,094942,095059,095533,095744,095933,100302,100452,100757,,,,101835,102403
22,MW5966-0,092556,092702,092902,092945,093018,093101,093134,093223,093256,093412,093539,093731,094003,094225,094615,094731,095004,095059,095322,095533,095650,095755,095955,100155,100324,100408,100924,101411,101614,102118,102247,102530,102858,103227,103417,103702,104234
23,MZ3559-1,093434,093635,093742,093804,093826,093909,093931,094025,094047,094203,094258,094404,094626,094731,095026,095131,095344,095406,095617,095806,095900,095944,100101,100229,100335,100408,100819,101221,101411,101857,102013,102118,102330,102752,102909,103109,103640
24,MZ3734-1,094331,094520,094647,094742,094804,094909,094942,095015,095047,095217,095312,095427,095639,095755,100122,100229,100452,100557,100735,100946,101051,101157,101327,101455,101635,101730,102236,102635,102825,103036,103300,103512,103651,103924,104113,104317,104519
25,MZ3956-1,095047,095205,095322,095355,095417,095449,095511,095554,095639,095755,095900,100039,100206,100313,100641,100808,101030,101124,101400,101646,101741,101835,102013,102225,102425,102508,102931,103249,103439,103746,103914,104307,104446,104826,104931,105058,105524
26,MZ3825-1,095755,100028,100133,100206,100240,100324,100346,100430,100513,100630,100724,100841,101124,101305,101603,101730,101951,102046,102214,102446,102530,102552,102731,102836,102952,103047,103534,103903,104052,104413,104542,104721,104753,105026,105153,105311,105556
27,MZ3556-1,101051,101210,101400,101433,101444,101549,101625,101708,101730,101857,101951,102140,102425,102552,102858,103036,103249,103333,103501,103735,103819,103914,104135,104307,104446,104542,105004,105322,105440,110124,110305,110528,110824,111108,111257,111447,112109
28,MZ3978-1,101824,102002,102118,102140,102214,102247,102309,102352,102425,102541,102646,102836,103003,103109,103406,103607,103841,103924,104113,104350,104435,104530,104721,104858,105026,105120,105535,105745,105945,110538,110655,110930,111035,111319,111425,111509,111953
29,MZ4228-1,102541,102836,102952,103025,103109,103152,103227,103322,103355,103522,103629,103735,103903,104008,104328,104530,104626,104721,104909,105227,105300,105429,105607,105745,,,110549,110951,111152,111403,111542,111931,112037,112407,112546,112702,113252
30,MZ4072-1,103629,103746,103851,103935,103957,104041,104052,104135,104157,104256,104413,104542,104721,104858,105227,105311,105513,105546,105713,110029,110124,110244,110400,110538,110706,110728,111152,111414,111603,112037,112153,112335,112418,112652,112818,112913,113630
31,MX1105-2,104339,105956,110146,110305,110338,110411,110506,,,110930,110941,111130,111341,111603,111858,112048,112324,112440,112608,112840,112924,113029,113230,113357,113556,113703,114134,114526,114833,115236,115414,115603,115835,120107,120235,120402,120930
32,MZ3740-1,104710,104953,105131,105227,105238,105356,105418,105513,105556,105745,105901,110029,110327,110433,110750,110941,111203,111308,111447,111753,111848,111942,112131,112229,112346,112418,112851,113051,113241,113535,113703,113945,114112,114348,114453,114704,115043
33,MW5898-1,110846,111108,111257,111352,111414,111447,111603,111647,111720,111848,112004,112131,112251,112440,112746,113018,113241,113335,113545,113818,113913,114018,114145,114315,114442,114526,114949,115320,115519,115857,120035,120213,120402,120612,120730,120836,181712
