,Bus,C686,C656,C654,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,AA7539-0,,,,,,,,,,,,,,,,,070108,070152,070424,070623,070939,071243,071410,071643
1,AA7931-0,,,,,,,,070108,070120,070247,070352,070446,070623,070729,070813,071243,071410,071759,072135,072324,072547,073010,073127,073316
2,MX4535-0,,,,,,070108,070403,070612,070845,070950,071055,071200,071316,071410,071442,071914,072030,072408,072714,072759,073021,073455,073635,073751
3,MX4021-0,070108,070152,070308,070424,070602,070718,070950,071149,071254,071421,071515,071558,071737,071842,071904,072313,072430,072631,072927,073116,073244,073708,073824,074003
4,AA6760-0,,071547,071621,071831,071925,072125,072430,072525,072725,072854,072959,073054,073222,073400,073444,091252,074108,,074824,074919,075129,075424,075658,093237
5,AA7712-0,071914,072336,072503,072558,072736,072905,073148,073244,073455,073613,073730,073813,074014,074108,074152,074601,074739,075107,075413,075446,075658,080112,080240,080443
6,AA7708-0,072558,072642,072736,072832,072959,,073411,073613,073730,073813,073918,073950,,074213,074257,074717,074813,075140,075413,075614,075721,080156,080313,080443
7,AA7559-0,072821,073159,073244,073349,073455,,,,,,,,,,074919,,075435,,075955,,,080759,,081944
8,AA6942-0,073528,073824,073929,074046,074257,,074706,074824,074940,075046,075150,075235,075402,075507,075603,080101,080229,,080926,081115,081347,081755,081901,082459
9,AA7749-0,074846,074940,075035,075202,,,075753,075849,080101,080207,080302,080345,080643,080715,080759,081231,081357,,081911,,,082731,082847,083025
10,AA7764-0,080345,080432,080526,080704,,081126,081441,081618,081901,082017,082155,082300,082543,082626,082720,083130,083331,083722,084007,084155,084501,084817,084934,085101
11,AA7539-1,080737,080937,081104,081220,081325,081502,081817,082017,082300,082416,082532,082637,082825,082920,083003,083436,083628,083900,084217,084407,084701,085006,085155,085355
12,AA7931-1,082658,082941,083047,083236,083606,083639,084018,084217,084501,084628,084723,084828,085028,085228,085301,085736,085903,090126,090515,090653,090914,091357,091524,091713
13,MX4535-1,083617,083722,083806,083922,084112,084301,084606,084817,084923,085028,085122,085218,085417,085512,085607,090009,090148,090525,090853,091052,091313,091607,091734,091912
14,MX4021-1,083955,084206,084301,084407,084545,084701,084956,085050,085250,085355,085512,085555,085712,085830,085852,090253,090410,090725,091052,091241,091513,091901,092029,092218
15,AA7712-1,085723,085947,090053,090231,090348,090525,090925,091030,091252,091346,091502,091556,091745,091840,091935,092334,092501,092806,093204,093404,093636,093953,094109,094320
16,AA7708-1,090042,090348,090431,090536,,090903,091230,091419,091534,091629,091723,091818,091946,092124,092156,092607,092755,093037,093353,093426,093826,094204,094309,094520
17,AA7559-1,091030,091230,091324,091534,091745,,092135,092240,092501,092618,092712,092817,093016,093110,093215,,093942,,094531,094721,095037,095427,095628,095828
18,AA6942-1,091545,091946,092040,092240,,,093016,093248,093404,093520,093625,093720,,,094120,094604,094732,095059,095333,095555,095806,100133,100300,100511
19,AA7749-1,093153,093310,093415,093604,093920,,094247,094448,094721,094848,095048,095216,095500,095555,095649,100050,100249,,100911,,101311,101628,101901,102051
20,AA7764-1,095015,095110,095216,095406,095522,095733,100039,100155,100406,100606,100700,100754,101016,101111,101206,101617,101756,101955,102356,102535,102831,103421,103548,103749
21,AA7539-2,095153,095449,095606,095722,095850,100017,100355,100533,100754,100911,101027,101122,101344,101438,101533,102018,102207,102557,102925,103126,103348,103749,104000,104223
22,AA7450-0,,100511,100606,100722,,101155,101606,101828,102051,102251,102356,102502,102714,102758,102852,103304,103442,103822,104117,104317,104644,105044,105200,105411
23,AA7931-2,101122,101238,101322,101438,101650,101828,102135,102229,102441,102619,102747,102914,103053,103232,103326,103811,103938,104233,104644,104844,105211,105715,105841,110052
24,MX4535-2,102018,102113,102218,102335,102513,102714,103042,103148,103359,103526,103631,103738,103916,104055,104139,104622,104800,105044,105421,105621,105946,110545,110723,110902
25,MX4021-2,102608,102819,102925,103104,103232,103453,103800,103905,104139,104317,104444,104539,104727,104917,105012,105454,105642,105935,110229,110408,110807,111418,111535,111735
26,AA6760-1,103738,104012,104055,104201,104444,,104844,105012,105244,105349,105515,105642,105935,110030,110125,110618,110807,,111713,,112145,112556,112712,113134
27,AA7712-2,104000,104506,104601,104717,104917,105033,105349,105559,105820,105957,110125,110346,110618,110723,110818,111240,111418,111746,112134,112312,112650,113123,113251,113418
28,AA7393-0,105244,105432,105526,105621,,,110429,110524,110734,110913,111051,111207,111407,111546,111640,112112,112239,112556,112934,113039,113556,114040,114155,114334
29,AA7708-2,,,,,110008,110103,110440,110701,110935,111123,111251,111407,111556,111757,111851,112312,112501,112807,113050,113229,113639,114250,114417,114618
30,AA6942-2,111607,111713,111829,111956,112050,112250,112617,112734,113006,113155,113302,113429,113545,113755,113806,114239,114406,,115017,,,120131,120321,120533
31,AA7559-2,,,,,,,,,,,112512,112734,112912,113017,113101,113512,113639,,114417,114639,114923,115534,115628,115827
32,AA7764-2,114417,114902,115007,115144,115407,115556,115933,120110,120343,120511,120721,120850,121049,121143,121227,121650,121828,122238,122448,122626,123002,123352,123530,123741
33,AA7749-2,115428,115534,115618,115744,115827,,120355,120511,120732,120911,121028,121216,121343,121533,121555,122006,122155,122531,122825,123002,123319,123751,123918,124107
34,AA7450-1,120627,120755,120839,121049,121227,121321,121734,121818,122039,122227,122542,122720,122941,123139,123246,123657,123918,124256,124730,124921,125249,125815,125932,130146
35,AA7539-3,,,122615,122720,122908,123046,123508,123657,123918,124151,124603,124719,125015,125109,125216,125710,125932,130336,,130948,131401,131909,132036,132257
36,AA7931-3,123446,123551,123657,123824,124057,124307,124603,124753,125015,125216,125438,125805,125953,130124,130219,130653,130831,131137,131433,131550,131920,132330,132458,132657
37,MX4535-3,124646,124859,125004,125059,125310,125438,125743,125910,130135,130358,130853,131115,131338,131506,131602,132025,132152,132552,132919,133203,133511,133850,134039,134249
38,MX4021-3,125120,125648,125805,125921,130230,130421,130737,130842,131104,131350,131624,131718,131909,132025,132108,132530,132657,133003,133417,133629,133912,134238,134354,134522
39,AA7393-1,,,,125416,125532,125605,130004,130113,130336,130737,131126,131338,131517,131635,131729,132152,132341,132752,133119,133225,133533,134028,134133,134311
40,AA6760-2,130842,131010,131126,131244,131528,131646,132108,132141,132403,132541,132719,132857,133214,133320,133438,155817,134100,,134955,135122,135532,140040,140240,183429
41,AA7712-3,131021,131455,131550,131707,131803,132036,132341,132519,132752,132941,133108,133353,133607,133712,133818,134217,134405,134650,135100,135321,135721,140407,140534,140755
