,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7706-0,,,,,,,,,,,,-1,-1,1,1,1,1,-1,1,-1,1,-1
1,MW4705-0,,,,,,,,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1
2,MR7964-0,,,,,,,2,1,-1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
3,AA6952-0,,,,,-1,,1,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
4,AA7488-0,,-1,-1,,-1,-1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
5,AA7149-0,-1,,-1,-1,-1,2,1,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
6,MW3346-0,,,,-1,,,,,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
7,AA7101-0,,,,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
8,AA7214-0,,-1,1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
9,AA7195-0,-1,-1,1,-1,-1,2,3,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
10,AA7248-0,-1,-1,1,-1,-1,,2,1,1,-1,-1,-1,-1,1,1,1,1,1,5,1,1,-1
11,AA7536-0,-1,-1,1,-1,-1,2,3,1,1,-1,,-1,-1,1,1,1,1,1,2,1,1,-1
12,AA7522-0,-1,-1,1,-1,-1,1,2,1,1,-1,,-1,-1,1,1,1,1,5,1,1,1,-1
13,AA7322-0,-1,-1,1,-1,,,3,1,1,-1,,-1,-1,1,1,1,1,1,4,1,1,-1
14,AA7706-1,-1,-1,1,-1,-1,1,3,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
15,MW4705-1,-1,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
16,AA6952-1,-1,,1,-1,-1,1,2,1,1,-1,,-1,-1,1,1,1,1,1,4,1,1,-1
17,AA7488-1,-1,-1,1,-1,-1,3,4,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
18,AA7149-1,,-1,1,-1,-1,2,4,1,1,-1,-1,-1,-1,1,1,1,1,1,2,1,1,-1
19,AA7101-1,,,1,-1,-1,2,4,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
20,AA7214-1,,,1,-1,-1,4,4,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
21,AA7195-1,,-1,2,-1,-1,,,,1,-1,,-1,-1,1,1,1,1,1,2,1,1,-1
22,AA7248-1,-1,-1,2,-1,-1,2,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
23,AA7536-1,-1,,1,-1,-1,,4,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1
