,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
30,MS1953-3,-1,1,1,1,2,2,3,1,1,1,3,1,1,-1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
31,MS2243-2,,1,2,4,1,1,2,2,,1,1,1,1,1,1,2,2,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,,1,1,-1
32,MX4310-3,,1,1,2,1,1,3,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,1,1,1,1,1,1,1,1,-1
33,MX1624-3,,1,2,3,1,1,2,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1
34,MS2365-4,,1,1,2,1,1,1,1,1,1,2,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,,1,-1
35,MX1693-4,,2,1,2,1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,-1,1,1,1,1,1,1,1,1,-1
36,MS2259-4,1,1,1,3,2,2,1,2,1,1,1,1,1,-1,1,1,1,4,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1
37,MX4068-3,,2,1,3,1,2,2,1,2,1,1,3,1,1,1,-1,1,1,2,3,4,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,3,1,1,1,1,-1
38,MS2243-3,,1,1,1,1,2,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,-1,1,1,1,1,-1,1,-1,-1,-1
39,MX1698-4,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,2,1,1,1,1,-1
