,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,MW4837-0,,,,,,,,,,,,,,,,,070105,070306
1,MW4856-0,,,,,,,,,,,070105,070903,071125,071303,071408,071441,071535,071817
2,MW5594-0,,,,,,,,,070105,070558,070736,071946,072102,072250,072355,072428,072616,072848
3,MW4366-0,070105,070149,070411,070505,070609,070652,070808,070903,070946,071451,071650,072627,072859,073026,073131,073226,073321,073743
4,AA7101-0,071209,071325,071618,071756,071924,072018,072112,072217,072250,072721,072921,074130,074351,074529,074645,074739,074847,075246
5,MW4503-0,072417,072605,072859,073110,073226,073321,073439,073533,073638,074213,074507,075614,075835,080057,080202,080257,080415,080837
6,MW4619-0,072954,073439,073711,073826,073952,074046,074151,074245,074340,074847,075141,080246,080352,080448,080554,080648,080815,081120
7,MW4647-0,074413,074634,074909,075025,075141,075224,075329,075435,075529,080035,080257,081403,081636,081846,081951,082108,082213,082708
8,MW4781-0,075340,,075835,080046,080152,080246,080352,080437,080521,081004,081152,082530,082803,083013,083119,083151,083330,083814
9,MW4837-1,080532,080753,081036,081225,081341,081414,081541,081636,081719,082245,082519,083457,083741,083919,084025,084119,084257,084623
10,MW4856-1,081730,,082014,082234,082352,082436,082552,082635,082740,083235,083646,084811,085043,085232,085348,085431,085610,085936
11,MP6039-0,082541,082719,083046,083235,083341,083435,083624,083719,083752,084446,084706,085936,090209,090357,090503,090535,090651,090958
12,AA7479-0,082951,083246,083624,083836,083952,084046,084140,084307,084352,085000,085200,090408,090702,090903,091019,091125,091303,091807
13,MW5594-1,083803,083908,084235,084424,084540,084634,084833,084916,085011,090958,091158,092545,092829,093009,093115,093209,093337,093642
14,AA7637-0,084811,085116,085525,085642,085809,085914,090114,090209,090252,091629,091850,093104,093326,093442,093559,093653,093748,094240
15,MW4366-1,085525,085610,085914,090031,090147,090231,090314,090441,090513,091818,092039,093053,093326,093515,093620,093704,093748,094501
16,AA7101-1,085653,090125,090430,090619,090746,090829,090853,090958,091041,092249,092450,093548,093653,093821,093926,094031,094146,094512
17,MW4503-1,090925,091019,091230,091430,091546,091640,091745,091839,091944,092512,092745,093843,094146,094345,094451,094534,094649,095004
18,AA6345-0,091535,091723,092039,092228,092355,092450,092640,092745,092840,093504,093726,095058,095319,095447,095553,095627,095805,100343
19,MW4619-1,092039,092300,092640,092829,093020,093053,093147,093242,093326,093843,094157,095330,095447,095638,095732,095827,100016,100416
20,MW4825-0,092757,092926,093231,093431,093610,093653,093821,093947,094031,094534,094816,100005,100249,100449,100554,100627,100806,101215
21,MW4647-1,093559,093620,094125,094345,094451,094545,094700,094805,094848,095425,095700,100806,101059,101320,101436,101541,101646,101950
22,AA7530-0,,094733,095026,095120,095236,095319,095352,095447,095542,100133,100416,101519,101741,101940,102057,102129,102257,102740
23,MW4781-1,,,095352,095458,095627,095710,095910,100016,100100,100554,100743,102202,102403,102552,102657,102751,102846,103246
24,MW4837-2,095954,100205,100522,100638,100754,100839,100944,101048,101143,101657,101918,103107,103352,103552,103708,103740,103857,104440
