,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA6345-0,,,,,,,,,,,,-1,-1,-1,1,1,1,-1,-1,2,-1,1,-1
1,AA7312-0,,,,,,,,1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1
2,MW4647-0,,,,,-1,-1,2,1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1
3,AA7286-0,,,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,-1
4,AA7637-0,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
5,AA7721-0,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1
6,MS4934-0,,,,,-1,-1,3,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,-1
7,MW4229-0,,,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,3,1,1,1,1,-1
8,MR7938-0,,,,,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,3,1,1,1,1,-1
9,MW4781-0,,,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
10,AA74-92-0,,-1,1,-1,-1,-1,4,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,,
11,AA7479-0,,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,,
12,AA6832-0,-1,-1,1,-1,-1,-1,2,,,,,,,,,,,,,,,,
13,AA7530-0,-1,-1,-1,-1,-1,-1,2,1,,,,,,,,,,,,,,,
14,MP6359-0,,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,
15,AA7759-0,-1,-1,,,,,,,,,,,,,,,,,,,,,
