,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MW5853-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,070117,070234,070519
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070104,070201,070256,070457,070614,070752,070941,071318,071412,071506,071813
2,MW5943-0,,,,,,,,,,,,,,,,,070104,070117,070307,070552,070625,070708,070835,071002,071107,071140,071613,071834,071939,072151,072307,072529,072718,072940,073034,073257,073813
3,MX1084-0,,,,,,,,,,,,070104,070117,070245,070530,070708,070752,070835,070941,071151,071245,071329,071445,071550,071657,071740,072201,072446,072540,072728,072835,073045,073246,073539,073657,073752,074424
4,MW5898-0,,,,,,070104,070117,070150,070234,070351,070436,070530,070708,070814,071107,071256,071350,071434,071602,071823,071907,072003,072140,072256,072403,072457,072919,073056,073202,073434,073539,073730,073919,074213,074329,074541,075259
5,MZ3556-0,070519,070657,070846,070919,070930,071024,071056,071140,071213,071318,071412,071528,071718,071823,072140,072234,072446,072519,072707,073034,073107,073213,073318,073456,073657,073802,074245,074530,074636,074921,075100,075237,075416,075831,080031,080209,080808
6,MZ3734-0,071550,071635,071813,071845,071907,071939,072003,072046,072118,072212,072328,072424,072634,072750,073034,073202,073257,073340,073528,073824,073908,074002,074151,074351,074530,074552,075016,075343,075522,075936,080042,080253,080536,080935,081102,081145,081912
7,MZ3740-0,072551,072718,072857,072940,073002,073045,073118,073202,073246,073423,073528,073657,073857,074118,074530,074636,074910,074943,075121,075416,075511,075820,080009,080209,080358,080452,080924,081218,081406,081639,081817,082052,082242,082631,082809,083054,083635
8,MZ3825-0,073657,073741,073846,073919,073940,074002,074045,074118,074151,074307,074351,074457,074647,074827,075121,075227,075449,075532,075735,080031,080115,080159,080325,080525,080652,080757,081229,081439,081628,082358,082515,082704,082905,083257,083423,083550,084235
9,MZ3978-0,074636,074803,074932,075005,075027,075121,075143,075216,075248,075416,075522,075711,075852,075958,080314,080431,080652,080735,080851,081239,081406,081501,081628,081839,082114,082158,082653,083106,083235,084025,084224,084530,084825,085046,085203,085352,085720
10,MZ3987-0,075649,075757,075915,075947,080020,080042,080115,080148,080220,080325,080420,080525,080641,080808,081145,081239,081501,081533,081701,081934,082052,082158,082453,082704,082915,082948,083434,083718,084014,084803,084919,085152,085247,085508,085615,085742,090438
11,MX1213-0,,080913,081018,081051,081113,081156,081218,081250,081345,081501,081606,081701,081850,082030,082337,082420,082653,082737,082937,083423,083646,083834,084109,084319,084603,084657,085129,085331,085541,090204,090405,090650,091007,091217,091355,091639,092123
12,MZ4228-0,082030,082114,082315,082347,082409,082431,082504,082548,082631,082820,082926,083021,083235,083413,083718,083834,084047,084120,084341,084836,085024,085057,085247,085414,085658,085731,090226,090606,090901,091701,091901,092145,092302,092706,092833,092927,093425
