,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,MW5142-0,,,,,,,,,,,,,,,,,,,,,070103,070326,070454
1,MW4557-0,,,,,,,,,,,,070103,070158,070253,070454,070537,070643,070854,070959,071115,071325,071619,071902
2,MW4619-0,,,,,,,070103,070126,070948,071043,071137,071314,071441,071546,071702,071746,071851,072040,072145,072311,072428,072711,072817
3,MW4647-0,,,,,,070103,070158,070315,071325,071409,071503,071641,071807,071912,072040,072134,072239,072344,072428,072545,072639,072901,073038
4,MW3430-0,,,,070103,070158,070315,070537,070716,071557,071641,071724,071840,071945,072051,072217,072300,072333,072501,072556,072722,072817,073049,073227
5,MW4705-0,,,070103,070147,070359,070610,070905,071021,071934,072040,072145,072333,072512,072628,072807,072912,073017,073216,073321,073459,073607,073933,074134
6,MW4781-0,,,070359,070610,070843,,071347,071514,072512,072650,072733,072901,073027,073133,073310,073405,073510,073650,073745,073901,073955,074301,074407
7,AA7149-0,070443,,,071358,071557,071818,072018,072155,073111,073216,073310,073427,073534,073639,073839,073922,073955,074112,074207,074322,074355,074650,074806
8,MW4837-0,071054,071325,071619,072007,072228,072428,072700,072828,073756,073901,073955,074112,074239,074345,074555,074650,074755,074955,075100,075216,075353,075629,075734
9,MP6403-0,071724,072933,073122,073405,073650,073807,074007,074123,075111,075216,075259,075414,075519,075618,075734,075901,080006,080154,080259,080426,080545,080851,081050
10,AA6625-0,,071934,072250,072650,072955,073310,073510,073650,074744,074912,075017,075205,075331,075458,075723,075829,075944,080143,080248,080415,080545,080851,081029
11,MR7938-0,,,,,,,,072018,073006,073133,073216,073343,073459,073556,073650,073756,073901,074101,074156,074322,074355,074639,074755
12,MW4856-0,,,072722,072955,073154,073332,073618,073933,074944,075039,075122,075205,075342,075458,075712,075807,075912,080017,080122,080227,080342,080701,080756
13,MW5594-0,074007,074217,074545,074839,075049,075248,075508,075734,080723,080829,080913,081029,081144,081250,081406,081500,081606,081744,081850,082006,082143,082353,082554
14,MW5124-0,,,,074239,074450,074617,074934,075122,080143,080248,080331,080459,080629,080734,080851,080956,081123,081333,081438,081606,081744,082111,082216
15,MW4366-0,074806,075028,075353,075650,075839,080111,080426,080723,081744,081901,082006,082111,082237,082343,082522,082627,082732,082934,083050,083156,083347,083548,083643
16,AA7480-0,075342,075544,075923,080205,080426,080629,080913,081101,082216,082321,082416,,082648,082742,082934,083050,083217,083409,083515,083643,083800,084035,084213
17,MW5142-1,080050,080437,080701,081101,081511,081627,081901,082226,083156,083302,083358,083515,083632,083738,083906,084014,084119,084318,084413,084529,084740,085016,085111
18,MW4705-1,080840,081322,081522,082038,082321,082438,082732,083017,084014,084130,084235,084413,084602,084718,084932,085038,085154,085343,085458,085617,085754,090059,090258
19,MW4557-1,,,082143,082648,083050,083312,083526,083705,084740,084858,084954,085111,085238,085321,085520,085617,085733,085911,090016,090143,090354,090626,090909
