,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
12,MS1935-1,,091405,091736,091936,092231,092706,092739,092932,093237,093333,093533,093640,093724,094041,094410,094632,,094917,094928,095057,095152,095343,095629,095925,100042,100231,100453,100548,100726,100820,100926,101010,101032,101105,101210,101656,101834,102002,102108,102214,102236,102416,102511,102916,103055,103308,103658,103803,103836,103931,104037,104120,104900,105229,105408,105502,105619,105651,105808,105852,105958,110031,110147,110644,110920,111205,111322,,,111851,112043,112232,112433,112838,112933,113101
13,MW3053-1,,093545,093852,094157,094549,094716,094939,095057,095321,095427,095607,095701,095851,100231,100631,100809,100904,100959,101115,101243,101327,101549,101750,102024,102142,102405,102544,102628,102809,102854,103001,103055,103117,103151,103308,103625,103825,104015,104120,104226,104310,104511,104616,104933,105123,105302,105641,105757,105914,110136,110243,110338,110920,111216,111427,111606,111723,111840,112021,112148,112316,112411,112539,113039,113359,113718,113918,114025,114132,114311,114449,114701,114840,115008,115135,115315
14,MS2365-1,,100031,100315,100620,100937,101411,101612,101812,102225,102354,102554,102651,102843,103246,103636,103814,103909,104047,104204,104354,104448,104711,104944,105156,105312,105524,105702,105735,105936,110042,110147,110243,110305,110433,110600,110858,111026,111132,111322,111438,111511,111807,111936,112159,112444,112539,112933,113112,113242,113515,113645,113729,114406,114734,114957,115125,115315,115420,115620,115726,115853,115926,120105,120601,120908,121141,121320,121520,121722,122029,122156,122345,122610,122832,123043,123413
15,MW2856-1,,103139,103425,103731,104226,104554,104828,104944,105229,105357,105546,105702,105852,110232,110633,110803,110847,111015,111048,111227,111311,111533,111711,111913,112032,112305,112422,,112731,112827,112911,113028,113112,113231,113359,113729,113835,114058,114205,114354,114417,114639,114712,115135,115242,115431,115704,115821,120032,120305,120422,120506,121109,121458,121659,121850,121956,122124,122313,122431,122610,122716,122905,123402,123658,124016,124216,124355,124700,124817,125018,125229,125418,125621,125811,130106
16,MW2390-2,,104448,104755,105017,105302,105557,105808,105958,110254,110422,110622,110728,110909,111249,111627,111756,111902,112032,112148,112338,112433,112646,112922,113123,113220,113410,113623,113718,113846,113951,114047,114154,114248,114354,114555,114851,115018,115315,115420,115547,115631,115842,120021,120338,120506,120623,121047,121152,121342,121604,121659,121733,122240,122504,122654,122748,122916,123000,123138,123234,123351,123435,123626,124110,124406,124649,124807,124850,124934,125102,125240,125408,125535,125822,130011,130200
17,MS1695-2,,110622,110920,111110,111343,111807,112032,112254,112646,112742,112955,113112,113304,113623,114014,114143,114238,114354,114449,114639,114701,114840,115125,115326,115420,115620,115853,115937,120105,120210,120254,120400,120444,120612,120739,121036,121237,121437,121553,121710,121755,121923,122018,122135,122251,122431,122759,122905,123032,123127,123245,123318,123815,124100,124311,124428,124522,124617,124744,124839,124956,125051,125229,125738,130011,130200,130319,130414,130530,130647,130805,130922,131133,131338,131517,131633
18,MW2780-2,,112742,113101,113231,113549,113857,114143,114628,114957,115103,115304,115453,115653,120021,120400,120506,120601,120728,120814,120952,121058,121320,121531,121733,121806,121945,122135,122207,122345,122442,122621,122810,122843,122916,123043,123413,123553,123804,123954,124038,124110,124249,124333,124449,124628,124817,125051,125145,125251,125524,125654,125727,130319,130519,130754,130933,131145,131253,131433,131528,131655,131801,131918,132341,132626,132915,133010,133211,133317,133458,133603,133743,133901,134134,134315,134542
19,MS1935-2,,121036,121626,121839,122113,122916,123245,123753,124322,124417,124628,124733,124850,125229,125632,125833,125916,130055,130128,130319,130403,130552,130933,131157,131242,131455,,,131929,132024,132141,132236,132258,132330,132458,132842,133021,133149,133306,133414,133509,133658,133816,134326,,134626,135029,135221,135433,135658,135816,135912,140548,140835,141047,141236,141437,141554,141756,141840,142018,142102,142221,142743,143027,143203,143354,143533,143652,143821,143959,144150,144340,144723,144819,145149
20,MW3053-2,,123200,123402,123709,124016,124544,125324,125811,130330,130435,130625,130743,130816,131145,131517,131633,131728,131907,132003,132236,132330,132604,132809,133021,133127,133339,133531,133625,133816,133923,134051,134242,134326,134359,134506,134816,134954,135159,135327,135444,135517,135647,135754,140112,140335,140515,140803,140908,141120,141225,141404,141448,142754,143126,143342,143449,143630,143758,144012,144107,144212,144311,144436,144935,145233,145520,145648,145827,145922,150051,150301,150447,150705,150943,151146,151416
21,MS2365-2,125418,125558,125822,130106,130403,130805,131433,132003,132141,132330,132626,132904,133105,133458,133827,134018,134113,134242,134410,134520,134604,134826,135116,135316,135444,135647,135849,135934,140102,140207,140409,140526,140609,140727,140908,141309,141426,,141711,141840,141924,142232,142349,142849,143115,143126,143543,143725,143916,144150,144352,144436,145255,145615,145805,145922,150206,150315,150520,150637,150812,150858,151040,151534,151840,152201,152351,152524,152643,152823,152928,153118,153343,153627,153819,154056
