,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
0,MZ3734-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070143
1,MZ3740-0,,,,,,,,,,,,,,,,,,,,,,,,,,,070108,070132,070227,070310,070416,070521,070554,070627,070700,070733,070901,070945
2,MZ3825-0,,,,,,,,,,,,,,070108,070121,070205,070300,070532,070638,070807,070912,070956,071040,071156,071451,071650,071805,071900,072004,072048,072154,072216,072249,072310,072354,072427,072554,072627
3,MZ3956-0,,,,,,,070108,070132,070343,070510,070616,071134,071218,071313,071429,071523,071617,071849,071943,072059,072216,072259,072321,072438,072721,072911,,,073258,073342,073447,073519,073552,073613,073708,073730,073859,073943
4,MZ3978-0,,070108,070227,070332,070616,070901,070945,071051,071251,071513,071650,072154,072259,072343,072511,072605,072659,072911,073016,073110,073204,073215,073258,073425,073752,073943,074122,074228,074344,074416,074522,074605,074648,074721,074753,074837,074954,075037
5,MZ3987-0,071207,071345,071617,071733,072004,072216,072417,072511,072638,072805,072911,073425,073541,073624,073741,073835,073910,074100,074155,074333,074416,074438,074616,074753,075132,075311,075521,075628,075743,075805,075910,075954,080037,080059,080132,080154,080309,080353
6,MZ4072-0,,072849,073016,073132,073353,073613,073741,073846,074038,074239,074405,074910,075015,075132,075300,075405,075459,075700,075805,075910,075954,080037,080110,080248,080613,080835,081056,081213,081329,081413,081507,081613,081657,081730,081824,081845,082014,082108
7,MX1135-0,073635,073719,073859,074038,074228,074605,074659,074804,074921,075048,075154,075700,075754,075910,080037,080143,080215,080447,080552,080656,080751,080824,080919,081107,081445,081635,081856,081951,082108,082152,082319,082413,082446,082518,082540,082613,082728,082800
8,MW3528-0,074826,075015,075143,075343,075449,075754,075921,080353,080646,080908,081035,081539,081635,081740,081856,081951,082046,082224,082330,082446,082540,082623,082707,082822,083126,083305,083516,083632,083748,083832,083937,084009,084053,084136,084219,084241,084346,084422
9,MW3343-0,080132,080248,080508,080740,081002,081246,081445,081550,081802,081929,082057,082613,082717,082833,083010,083105,083159,083410,083516,083643,083748,083821,083915,084042,084336,084444,084643,084759,084926,085021,085115,085159,085244,085316,085359,085421,085548,085643
10,MZ3559-0,080331,081340,081550,081802,082035,082330,082529,082645,082800,082949,083115,083621,083716,083810,083926,084031,084136,084359,084506,084622,084749,084821,084854,084959,085305,085454,085621,085726,085831,085915,090031,090126,090158,090220,090253,090325,090454,090538
11,MZ3734-1,082035,082214,082424,082602,082800,083126,083348,083454,083632,083904,083937,084433,084600,084705,084810,084905,085010,085222,085305,085443,085548,085621,085715,085820,090126,090347,090538,090715,090811,090843,090959,091053,091147,091230,091324,091346,091513,091556
