,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ3825-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070326
1,MW5966-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070103,070337,070443,070600,070811,071000,071127,071235,071414
2,MX1197-0,,,,,,,,,,,,,,,,,,,070103,070158,070231,070326,070422,070538,070633,070654,071127,071435,071613,071834,071950,072225,072425,072708,072803,073013,073402
3,MX1084-0,,,,,,,,,,,,,,070103,070348,070422,070505,070549,070705,070928,071000,071054,071203,071308,071424,071519,071950,072236,072341,072603,072729,072951,073129,073246,073402,073529,073846
4,MX1105-0,,,,,070103,070126,070158,070231,,,,070716,070822,070917,071214,071330,071435,071457,071613,071845,071928,072001,072056,072225,072319,072403,072814,073057,073151,073413,073519,073751,073846,074214,074341,074446,074939
5,MZ3556-0,070727,070833,071011,071043,071127,071225,071235,071319,071341,071457,071552,071718,071939,072056,072352,072446,072708,072740,072908,073246,073329,073424,073551,073730,073846,073907,074341,074529,074718,075129,075235,075351,075624,075824,075951,080152,080731
6,MZ4072-0,071729,071950,072107,072141,072214,072258,072319,072403,072435,072541,072657,072824,073024,073151,073457,073625,073730,073802,073940,074141,074225,074319,074435,074551,074707,074729,075224,075603,075752,080142,080352,080553,080742,081121,081249,081343,081942
7,MZ3559-0,072940,073203,073319,073340,073402,073446,073519,073602,073635,073751,073846,074119,074258,074519,074834,075023,075257,075340,075518,075719,075752,075835,075940,080109,080214,080258,080731,081038,081205,081510,081648,081815,082003,082237,082414,082552,083203
8,MZ3978-0,073257,074403,074508,074540,074602,074645,074656,074740,074823,075001,075107,075257,075518,075646,075929,080025,080258,080331,080531,080805,080838,080932,081059,081227,081404,081437,081909,082237,082425,082625,082730,083003,083108,083447,083625,083719,084206
9,MZ3734-0,075351,075518,075635,075730,075802,075835,075857,075929,080003,080109,080214,080403,080604,080816,081059,081216,081332,081415,081604,081815,081858,081952,082058,082237,082425,082520,082930,083308,083447,083741,083858,084016,084122,084406,084522,084638,084935
10,MW3496-0,,080542,080658,080742,080805,080859,080921,081005,081059,081216,081310,081459,081659,081837,082214,082425,082658,082752,083003,083257,083341,083458,083646,083814,084016,084122,084616,084935,085124,085335,085502,085630,085852,090236,090356,090547,090916
11,MZ4228-0,081521,081626,081826,081858,081909,082003,082025,082119,082141,082320,082425,082542,082730,082908,083152,083246,083458,083530,083708,083942,084039,084122,084311,084500,084700,084733,085208,085545,085725,090019,090127,090236,090419,090736,090927,091011,091648
12,MZ3825-1,082203,082542,082720,082741,082803,082836,082908,082941,083035,083130,083236,083352,083625,083825,084112,084228,084333,084417,084544,084913,084956,085051,085251,085407,085534,085641,090114,090408,090547,090938,091043,091236,091415,091804,091910,092111,092504
13,MX1213-0,083414,083552,083741,083803,083825,083920,083931,084016,084050,084228,084333,084500,084722,084829,085146,085241,085451,085545,085735,085936,090041,090114,090225,090332,090526,090620,091116,091415,091604,092038,092241,092504,092654,093058,093214,093414,093741
14,MZ3956-0,084333,084616,084733,084807,084818,084850,084913,084945,085018,085146,085241,085418,085713,085903,090150,090236,090453,090547,090652,091000,091054,091151,091309,091448,091648,091710,092146,092442,092622,093003,093152,093320,093509,093731,093847,094047,094606
15,MW5966-1,,085513,085618,085652,085725,085746,085820,085852,085936,090103,090202,090321,090515,090652,091011,091214,091331,091415,091521,091754,091837,091932,092135,092314,092442,092526,093003,093309,093458,094058,094216,094501,094744,095049,095216,095343,095806
16,MX1197-1,090345,090442,090620,090642,090703,090736,090758,090832,,,,091331,091426,091604,091910,092027,092135,092219,092336,092610,092654,092750,092930,093047,093225,093258,093752,094109,094216,094805,095038,095427,095638,100049,100238,100430,101031
17,MW5936-0,091000,091247,091354,091448,091521,091553,091626,091659,091732,091910,092027,092157,092431,092622,092941,093047,093341,093425,093553,093803,093847,093952,094142,094354,094533,094628,095100,095343,095522,095922,100049,100430,100725,101020,101159,101305,101759
18,MX1084-1,092135,092241,092358,092431,092442,092537,092610,092643,,,093047,093058,093247,093414,093647,093720,093952,094047,094216,094512,094555,094639,094838,094954,095100,095143,095606,095755,095933,100354,100513,100736,100926,101232,101348,101505,101759
19,MX1067-0,092716,092836,092952,093025,093047,093120,093142,093225,,,093709,093741,094003,094216,094533,094628,094900,094943,095143,095427,095522,095606,095816,095954,100143,100216,100702,101009,101159,101726,101843,102125,102420,102736,102832,102959,103409
20,MX1105-1,,093541,093647,093720,093741,093814,093836,093941,094036,094120,094216,094344,094533,094617,094943,095027,095238,095322,095449,095744,095849,095911,100143,100311,100441,100524,100948,101211,101348,101927,102042,102336,102504,102854,103010,103220,103704
21,MZ3556-1,094354,094501,094628,094700,094722,094827,094900,094932,095005,095121,095238,095343,095533,095700,100005,100132,100407,100452,100608,100915,100959,101053,101232,101410,101537,101726,102158,102431,102631,103126,103253,103547,103748,104031,104220,104453,105054
22,MW4762-0,095216,095238,095354,095427,095449,095555,095617,095700,095733,095911,100049,100205,100452,100713,101031,101232,101505,101559,101737,101937,102032,102125,102303,102442,102620,102714,103220,103504,103759,104010,104126,104337,104610,105021,105127,105327,105812
23,MZ4072-1,095911,100100,100228,100311,100333,100407,100430,100513,100535,100702,100821,101009,101221,101338,101642,101810,102032,102136,102336,102558,102714,102821,103021,103159,103337,103431,103926,104315,104420,105032,105149,105443,105644,110011,110200,110412,110928
24,MZ3559-1,101020,101137,101421,101515,101559,101704,101726,101759,101832,101959,102115,102231,102504,102631,102927,103115,103347,103442,103620,103915,104010,104104,104242,104420,104538,104632,105043,105327,105622,110117,110306,110539,110739,111000,111213,111448,111942
25,MZ3978-1,101126,102358,102515,102547,102609,102714,102810,102843,102916,103021,103126,103220,103420,103536,103853,104031,104315,104420,104621,104905,104949,105043,105211,105338,105516,105548,110000,110400,110539,111000,111128,111404,111615,112025,112138,112233,112715
26,MZ3734-1,103431,103525,103654,103715,103738,103821,103842,103915,103948,104115,104231,104410,104559,104727,105105,105200,105421,105537,105706,105906,110033,110128,110255,110423,110601,110644,111128,111426,111626,112025,112148,112359,112515,113105,113212,113413,113636
27,MW3496-1,104359,104420,104610,104643,104715,104811,104843,104916,105000,105149,105254,105505,105622,105833,110150,110306,110539,110655,110833,111213,111331,111426,111637,111826,111953,112036,112526,112844,113055,113529,113753,114003,114204,114426,114603,114708,115204
28,MZ4228-1,105622,105833,110117,110222,110255,110349,110412,110517,110601,110706,110800,110917,111117,111258,111542,111804,112025,112138,112421,112726,112844,112949,113127,113319,113457,113529,114025,114320,114531,115025,115215,115416,115723,120155,120301,120429,120839
29,MZ3825-2,110244,110400,110539,110612,110644,110739,110800,110844,110917,111055,111151,,111553,111710,112004,112148,112410,112432,112610,112905,112949,113044,113224,113352,113529,113551,114036,114320,114553,115227,115355,115606,115901,120345,120512,120629,121029
30,MW4762-1,155821,160810,160948,161021,161043,161115,161137,161243,161348,161515,161621,161832,162010,162126,162420,162559,162832,162959,163147,163536,163703,163821,164022,164212,164403,164446,164929,165258,165636,170047,170343,170510,170720,111055,171237,171509,172025
31,MX1213-1,111202,111426,111553,111659,111742,111836,111858,111942,112015,112148,112254,112410,112559,112726,113044,113246,113529,113625,113847,114131,114226,114320,114437,114614,114741,114825,115300,115533,115912,120356,120534,120828,121218,121451,121618,121852,122313
32,MZ3956-1,112243,112504,112715,112758,112822,112905,112938,113022,113116,113341,113446,113636,113847,114003,114437,114603,114836,114930,115130,115511,115606,115650,115818,115956,120123,120155,120618,121007,121145,121607,121736,121946,122124,122524,122629,122747,123021
33,MW3343-0,,113235,113402,113435,113457,113603,113636,113720,113753,113930,114036,114215,114331,114458,114836,114952,115204,115249,115449,115807,115923,120017,120206,120356,120545,120640,121112,121418,121618,122146,122324,122441,122736,123043,123210,123359,123916
