,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4338-0,,,,,,,,,,,,,,,,,,,,,,070107,070131,070258,070403,070520,070615
1,AA7279-0,,,,,,,,,,,,,,,070107,070153,070331,070426,070520,070626,070753,071143,071333,071605,071711,071838,071921
2,AA7450-0,,,,,,,,,,,070107,070120,070225,070331,070436,070520,070658,070753,070837,071005,071143,071522,072004,,072059,072225,072258
3,MX3783-0,,,,,,,,,,,070107,070520,070637,070753,070910,070954,071110,071206,071249,071355,071511,071848,072004,072153,072309,072426,072532
4,MX4458-0,,,,,070107,070247,070341,070436,070626,070815,071026,071533,071627,071732,071848,071943,072120,072247,072331,072459,072638,073016,073154,073300,073532,073637,073731
5,MX4535-0,070107,070331,070615,070658,070753,071037,071238,071322,071449,071616,071838,072426,072532,072700,072827,072933,073100,073205,073300,073416,073604,073953,074152,,074437,074615,074648
6,MX4551-0,070142,071511,071721,071754,071932,072236,072352,072448,072616,072849,073111,073626,073731,073847,074025,074120,074309,074415,074459,074615,074804,075205,075311,075449,075605,075722,075816
7,AA7562-0,070458,070804,071110,071206,071228,071511,071700,071754,071943,072037,072258,072900,073016,073122,073238,073343,073532,073626,073720,073815,074003,074342,074521,074721,074837,075005,075111
8,MX4598-0,071805,071953,072309,072331,072403,072649,072816,072911,073049,073311,073521,074025,074131,074258,074353,074437,074604,074742,074826,074859,075016,075406,075544,,075838,075954,080016
9,MX4614-0,,072616,072849,072933,073005,073300,073459,073554,073815,073931,074320,074826,074933,075038,075133,075227,075416,075544,075616,075700,075816,080110,,080427,080510,080626,080710
10,AA7920-0,072722,073300,073753,073909,073953,074426,074637,074753,075038,075355,075816,080331,080521,080659,080815,080920,081120,081226,081309,081416,081617,082005,082205,082353,082531,082708,082803
11,AA7712-0,,074014,074426,074510,074553,075333,075544,075849,080048,080405,080637,081203,081320,081532,081701,081806,082049,082154,082238,082321,082448,082825,082952,083119,083236,083341,083424
12,MX4021-0,074247,075605,080016,080121,080216,080532,080721,081131,081354,081628,082049,082603,082708,082908,083141,083258,083446,083552,083648,083815,083932,084237,084404,084626,084720,084836,084909
13,AA7731-0,,074804,075216,075311,075355,075827,080059,080405,,080859,081259,081817,081933,082100,082259,082353,082542,082741,082836,082919,083025,083435,083552,,084016,084132,084226
14,MX4041-0,080416,081047,081806,081911,082005,082404,082646,082803,083003,083319,083720,084248,084353,084531,084742,084942,085225,085353,085437,085616,085805,090156,090312,090523,090628,090733,090818
15,MX4338-1,081448,082005,082332,082509,082603,082919,083130,083308,083615,084121,084531,085047,085203,085331,085510,085616,085827,090007,090050,090217,090417,090744,090850,091018,091146,091314,091347
16,AA7279-1,082216,082952,083414,083519,083615,083932,084237,084415,084615,084942,085342,085933,090040,090228,090501,090606,090755,090945,091029,091113,091230,091621,091737,092014,092120,092237,092332
17,AA7393-0,083308,083603,083848,083943,084016,084320,084459,084615,084847,085342,085743,090301,090417,090544,090923,091029,091241,091347,091430,091621,091716,092003,092142,092429,092546,092703,092735
18,MX4535-1,084226,,090417,090512,090606,091029,091208,091252,091419,091621,091844,092417,092535,092714,092904,093009,093158,093327,093410,093548,093705,094159,094327,094549,094759,094916,094959
