,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654/2,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
34,MX1067-1,,-1,1,1,1,1,1,2,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,2,1,1,1,1,-1,-1
35,MZ3956-2,-1,-1,1,1,1,1,1,1,-1,1,1,1,3,1,-1,2,2,1,1,1,1,2,1,1,1,1,1,2,3,2,1,1,1,1,1,-1,-1
36,MP6054-0,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,-1,-1
37,MX1197-2,-1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,1,1,1,1,2,1,1,1,1,3,4,3,1,1,1,2,1,1,-1,-1
38,MX1084-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,-1,-1
39,MX1105-2,,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,3,1,1,1,1,1,-1,-1
40,MZ3556-2,-1,-1,1,1,1,1,1,-1,-1,1,1,3,2,1,-1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,3,1,1,2,1,1,-1,-1
41,MZ3734-2,-1,-1,1,1,1,1,1,1,-1,1,1,3,1,1,-1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,2,1,1,1,-1,-1
42,MZ3740-2,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,3,1,1,1,1,-1,-1
43,MZ3978-2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,2,1,1,2,-1,-1
44,MZ3825-2,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,4,1,1,1,1,1,-1,-1
45,MW5853-2,-1,-1,-1,1,1,1,1,1,-1,1,1,1,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,2,1,-1,-1
46,MZ4228-2,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,4,2,4,2,1,1,2,2,-1,-1
47,MZ4072-3,-1,-1,1,1,1,1,1,1,-1,2,1,1,3,1,-1,3,1,1,1,1,1,1,1,1,1,1,4,3,2,4,4,1,1,1,1,-1,-1
48,MZ3559-2,-1,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,3,1,4,1,2,1,-1,-1
49,MZ3956-3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,3,2,1,1,1,2,-1,-1
50,MX1197-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,4,2,4,1,1,1,1,1,-1,-1
51,MX1084-3,,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,3,1,1,1,1,3,4,2,4,1,1,2,1,1,-1,-1
52,MZ3556-3,-1,-1,1,1,1,1,-1,1,1,1,1,1,4,-1,-1,1,2,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,2,1,2,-1,-1
53,MX1105-3,-1,-1,1,1,1,1,1,,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,2,1,1,-1,-1
54,MX1067-2,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,2,1,1,-1,-1
55,MW5966-2,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,2,1,1,1,1,1,5,4,2,4,2,2,2,1,1,-1,-1
56,MZ3734-3,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,4,3,2,2,1,1,-1,-1
57,MX1213-0,-1,-1,1,1,1,1,1,1,-1,1,1,1,2,-1,1,1,1,1,1,1,2,1,1,1,1,1,3,4,4,3,1,4,1,1,1,-1,-1
58,MZ3825-3,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,5,5,2,1,1,2,1,1,-1,-1
59,MW5853-3,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,4,5,4,3,1,1,1,1,1,-1,-1
60,MZ4228-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,4,2,-1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,-1,-1
61,MZ3978-3,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,4,-1,1,1,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,-1,-1
62,MW3496-0,,-1,1,1,1,1,4,1,-1,1,1,1,1,1,-1,2,1,1,1,1,1,3,1,1,1,1,4,4,2,3,1,1,3,1,1,-1,-1
63,MZ3559-3,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,-1,1,2,1,1,1,1,1,2,1,1,1,1,4,2,2,3,1,1,1,2,1,-1,-1
64,MZ3740-3,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,4,4,3,1,2,3,2,1,1,-1,-1
65,MW5898-0,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1,2,3,1,1,-1,-1
66,MX1084-4,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,2,1,1,1,1,4,5,4,1,1,2,1,1,1,-1,-1
67,MZ4072-4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,2,1,1,1,1,-1,-1
