,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M143,M170/1,M172/15,T403,T402,T309,T368,T324/2,T347,T364/2,T366,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C660,C662,C664,C666,C677,C667,C676,C680,C669/1
57,MW5853-3,154613,154813,155036,155314,155738,160137,160445,160952,161320,161802,161942,162642,162759,163011,163539,163657,163848,164111,164252,164514,164652,164747,164831,164947,165349,165506,165647,165814,165931,170014,170109,170156,170218,170240,170312,170345,170515,170548
58,MW5966-2,155409,155833,160137,160401,160741,161119,161331,161719,161931,162438,162556,163116,163222,163506,163954,164100,164230,164503,164558,164758,164903,164925,165008,165114,165455,165625,165814,165931,170047,170121,170240,170312,170358,170420,170453,170515,170632,170705
59,MX1260-3,,161730,162047,162310,162620,163200,163625,163921,164303,164725,164852,165455,165625,165742,170121,170240,170453,170738,170917,171128,171341,171436,171614,171752,172131,172415,172638,172744,172901,172955,173101,173156,173229,173251,173324,173409,173526,173621
60,MW5936-2,,162237,162545,162905,163316,163954,164208,164547,164914,165338,165506,170109,170207,170312,170559,170727,170832,171033,171152,171341,171541,171636,171825,171942,172320,172426,172649,172806,172955,173050,173207,173251,173313,173346,173420,173442,173559,173632
61,MZ3559-3,163211,163338,163528,163804,164049,164558,165030,165254,165603,170003,170142,170705,170759,170928,171106,171214,171331,171614,171730,171920,172025,172109,172226,172331,172649,172839,173156,173335,173453,173515,173621,173654,173716,173748,173821,173832,173950,174036
62,MX1084-2,163657,164925,165210,165506,165847,170442,170759,171214,171552,171920,172226,172806,172923,173039,173229,173335,173431,173748,173854,174003,174156,174228,174312,174453,174810,174959,175214,175341,175507,175551,175708,175740,175813,175835,175931,175942,180047,180120
63,MZ3734-4,163848,164122,164430,164703,165041,165636,170047,170526,170950,171258,171414,171942,172047,172226,172522,172700,172806,173006,173112,173313,173420,173504,173621,173737,174120,174301,174516,174621,174726,174759,174916,174949,175010,175032,175115,175137,175235,175330
64,MZ3740-4,165433,165730,165931,170240,170727,171625,171909,172449,172817,173335,173716,174334,174453,174621,174843,175010,175115,175413,175529,175740,175942,180036,180058,180236,180636,180836,181058,181215,181310,181342,181520,181604,181637,181710,181731,181804,181920,182005
65,MZ3825-4,165455,170323,170832,171106,171603,172109,172605,173123,173431,173759,173916,174453,174559,174715,174938,175043,175150,175424,175540,175740,175942,180036,180120,180258,180636,180847,181058,181204,181310,181331,181426,181510,181531,181553,181626,181648,181753,181826
66,MW5898-3,170229,171106,171341,171636,172109,172733,173229,173621,173950,174409,174548,175150,175308,175435,175613,175719,175824,180058,180203,180510,180615,180647,180814,180942,181259,181520,181710,181826,181920,181953,182121,182205,182238,182310,182332,182405,182510,182616
67,MP6358-1,171909,172120,172331,172605,173207,173843,174131,174442,174715,175043,175214,175802,175942,180131,180320,180510,180615,180858,181004,181310,181404,181448,181520,181659,182005,182132,182310,182448,182554,182627,182744,182816,182912,182934,183017,183050,183220,183325
68,MZ3956-4,173207,173453,173748,174036,174239,174715,175021,175319,175730,180109,180225,180825,180931,181109,181237,181404,181510,181720,181815,182049,182154,182238,182310,182437,182744,182934,183158,183303,183358,183431,183537,183621,183655,183717,183749,183811,183938,184032
69,MZ3978-4,175235,175330,175708,180003,180415,180942,181226,181637,182038,182416,182543,183122,183241,183431,183738,183905,184054,184350,184508,184825,185004,185048,185219,185336,185716,185844,190057,190203,190319,190413,190518,190602,190634,190656,190728,190750,190908,190930
70,MP6054-1,,180415,180825,181058,181331,181804,182049,182459,183006,183621,183811,184412,184519,184646,184847,185026,185131,185359,185515,185739,185940,190025,190119,190225,190612,190802,190952,191057,191203,191247,191352,191425,191458,191520,191541,191603,191709,191825
71,MZ3987-4,,,,,,,,180731,181109,181531,181720,182227,182310,182437,182627,182711,182816,183050,183158,183358,183559,183706,183822,183927,184234,184423,184614,184719,184814,184847,184942,185026,185110,185131,185156,185219,185325,185359
72,MW5943-3,181120,182805,183028,183209,183515,183916,184137,184603,184942,185950,190119,190645,190802,190919,191036,191152,191247,191447,191603,191742,191942,192026,192109,192225,192542,192709,193003,193058,193214,193247,193414,193447,193509,193530,193603,193625,193721,193815
73,MW5191-4,181542,181742,182027,182321,182627,183039,183358,183717,183916,184508,184635,185208,185325,185442,185643,185801,185833,190036,190153,190352,190602,190706,190813,190908,191225,191403,,191720,191825,191858,192037,192131,192153,192215,192236,192258,192353,192436
74,MX1135-4,,183610,183959,184223,184412,184719,184953,185325,185856,190623,190930,191458,191552,191720,191847,191931,192037,192309,192403,192531,192742,192825,192858,193025,193341,193530,193754,193901,193945,194031,194137,194221,194242,194315,194337,194412,194539,194611
